"Study GUID","Guideline ID","Part / document","Reference ID","Reference"
"CG73ST139","CG73","","ST139","139  Hallan SI, Dahl K, Oien CM et al. Screening strategies for chronic kidney disease in the general population: follow-up of cross sectional health survey.[see comment]. British Medical Journal. 2006; 333(7577):1030–1031."
"CG73ST140","CG73","","ST140","140  Hallan SI, Coresh J, Astor BC et al. International comparison of the relationship of chronic kidney disease prevalence and ESRD risk. Journal of the American Society of Nephrology. 2006; 17(8):2275–2284."
"CG73ST141","CG73","","ST141","141  Chadban SJ, Briganti EM, Kerr PG et al. Prevalence of kidney damage in Australian adults: The AusDiab kidney study. Journal of the American Society of Nephrology. 2003; 14(7:Suppl 2):S131–S138."
"CG73ST142","CG73","","ST142","142  Haroun MK, Jaar BG, Hoffman SC et al. Risk factors for chronic kidney disease: a prospective study of 23,534 men and women in Washington County, Maryland. Journal of the American Society of Nephrology. 2003; 14(11):2934–2941."
"CG73ST143","CG73","","ST143","143  New JP, Middleton RJ, Klebe B et al. Assessing the prevalence, monitoring and management of chronic kidney disease in patients with diabetes compared with those without diabetes in general practice. Diabetic Medicine. 2007; 24(4):364–369."
"CG73ST144","CG73","","ST144","144  Gelber RP, Kurth T, Kausz AT et al. Association between body mass index and CKD in apparently healthy men. American Journal of Kidney Diseases. 2005; 46(5):871–880."
"CG73ST145","CG73","","ST145","145  Stengel B, Tarver CM, Powe NR et al. Lifestyle factors, obesity and the risk of chronic kidney disease. Epidemiology. 2003; 14(4):479–487."
"CG73ST146","CG73","","ST146","146  Kurella M, Lo JC, Chertow GM. Metabolic syndrome and the risk for chronic kidney disease among nondiabetic adults. Journal of the American Society of Nephrology. 2005; 16(7):2134–2140."
"CG73ST147","CG73","","ST147","147  Elsayed EF, Tighiouart H, Griffith J et al. Cardiovascular disease and subsequent kidney disease. Archives of Internal Medicine. 2007; 167(11):1130–1136."
"CG73ST148","CG73","","ST148","148  Muntner P, Coresh J, Smith JC et al. Plasma lipids and risk of developing renal dysfunction: the atherosclerosis risk in communities study. Kidney International. 2000; 58(1):293–301."
"CG73ST149","CG73","","ST149","149  Borch-Johnsen K, Norgaard K, Hommel E et al. Is diabetic nephropathy an inherited complication? Kidney International. 1992; 41(4):719–722."
"CG73ST150","CG73","","ST150","150  Seaquist ER, Goetz FC, Rich S et al. Familial clustering of diabetic kidney disease. Evidence for genetic susceptibility to diabetic nephropathy. New England Journal of Medicine. 1989; 320(18):1161–1165."
"CG73ST151","CG73","","ST151","151  Freedman BI, Soucie JM, McClellan WM. Family history of end-stage  renal  disease  among  incident dialysis patients. Journal of the American Society of Nephrology. 1997; 8(12):1942–1945."
"CG73ST152","CG73","","ST152","152  Speckman RA, McClellan WM, Volkova NV et al. Obesity is associated with family history of ESRD in incident dialysis patients. American Journal of Kidney Diseases. 2006; 48(1):50–58."
"CG73ST153","CG73","","ST153","153  Tillin T, Forouhi N, McKeigue P et al. Microalbuminuria and coronary heart disease risk in an ethnically diverse UK population: A prospective cohort study. Journal of the American Society of Nephrology. 2005; 16(12):3702–3710."
"CG73ST154","CG73","","ST154","154  Retnakaran R, Cull CA, Thorne KI et al. Risk factors for renal dysfunction in type 2 diabetes: U.K. Prospective Diabetes Study 74. Diabetes. 2006; 55(6):1832–1839."
"CG73ST155","CG73","","ST155","155  Kiberd BA, Jindal KK. Screening to prevent renal failure in insulin dependent diabetic patients: an economic evaluation. British Medical Journal. 1995; 311(7020):1595–1599."
"CG73ST156","CG73","","ST156","156  Boulware LE,  Jaar BG,  Tarver CM  et al.  Screening for  proteinuria in  US adults:  a  cost-effectiveness analysis.[see comment]. JAMA : the Journal of the American Medical Association. 2003; 290(23):3101–3114."
"CG73ST157","CG73","","ST157","157  Howard K, White S, Chadban S et al. The cost-effectiveness of early detection and intervention to prevent the progression of chronic kidney disease in Australia. Melbourne: Australia: Kidney Health Australia, 2006."
"CG73ST158","CG73","","ST158","158  Lindeman RD, Tobin JD, Shock NW. Association between blood pressure and the rate of decline in renal function with age. Kidney International. 1984; 26(6):861–868."
"CG73ST159","CG73","","ST159","159  Fliser D, Franek E, Joest M et al. Renal function in the elderly: impact of hypertension and cardiac function. Kidney International. 1997; 51(4):1196–1204."
"CG73ST160","CG73","","ST160","160  Lindeman RD. Is the decline in renal function with normal aging inevitable? Geriatric Nephrology & Urology. 1998; 8(1):7–9."
"CG73ST161","CG73","","ST161","161  Hemmelgarn BR, Zhang J, Manns BJ et al. Progression of kidney dysfunction in the community-dwelling elderly. Kidney International. 2006; 69(12):2155–2161."
"CG73ST162","CG73","","ST162","162  Halbesma N, Kuiken DS, Brantsma AH et al. Macroalbuminuria is a better risk marker than low estimated GFR to identify individuals at risk for accelerated GFR loss in population screening. Journal of the American Society of Nephrology. 2006; 17(9):2582–2590."
"CG73ST163","CG73","","ST163","163  Rule AD, Gussak HM, Pond GR et al. Measured and estimated GFR in healthy potential kidney donors. American Journal of Kidney Diseases. 2004; 43(1):112–119."
"CG73ST164","CG73","","ST164","164  Slack TK, Wilson DM. Normal renal function: CIN and CPAH in healthy donors before and after nephrectomy. Mayo Clinic Proceedings. 1976; 51(5):296–300."
"CG73ST165","CG73","","ST165","165  Wetzels JF, Kiemeney LA, Swinkels DW et al. Age- and gender-specific reference values of estimated GFR in Caucasians: the Nijmegen Biomedical Study. Kidney International. 2007; 72(5):632–637."
"CG73ST166","CG73","","ST166","166  Rowe JW, Andres R, Tobin JD et al. The effect of age on creatinine clearance in men: a cross-sectional and longitudinal study. Journal of Gerontology. 1976; 31(2):155–163."
"CG73ST167","CG73","","ST167","167  Luyckx VA, Brenner BM. Low birth weight, nephron number, and kidney disease. Kidney International – Supplement. 2005;(97):S68–S77."
"CG73ST168","CG73","","ST168","168  Cruickshank JK, Mzayek F, Liu L et al. Origins of the ‘black/white’ difference in blood pressure: roles of birth weight, postnatal growth, early blood pressure, and adolescent body size: the Bogalusa heart study. Circulation. 2005; 111(15):1932–1937."
"CG73ST169","CG73","","ST169","169  Law CM, Shiell AW, Newsome CA et al. Fetal, infant, and childhood growth and adult blood pressure: a longitudinal study from birth to 22 years of age. Circulation. 2002; 105(9):1088–1092."
"CG73ST170","CG73","","ST170","170  Evans M, Fryzek JP, Elinder CG et al. The natural history of chronic renal failure: results from an unselected, population-based, inception cohort in Sweden. American Journal of Kidney Diseases. 2005; 46(5):863–870."
"CG73ST171","CG73","","ST171","171  Orth SR, Schroeder T, Ritz E et al. Effects of smoking on renal function in patients with type 1 and type 2 diabetes mellitus. Nephrology Dialysis and Transplantation. 2005; 20(11):2414–2419."
"CG73ST172","CG73","","ST172","172  Hovind P, Rossing P, Tarnow L et al. Smoking and progression of diabetic nephropathy in type 1 diabetes. Diabetes Care. 2003; 26(3):911–916."
"CG73ST173","CG73","","ST173","173  Orth SR, Stockmann A, Conradt C et al. Smoking as a risk factor for end-stage renal failure in men with primary renal disease. Kidney International. 1998; 54(3):926–931."
"CG73ST174","CG73","","ST174","174  Ibanez L, Morlans M, Vidal X et al. Case-control study of regular analgesic and nonsteroidal anti- inflammatory use and end-stage renal disease. Kidney International. 2005; 67(6):2393–2398."
"CG73ST175","CG73","","ST175","175  Earle KK, Porter KA, Ostberg J et al. Variation in the progression of diabetic nephropathy according to racial origin. Nephrology Dialysis and Transplantation. 2001; 16(2):286–290."
"CG73ST176","CG73","","ST176","176  Xue JL, Eggers PW, Agodoa LY et al. Longitudinal study of racial and ethnic differences in developing end- stage renal disease among aged medicare beneficiaries. Journal of the American Society of Nephrology. 2007; 18(4):1299–1306."
"CG73ST177","CG73","","ST177","177  Murray MD, Black PK, Kuzmik DD et al. Acute and chronic effects of nonsteroidal antiinflammatory drugs on glomerular filtration rate in elderly patients. American Journal of the Medical Sciences. 1995; 310(5):188–197."
"CG73ST178","CG73","","ST178","178  Morlans M, Laporte JR, Vidal X et al. End-stage renal disease and non-narcotic analgesics: A case-control study. British Journal of Clinical Pharmacology. 1990; 30(5):717–723."
"CG73ST179","CG73","","ST179","179  Fored CM, Ejerblad E, Lindblad P et al. Acetaminophen, aspirin, and chronic renal failure. New England Journal of Medicine. 2001; 345(25):1801–1808."
"CG73ST180","CG73","","ST180","180  Myers GL, Miller WG, Coresh J et al. Recommendations for improving serum creatinine measurement: A report from the Laboratory Working Group of the National Kidney Disease Education Program. Clinical Chemistry. 2006; 52(1):5–18."
"CG73ST181","CG73","","ST181","181  Jungers P, Joly D, Nguyen KT et al. Continued late referral of patients with chronic kidney disease. Causes, consequences, and approaches to improvement. Presse Medicale. 2006; 35(1:Pt 1):t–22."
"CG73ST182","CG73","","ST182","182  Levinsky NG. Specialist evaluation in chronic kidney disease: too little, too late. Annals of  Internal Medicine. 2002; 137(6):542–543."
"CG73ST183","CG73","","ST183","183  National Institute for Health and Clinical Excellence. Diagnosis and management of type 1 diabetes in children, young people and adults. (CG15). London: UK: National Institute for Health and Clinical Excellence, 2004."
"CG73ST184","CG73","","ST184","184  National Institute for Health and Clinical Excellence. Obesity: the prevention, identification, assessment and management of overweight and obesity in adults and children. (CG43). London: UK: National Institute for Health and Clinical Excellence, 2006."
"CG73ST185","CG73","","ST185","185  Kohzuki M, Kamimoto M, Wu XM et al. Renal protective effects of chronic exercise and antihypertensive therapy in hypertensive rats with chronic renal failure. Journal of Hypertension. 2001; 19(10):1877–1882."
"CG73ST186","CG73","","ST186","186  Hallan S, de MR, Carlsen S et al. Obesity, smoking, and physical inactivity as risk factors for CKD: are men more vulnerable? American Journal of Kidney Diseases. 2006; 47(3):396–405."
"CG73ST187","CG73","","ST187","187  Castaneda C, Gordon PL, Uhlin KL et al. Resistance training to counteract the catabolism of a low-protein diet in patients with chronic renal insufficiency. A randomized, controlled trial. Annals of Internal Medicine. 2001; 135(11):965–976."
"CG73ST188","CG73","","ST188","188  Eidemak I, Haaber AB, Feldt RB et al. Exercise training and the progression of chronic renal failure. Nephron. 1997; 75(1):36–40."
"CG73ST189","CG73","","ST189","189  Pechter U, Ots M, Mesikepp S et al. Beneficial effects of water-based exercise in patients with chronic kidney disease. International Journal of Rehabilitation Research. 2003; 26(2):153–156."
"CG73ST190","CG73","","ST190","190  Morales E, Valero MA, Leon M et al. Beneficial effects of weight loss in overweight patients with chronic proteinuric nephropathies. American Journal of Kidney Diseases. 2003; 41(2):319–327."
"CG73ST191","CG73","","ST191","191  Saiki A, Nagayama D, Ohhira M et al. Effect of weight loss using formula diet on renal function in obese patients with diabetic nephropathy. International Journal of Obesity. 2005; 29(9):1115–1120."
"CG73ST192","CG73","","ST192","192  Solerte SB, Fioravanti M, Schifino N et al. Effects of diet-therapy on urinary protein excretion albuminuria and renal haemodynamic function in obese diabetic patients with overt nephropathy. International Journal of Obesity. 1989; 13(2):203–211."
"CG73ST193","CG73","","ST193","193  Perneger TV, Whelton PK, Puddey IB et al. Risk of end-stage renal disease associated with alcohol consumption. American Journal of Epidemiology. 1999; 150(12):1275–1281."
"CG73ST194","CG73","","ST194","194  Varella L, Utermohlen V. Nutritional support for the patient with renal failure. Critical Care Nursing Clinics of North America. 1993; 5(1):79–96."
"CG73ST195","CG73","","ST195","195  Klahr S, Buerkert J, Purkerson ML. Role of dietary factors in the progression of chronic renal disease. Kidney International. 1983; 24(5):579–587."
"CG73ST196","CG73","","ST196","196  Ikizler TA, Greene JH, Wingard RL et al. Spontaneous dietary protein intake during progression of chronic renal failure. Journal of the American Society of Nephrology. 1995; 6(5):1386–1391."
"CG73ST197","CG73","","ST197","197  Pecoits FR, Lindholm B, Stenvinkel P. The malnutrition, inflammation, and atherosclerosis (MIA) syndrome — the heart of the matter. Nephrology Dialysis and Transplantation. 2002; 17(Suppl 11):28–31."
"CG73ST198","CG73","","ST198","198  British Association for Parenteral and Enteral Nutrition. Malnutrition Universal Screening Tool (“MUST”). BAPEN www.bapen.org.uk/must_tool.html, 2003."
"CG73ST199","CG73","","ST199","199  Levey AS, Greene T, Beck GJ et al. Dietary protein restriction and the progression of chronic renal disease: What have all of the results of the MDRD study shown? Journal of the American Society of Nephrology. 1999; 10(11):2426–2439."
"CG73ST200","CG73","","ST200","200  Giovanetti S, Maggiore Q. A low nitrogen diet with proteins of high biological value for severe chronic uremia. Lancet. 1964; 1:1000–1003."
"CG73ST201","CG73","","ST201","201  Klahr S, Levey AS, Beck GJ et al. The effects of dietary protein restriction and blood-pressure control on the progression of chronic renal disease. New England Journal of Medicine. 1994; 330(13):877–884."
"CG73ST202","CG73","","ST202","202  Block GA, Hulbert-Shearon TE, Levin NW et al. Association of serum phosphorus and calcium x phosphate product with mortality risk in chronic hemodialysis patients: A national study. American Journal of Kidney Diseases. 1998; 31(4); 607–617."
"CG73ST203","CG73","","ST203","203  Schwarz S, Trivedi  BK, Kalantar-Zadeh K et al. Association of disorders in mineral metabolism with progression of chronic kidney disease. Clinical Journal of the American Society of Nephrolology. 2006; 1(4):825–831."
"CG73ST204","CG73","","ST204","204  Voormolen N, Noordzij M, Grootendorst DC et al. High plasma phosphate as a risk factor for decline in renal function and mortality in pre-dialysis patients. Nephrology Dialysis and Transplantation. 2007; 22(10):2909–2916."
"CG73ST205","CG73","","ST205","205  Kestenbaum B. Phosphate metabolism in the setting of chronic kidney disease: significance and recommendations for treatment. Seminars in Dialysis. 2007; 20(4):286–294."
"CG73ST206","CG73","","ST206","206  Sheikh MS, Maguire, JA et al. Reduction of dietary phosphorus absorption by phosphorus binders. A theoretical, in vitro, and in vivo study. Journal of Clinical Investigation. 1989; 83(1):66–73."
"CG73ST207","CG73","","ST207","207  Lancaster KJ. Dietary treatment of blood pressure in kidney disease. Advances in Chronic Kidney Disease. 2004; 11(2):217–221."
"CG73ST208","CG73","","ST208","208  Pedrini MT, Levey AS, Lau J et al. The effect of dietary protein restriction on the progression of diabetic and nondiabetic renal diseases: a meta-analysis. Annals of Internal Medicine. 1996; 124(7):627–632."
"CG73ST209","CG73","","ST209","209  Fouque D, Laville M, Boissel JP. Low protein diets for chronic kidney disease in non diabetic adults. Cochrane Database of Systematic Reviews. 2006;(2):CD001892."
"CG73ST210","CG73","","ST210","210  Robertson L, Waugh N, Robertson A. Protein restriction for diabetic renal disease. Cochrane Database of Systematic Reviews. 2007;(4):CD002181."
"CG73ST211","CG73","","ST211","211  Ihle BU, Becker GJ, Whitworth JA et al. The effect of protein restriction on the progression of renal insufficiency. New England Journal of Medicine. 1989; 321(26):1773–1777."
"CG73ST212","CG73","","ST212","212  Williams PS, Stevens ME, Fass G et al. Failure of dietary protein and phosphate restriction to retard the rate of progression of chronic renal failure: a prospective, randomized, controlled trial. QJM: monthly journal of the Association of Physicians. 1991; 81(1):837–855."
"CG73ST213","CG73","","ST213","213  Locatelli F, Alberti D, Graziani G et al. Prospective, randomised, multicentre trial of effect of protein restriction on progression of chronic renal insufficiency. Northern Italian Cooperative Study Group. Lancet. 1991; 337(8753):1299–1304."
"CG73ST214","CG73","","ST214","214  Rosman JBLK, Brandl M, Peris-Becht TPM et al. Protein-restricted diets in chronic renal failure: a four year follow-up shows limited indications. Kidney International – Supplement. 1989; 27(36):S96–S102."
"CG73ST215","CG73","","ST215","215  Meloni C, Tatangelo P, Cipriani S et al. Adequate protein dietary restriction in diabetic and nondiabetic patients with chronic renal failure. Journal of Renal Nutrition. 2004; 14(4):208–213."
"CG73ST216","CG73","","ST216","216  Hansen HP, Tauber LE, Jensen BR et al. Effect of dietary protein restriction on prognosis in patients with diabetic nephropathy. Kidney International. 2002; 62(1):220–228."
"CG73ST217","CG73","","ST217","217  Dullaart RP, Beusekamp BJ, Meijer S et al. Long-term effects of protein-restricted diet on albuminuria and renal function in IDDM patients without clinical nephropathy and hypertension. Diabetes Care. 1993; 16(2):483–492."
"CG73ST218","CG73","","ST218","218  Raal FJ, Kalk WJ, Lawson M et al. Effect of moderate dietary protein restriction on the progression of overt diabetic nephropathy: a 6-mo prospective study. American Journal of Clinical Nutrition. 1994; 60(4): 579–585."
"CG73ST219","CG73","","ST219","219  Verberk WJ, Kroon AA, Lenders JW et al. Self-measurement of blood pressure at home reduces the need for antihypertensive drugs: a randomized, controlled trial. Hypertension. 2007; 50(6):1019–1025."
"CG73ST220","CG73","","ST220","220  Williams B, Poulter NR, Brown MJ et al. Guidelines for management of hypertension: report of the fourth working party of the British Hypertension Society, 2004-BHS IV. Journal of Human Hypertension. 2004; 18(3):139–185."
"CG73ST221","CG73","","ST221","221  Sarnak MJ, Greene T, Wang X et al. The effect of a lower target blood pressure on the progression of kidney disease: long-term follow-up of the modification of diet in renal disease study. Annals of Internal Medicine. 2005; 142(5):342–351."
"CG73ST222","CG73","","ST222","222  Wright JT, Jr., Bakris G, Greene T et al. Effect of blood pressure lowering and antihypertensive drug class on progression of hypertensive kidney disease: results from the AASK trial. JAMA : the Journal of the American Medical Association. 2002; 288(19):2421–2431."
"CG73ST223","CG73","","ST223","223  Kovesdy CP, Trivedi BK, Kalantar ZK et al. Association of low blood pressure with increased mortality in patients with moderate to severe chronic kidney disease. Nephrology Dialysis and Transplantation. 2006; 21(5):1257–1262."
"CG73ST224","CG73","","ST224","224  Weiner DE, Tighiouart H, Levey AS et al. Lowest systolic blood pressure is associated with stroke in stages 3 to 4 chronic kidney disease. Journal of the American Society of Nephrology. 2007; 18(3):960–966."
"CG73ST225","CG73","","ST225","225  Berl T, Hunsicker LG, Lewis JB et al. Impact of achieved blood pressure on cardiovascular outcomes in the Irbesartan Diabetic Nephropathy Trial. Journal of the American Society of Nephrology. 2005; 16(7): 2170–2179."
"CG73ST226","CG73","","ST226","226  Pohl MA, Blumenthal S, Cordonnier DJ et al. Independent and additive impact of blood pressure control and angiotensin II receptor blockade on renal outcomes in the irbesartan diabetic nephropathy trial: clinical implications and limitations. Journal of the American Society of Nephrology. 2005; 16(10): 3027–3037."
"CG73ST227","CG73","","ST227","227  Jafar TH, Stark PC, Schmid CH et al. Progression of chronic kidney disease: the role of blood pressure control, proteinuria, and angiotensin-converting enzyme inhibition: a patient-level meta-analysis. Annals of Internal Medicine. 2003; 139(4):244–252."
"CG73ST228","CG73","","ST228","228  Ruggenenti P, Perna A, Loriga G et al. Blood-pressure control for renoprotection in patients with non- diabetic chronic renal disease (REIN-2): multicentre, randomised controlled trial. Lancet. 2005; 365(9463):939–946."
"CG73ST229","CG73","","ST229","229  Bakris GL, Weir MR, Shanifar S et al. Effects of blood pressure level on progression of diabetic nephropathy: results from the RENAAL study. Archives of Internal Medicine. 2003; 163(13):1555–1565."
"CG73ST230","CG73","","ST230","230  Hovind P, Rossing P, Tarnow L et al. Remission and regression in the nephropathy of type 1 diabetes when blood pressure is controlled aggressively. Kidney International. 2001; 60(1):277–283."
"CG73ST231","CG73","","ST231","231  van Bemmel T., Woittiez K, Blauw GJ et al. Prospective study of the effect of blood pressure on renal function in old age: the Leiden 85-Plus Study. Journal of the American Society of Nephrology. 2006; 17(9): 2561–2566."
"CG73ST232","CG73","","ST232","232  Peterson JC, Adler S, Burkart JM et al. Blood pressure control, proteinuria, and the progression of renal disease. The Modification of Diet in Renal Disease Study. Annals of Internal Medicine. 1995; 123(10): 754–762."
"CG73ST233","CG73","","ST233","233  Perneger TV, Nieto FJ, Whelton PK et al. A prospective study of blood pressure and serum creatinine. Results from the ‘Clue’ Study and the ARIC Study. JAMA : the Journal of the American Medical Association. 1993; 269(4):488–493."
"CG73ST234","CG73","","ST234","234  Rosansky SJ, Hoover DR, King L et al. The association of blood pressure levels and change in renal function in hypertensive and nonhypertensive subjects. Archives of Internal Medicine. 1990; 150(10): 2073–2076."
"CG73ST235","CG73","","ST235","235  Shulman NB, Ford CE, Hall WD et al. Prognostic value of serum creatinine and effect of treatment of hypertension on renal function. Results from the hypertension detection and follow-up program. The Hypertension Detection and Follow-up Program Cooperative Group. Hypertension. 1989; 13(5:Suppl): Suppl–93."
"CG73ST236","CG73","","ST236","236  Walker WG, Neaton JD, Cutler JA et al. Renal function change in hypertensive members of the Multiple Risk Factor Intervention Trial. Racial and treatment effects. The MRFIT Research Group. JAMA: the Journal of the American Medical Association. 1992; 268(21):3085–3091."
"CG73ST237","CG73","","ST237","237  Strippoli GFM, Bonifati C, Craig M et al. Angiotensin converting enzyme inhibitors and angiotensin II receptor antagonists for preventing the progression of diabetic kidney disease. Cochrane Database of Systematic Reviews. 2006;(4):CD006257."
"CG73ST238","CG73","","ST238","238  Casas JP, Chua W, Loukogeorgakis S et al. Effect of inhibitors of the renin-angiotensin system and other antihypertensive drugs on renal outcomes: systematic review and meta-analysis. Lancet. 2005; 366(9502): 2026–2033."
"CG73ST239","CG73","","ST239","239  Jafar TH, Schmid CH, Landa M et al. Angiotensin-converting enzyme inhibitors and progression of nondiabetic renal disease. A meta-analysis of patient-level data. Annals of Internal Medicine. 2001; 135(2): 73–87."
"CG73ST240","CG73","","ST240","240  Kent DM, Jafar TH, Hayward RA et al. Progression risk, urinary protein excretion, and treatment effects of Angiotensin-converting enzyme inhibitors in nondiabetic kidney disease. Journal of the American Society of Nephrology. 2007; 18(6):1959–1965."
"CG73ST241","CG73","","ST241","241  Jennings DL, Kalus JS, Coleman CI et al. Combination therapy with an ACE inhibitor and an angiotensin receptor blocker for diabetic nephropathy: a meta-analysis. Diabetic Medicine. 2007; 24(5):486–493."
"CG73ST242","CG73","","ST242","242  Kunz R, Friedrich C, Wolbers M et al. Meta-analysis: effect of monotherapy and combination therapy with inhibitors of the renin angiotensin system on proteinuria in renal disease. Annals of Internal Medicine. 2008; 148(1):30–48."
"CG73ST243","CG73","","ST243","243  Perkovic V, Ninomiya T, Arima H et al. Chronic kidney disease, cardiovascular events, and the effects of perindopril-based blood pressure lowering: data from the PROGRESS study. Journal of the American Society of Nephrology. 2007; 18(10):2766–2772."
"CG73ST244","CG73","","ST244","244  Dalla VM, Pozza G, Mosca A et al. Effect of lercanidipine compared with ramipril on albumin excretion rate in hypertensive Type 2 diabetic patients with microalbuminuria: DIAL study (diabete, ipertensione, albuminuria, lercanidipina). Diabetes, Nutrition & Metabolism – Clinical & Experimental. 2004; 17(5): 259–266."
"CG73ST245","CG73","","ST245","245  Marin R, Ruilope LM, Aljama P et al. A random comparison of fosinopril and nifedipine GITS in patients with primary renal disease. Journal of Hypertension. 2001; 19(10):1871–1876."
"CG73ST246","CG73","","ST246","246  Ruggenenti P, Perna A, Benini R et al. Effects of dihydropyridine calcium channel blockers, angiotensin- converting enzyme inhibition, and blood pressure control on chronic, nondiabetic nephropathies. Gruppo Italiano di Studi Epidemiologici in Nefrologia (GISEN). Journal of the American Society of Nephrology. 1998; 9(11):2096–2101."
"CG73ST247","CG73","","ST247","247  Anon. Randomised placebo-controlled trial of effect of ramipril on decline in glomerular filtration rate and risk of terminal renal failure in proteinuric, non-diabetic nephropathy. The GISEN Group (Gruppo Italiano di Studi Epidemiologici in Nefrologia). Lancet. 1997; 349(9069):1857–1863."
"CG73ST248","CG73","","ST248","248  Ruggenenti P, Perna A, Gherardi G et al. Renoprotective properties of ACE-inhibition in non-diabetic nephropathies with non-nephrotic proteinuria. Lancet. 1999; 354(9176):359–364."
"CG73ST249","CG73","","ST249","249  Lea J, Greene T, Hebert L et al. The relationship between magnitude of proteinuria reduction and risk of end-stage renal disease: results of the African American study of kidney disease and hypertension. Archives of Internal Medicine. 2005; 165(8):947–953."
"CG73ST250","CG73","","ST250","250  Agodoa LY, Appel L, Bakris GL et al. Effect of ramipril vs amlodipine on renal outcomes in hypertensive nephrosclerosis: a randomized controlled trial.[see comment]. JAMA : the Journal of the American Medical Association. 2001; 285(21):2719–2728."
"CG73ST251","CG73","","ST251","251  Hendry BM, Viberti GC, Hummel S et al. Modelling and costing the consequences of using an ACE inhibitor to slow the progression of renal failure in type I diabetic patients. QJM : monthly journal of the Association of Physicians. 1997; 90(4):277–282."
"CG73ST252","CG73","","ST252","252  Garattini L, Brunetti M, Salvioni F et al. Economic evaluation of ACE inhibitor treatment of nephropathy in patients with insulin-dependent diabetes mellitus in Italy. Pharmacoeconomics. 1997; 12(1):67–75."
"CG73ST253","CG73","","ST253","253  Rodby RA, Firth LM, Lewis EJ. An economic analysis of captopril in the treatment of diabetic nephropathy. The Collaborative Study Group. Diabetes Care. 1996; 19(10):1051–1061."
"CG73ST254","CG73","","ST254","254  Ruggenenti P, Pagano E, Tammuzzo L et al. Ramipril prolongs life and is cost effective in  chronic proteinuric nephropathies. Kidney International. 2001; 59(1):286–294."
"CG73ST255","CG73","","ST255","255  Schadlich PK, Brecht JG, Brunetti M et al. Cost effectiveness of ramipril in patients with non-diabetic nephropathy and hypertension: economic evaluation of Ramipril Efficacy in Nephropathy (REIN) Study for Germany from the perspective of statutory health insurance. Pharmacoeconomics. 2001; 19(5):497–512."
"CG73ST256","CG73","","ST256","256  van Hout BA, Simeon GP, McDonnell J et al. Economic evaluation of benazepril in chronic renal insufficiency. Kidney International – Supplement. 1997; 63:S159–S162."
"CG73ST257","CG73","","ST257","257  Hogan TJ, Elliott WJ, Seto AH et al. Antihypertensive treatment with and without benazepril in patients with chronic renal insufficiency: a US economic evaluation. Pharmacoeconomics. 2002; 20(1):37–47."
"CG73ST258","CG73","","ST258","258  Palmer AJ, Annemans L, Roze S et al. An economic evaluation of the Irbesartan in Diabetic Nephropathy Trial (IDNT) in a UK setting. Journal of Human Hypertension. 2004; 18(10):733–738."
"CG73ST259","CG73","","ST259","259  Rodby RA, Chiou CF, Borenstein J et al. The cost-effectiveness of irbesartan in the treatment of hypertensive patients with type 2 diabetic nephropathy. Clinical Therapeutics. 2003; 25(7):2102–2119."
"CG73ST260","CG73","","ST260","260  Palmer AJ, Roze S, Valentine WJ et al. Health economic implications of irbesartan plus conventional antihypertensive medications versus conventional blood pressure control alone in patients with type 2 diabetes, hypertension, and renal disease in Switzerland. Swiss Medical Weekly. 2006; 136(21–22):346–352."
"CG73ST261","CG73","","ST261","261  Coyle D, Rodby RA. Economic evaluation of the use of irbesartan and amlodipine in the treatment of diabetic nephropathy in patients with hypertension in Canada. Canadian Journal of Cardiology. 2004; 20(1):71–79."
"CG73ST262","CG73","","ST262","262  Vora J, Carides G, Robinson P. Effects of losartan-based therapy on the incidence of end-stage renal disease and associated costs in type 2 diabetes mellitus: A retrospective cost-effectiveness analysis in the United Kingdom. Current Therapeutic Research, Clinical & Experimental. 2005; 66(6):475–485."
"CG73ST263","CG73","","ST263","263  Herman WH, Shahinfar S, Carides GW et al. Losartan reduces the costs associated with diabetic end-stage renal disease: the RENAAL study economic evaluation. Diabetes Care. 2003; 26(3):683–687."
"CG73ST264","CG73","","ST264","264  Szucs TD, Sandoz MS, Keusch GW. The cost-effectiveness of losartan in type 2 diabetics with nephropathy in Switzerland—an analysis of the RENAAL study. Swiss Medical Weekly. 2004; 134(31–32):440–447."
"CG73ST265","CG73","","ST265","265  Burgess ED, Carides GW, Gerth WC et al. Losartan reduces the costs associated with nephropathy and end-stage renal disease from type 2 diabetes: Economic evaluation of the RENAAL study from a Canadian perspective. Canadian Journal of Cardiology. 2004; 20(6):613–618."
"CG73ST266","CG73","","ST266","266  Souchet T, Durand Z, I, Hannedouche T et al. An economic evaluation of Losartan therapy in type 2 diabetic patients with nephropathy: an analysis of the RENAAL study adapted to France. Diabetes & Metabolism. 2003; 29(1):29–35."
"CG73ST267","CG73","","ST267","267  Coyle D, Rodby R, Soroka S et al. Cost-effectiveness of irbesartan 300 mg given early versus late in patients with hypertension and a history of type 2 diabetes and renal disease: a Canadian perspective. Clinical Therapeutics. 2007; 29(7):1508–1523."
"CG73ST268","CG73","","ST268","268  Stafylas PC, Sarafidis PA, Grekas DM et al. A cost-effectiveness analysis of Angiotensin-converting enzyme inhibitors and Angiotensin receptor blockers in diabetic nephropathy. Journal of Clinical Hypertension. 2007; 9(10):751–759."
