Study GUID,Reference,,,,,,,
CG15AdultST328,"Bryden KS, Neil A, Mayou RA et al . Eating habits, body weight, and insulin misuse. A longitudinal study of teenagers and young adults with type 1 diabetes. Diabetes Care 1999; 22 :195660.",,,,,,,
CG15AdultST329,"Rodin G, Olmsted MP, Rydall AC et al . Eating disorders in young women with type 1 diabetes mellitus. Journal of Psychosomatic Research 2002; 53 :9439.",,,,,,,
CG15AdultST330,"Herpertz S, Wagener R, Albus C et al . Diabetes mellitus and eating disorders: a multicenter study on the comorbidity of the two diseases. Journal of Psychosomatic Research 1998; 44 :50315.",,,,,,,
CG15AdultST331,Nielsen S. Eating disorders in females with type 1 diabetes: an update of a meta-analysis. European Eating Disorders Review 2002; 10 :24154.,,,,,,,
CG15AdultST332,"Alloway SC, Toth EL, McCargar LJ. Effectiveness of a group psychoeducation program for the treatment of subclinical disordered eating in women with type 1 diabetes. Canadian Journal of Dietetic Practice and Research 2001; 62 :18892.",,,,,,,
CG15AdultST333,"Affenito SG, Kerstetter J. Position of the American Dietetic Association and Dietitians of Canada: womens health and nutrition. Journal of the American Dietetic Association 1999; 99 :73851.",,,,,,,
CG15AdultST334,"Rose M, Hildebrandt M, Fliege H et al . Relevance of the treatment facility for disease-related knowledge of diabetic patients. Diabetes Care 2000; 23 :17089.",,,,,,,
CG15AdultST335,"Diabetes Integrated Care Evaluation Team. Integrated care for diabetes: clinical, psychosocial, and economic evaluation. British Medical Journal 1994; 308 :120812.",,,,,,,
CG15AdultST336,"Fukunishi I, Horikawa N, Yamazaki T et al . Perception and utilization of social support in diabetic control. Diabetes Research and Clinical Practice 1998; 41 :20711.",,,,,,,
CG15AdultST337,"Connell CM, Davis WK, Gallant MP, Sharpe PA. Impact of social support, social cognitive variables, and perceived threat on depression among adults with diabetes. Health Psycholology 1994; 13 :26373.",,,,,,,
CG15AdultST338,"Loveman E, Cave C, Green C et al . The clinical and cost-effectiveness of patient education models for diabetes: a systematic review and economic evaluation. Health Technology Assessment . 2003; 7 :iii, 1iii190.",,,,,,,
CG15AdultST339,"Glasgow RE, La Chance PA, Toobert DJ et al . Long-term effects and costs of brief behavioural dietary intervention for patients with diabetes delivered from the medical office. Patient Education and Counseling 1997; 32 :17584.",,,,,,,
CG15AdultST340,"Kaplan RM, Hartwell SL, Wilson DK, Wallace JP. Effects of diet and exercise interventions on control and quality of life in non-insulin-dependent diabetes mellitus. Journal of General Internal Medicine 1987; 2 :2208.",,,,,,,
CG15AdultST341,"Starostina EG, Antsiferov M, Galstyan GR et al . Effectiveness and cost-benefit analysis of intensive treatment and teaching programmes for type 1 (insulin-dependent) diabetes mellitus in Moscow  blood glucose versus urine glucose self-monitoring. Diabetologia 1994; 37 :1706.",,,,,,,
CG15AdultST342,"Dranitsaris G, Longo CJ, Grossman LD. The economic value of a new insulin preparation, Humalog Mix25. Measured by a willingness-to-pay approach. Pharmacoeconomics 2000; 18 :27587.",,,,,,,
CG15AdultST343,Lifetime benefits and costs of intensive therapy as practiced in the diabetes control and complications trial. The Diabetes Control and Complications Trial Research Group. Journal of the American Medical Association 1996; 276 :140915.,,,,,,,
CG15AdultST344,"Palmer AJ, Sendi PP, Spinas GA. Applying some UK Prospective Diabetes Study results to Switzerland: the cost-effectiveness of intensive glycaemic control with metformin versus conventional control in overweight patients with type-2 diabetes. Schweizerische medizinische Wochenschrift 2000; 130 :103440.",,,,,,,
CG15AdultST345,"Herman WH, Dasbach EJ, Songer TJ, Eastman RC. The cost-effectiveness of intensive therapy for diabetes mellitus. Endocrinology and Metabolism Clinics of North America 1997; 26 :67995.",,,,,,,
CG15AdultST346,"Stern Z, Levy R. Analysis of direct cost of standard compared with intensive insulin treatment of insulin- dependent diabetes mellitus and cost of complications. Acta Diabetolica 1996; 33 :4852.",,,,,,,
CG15AdultST347,"Graff MR,. McClanahan MA. Assessment by patients with diabetes mellitus of two insulin pen delivery systems versus a vial and syringe. Clinical Therapeutics 1998; 20 :48696. 169 References",,,,,,,
CG15AdultST348,"Hornquist JO, Wikby A, Stenstrom U, Andersson PO. Change in quality of life along with type 1 diabetes. Diabetes Research and Clinical Practice 1995; 28 :6372.",,,,,,,
CG15AdultST349,"Hornquist JO, Wikby A, Andersson PO, Dufva AM. Insulin-pen treatment, quality of life and metabolic control: retrospective intra-group evaluations. Diabetes Research and Clinical Practice 1990; 10 :22130.",,,,,,,
CG15AdultST350,"Jonsson B, Cook JR, Pedersen TR. The cost-effectiveness of lipid lowering in patients with diabetes: results from the 4S trial. Diabetologia 1999; 42 :1293301.",,,,,,,
CG15AdultST351,"Grover SA, Coupal L, Zowall H, Dorais M. Cost-effectiveness of treating hyperlipidemia in the presence of diabetes : who should be treated? Circulation 2000; 102 :7227.",,,,,,,
CG15AdultST352,"Grover SA, Coupal L, Zowall H et al . How cost-effective is the treatment of dyslipidemia in patients with diabetes but without cardiovascular disease? Diabetes Care 2001; 24 :4550.",,,,,,,
CG15AdultST353,"Grover SA, Levinton C, Paquet S. Identifying adults at low risk for significant hyperlipidemia: a validated clinical index. Journal of Clinical Epidemiology 1999; 52 :4955.",,,,,,,
CG15AdultST354,"Javitt JC, Canner JK, Sommer A. Cost effectiveness of current approaches to the control of retinopathy in type I diabetics. Ophthalmology 1989; 96 :25564.",,,,,,,
CG15AdultST355,"Javitt JC, Canner JK, Frank RG et al . Detecting and treating retinopathy in patients with type I diabetes mellitus. A health policy model. Ophthalmology 1990; 97 :48394.",,,,,,,
CG15AdultST356,"Javitt JC, Aiello LP, Bassi LJ et al . Detecting and treating retinopathy in patients with type I diabetes mellitus. Savings associated with improved implementation of current guidelines. American Academy of Ophthalmology. Ophthalmology 1991; 98 :156573.",,,,,,,
CG15AdultST357,"Fendrick AM, Javitt JC, Chiang YP. Cost-effectiveness of the screening and treatment of diabetic retinopathy. What are the costs of underutilization? International Journal of Technology Assessment in Health Care 1992; 8 :694707.",,,,,,,
CG15AdultST358,"Javitt JC,.Aiello LP. Cost-effectiveness of detecting and treating diabetic retinopathy. Annals of Internal Medicine 1996; 124 :1649.",,,,,,,
CG15AdultST359,"Crijns H, Casparie AF, Hendrikse F. Continuous computer simulation analysis of the cost-effectiveness of screening and treating diabetic retinopathy. International Journal of Technology Assessment in Health Care 1999; 15 :198206.",,,,,,,
CG15AdultST360,"Polak BC, Crijns H, Casparie AF, Niessen LW. Cost-effectiveness of glycemic control and ophthalmological care in diabetic retinopathy. Health Policy 2003; 64 :8997.",,,,,,,
CG15AdultST361,"Bjorvig S, Johansen MA, Fossen K. An economic analysis of screening for diabetic retinopathy. Journal of Telemedicine and Telecare 2002; 8 :325.",,,,,,,
CG15AdultST362,"Maberley D, Walker H, Koushik A, Cruess A. Screening for diabetic retinopathy in James Bay, Ontario: a cost-effectiveness analysis. Canadian Medical Association Journal 2003; 168 :1604.",,,,,,,
CG15AdultST363,"Pegoraro A, Singh A, Bakir AA, Arruda JA, Dunea G. Simplified screening for microalbuminuria. Annals of Internal Medicine 1997; 127 :8179.",,,,,,,
CG15AdultST364,Lewis JB. Microalbuminuria: accuracy or economics. American Journal of Kidney Diseases 1998; 32 :5248.,,,,,,,
CG15AdultST365,"Faronato P, de Bigontina G. A cost-benefit analysis of two mass screening strategies for albuminuria in diabetic patients. Diabetes, Nutrition & Metabolism: Clinical and Experimental 1994; 7 (6):325329.",,,,,,,
CG15AdultST366,Le Floch JP. Cost effectiveness of screening for microalbuminuria. Diabetic Medicine 1994; 11 :349356: (Abstract),,,,,,,
CG15AdultST367,"Hendry BM, Viberti GC, Hummel S et al . Modelling and costing the consequences of using an ACE inhibitor to slow the progression of renal failure in type I diabetic patients. Quarterly Journal of Medicine 1997; 90 :27782.",,,,,,,
CG15AdultST368,"Garattini L, Brunetti M, Salvioni F, Barosi M. Economic evaluation of ACE Inhibitor treatment of nephropathy in patients with insulin-dependent diabetes mellitus in Italy. Pharmacoeconomics 1997; 12 :6775. 170 Type 1 diabetes in adults: national clinical guideline for diagnosis and management",,,,,,,
CG15AdultST369,"Rodby RA, Firth LM, Lewis EJ. An economic analysis of captopril in the treatment of diabetic nephropathy. The Collaborative Study Group. Diabetes Care 1996; 19 :105161.",,,,,,,
CG15AdultST370,"Clark WF, Churchill DN, Forwell L et al . To pay or not to pay? A decision and cost-utility analysis of angiotensin-converting-enzyme inhibitor therapy for diabetic nephropathy. Canadian Medical Association Journal 2000; 162 :1958.",,,,,,,
CG15AdultST371,"van Os N, Niessen LW, Bilo HJ et al . Diabetes nephropathy in the Netherlands: a cost effectiveness analysis of national clinical guidelines. Health Policy 2000; 51 :13547.",,,,,,,
CG15AdultST372,"Borch-Johnsen K, Wenzel H, Viberti GC, Mogensen CE. Is screening and intervention for microalbuminuria worthwhile in patients with insulin dependent diabetes? British Medical Journal 1993; 306 :17225.",,,,,,,
CG15AdultST373,"Kiberd BA, Jindal KK. Screening to prevent renal failure in insulin dependent diabetic patients: an economic evaluation. British Medical Journal 1995; 311 :15959.",,,,,,,
CG15AdultST374,"Siegel JE, Krolewski AS, Warram JH, Weinstein MC. Cost-effectiveness of screening and early treatment of nephropathy in patients with insulin-dependent diabetes mellitus. Journal of the American Society of Nephrology 1992; 3 :S111S119.",,,,,,,
CG15AdultST375,"Palmer AJ, Weiss C, Sendi PP, Neeser K, Brandt A, Singh G et al . The cost-effectiveness of different management strategies for type I diabetes: a Swiss perspective. Diabetologia 2000; 43 :1326.",,,,,,,
CG15AdultST376,"Allenet B, Paree F, Lebrun T, Carr L, Posnett J, Martini J et al . Cost-effectiveness modeling of Dermagraft for the treatment of diabetic foot ulcers in the French context. Diabetes and Metabolism 2000; 26 :12532.",,,,,,,
CG15AdultST377,"University of York Health Economics Consortium. Evaluation of the cost-effectiveness of Dermagraft for the treatment of diabetic foot ulcers in the UK . York: YHEC, 1997.",,,,,,,
CG15AdultST378,"Kowalske KJ, Agre JC. Neuromuscular rehabilitation and electrodiagnosis.3. Generalized peripheral neuropathy. Archives of Physical Medicine and Rehabilitation 2000; 81 :S20S26.",,,,,,,
CG15AdultST379,"Javor KA, Kotsanos JG, McDonald RC et al . Diabetic ketoacidosis charges relative to medical charges of adult patients with type I diabetes. Diabetes Care 1997; 20 :34954.",,,,,,,
CG15AdultST380,"Davey P, Grainger D, MacMillan J et al . Economic evaluation of insulin lispro versus neutral (regular) insulin therapy using a willingness-to-pay approach. Pharmacoeconomics 1998; 13 :34758.",,,,,,,
CG15AdultST381,"Wu SY, Lung BC, Chang S et al . Evaluation of drug usage and expenditure in a hospital diabetes clinic. Journal of Clinical Pharmacy and Therapeutics 1998; 23 :4956.",,,,,,,
CG15AdultST382,"McIntosh A, Hutchinson A, Home PD et al . Clinical guidelines and evidence review for Type 2 diabetes: management of blood glucose . Sheffield: ScHARR, University of Sheffield, 2001.",,,,,,,
CG10ST1,"Abbott CA, Vileikyte L, Williamson S, Carrington AL, Boulton AJM (1998) Multicentre study of the incidence of and predictive risk factors for diabetic neuropathic foot ulceration. Diabetes Care 21: 107176.",,,,,,,
CG10ST2,"Adler AI, Boyko EJ, Ahroni JH, Smith DG, (1999) Lower-extremity amputation in diabetes. Diabetes Care 22: 1029-1035.",,,,,,,
CG10ST3,"Ahroni JH, Boyko EJ, Pecoraro RE (1993) Diabetic foot ulcer healing: extrinsic vs intrinsic factors. Wounds 5: 24555.",,,,,,,
CG10ST4,"Albert, S. 2002, Cost-effective management of recalcitrant diabetic foot ulcers""", Clinics in Podiatric Medicine & Surgery, vol. 19, no. 4," pp. 483-491.""",,,
CG10ST5,"Allenet, B., Paree, F., Lebrun, T., Carr, L., {psmett, J., Martini, J., & Yvon, C.(2000), Cost- effectiveness modeling of Dermagraft for the treatment of diabetic foot ulcers in the french context""", Diabetes & Metabolism, vol. 26, no. 2," pp. 125-132.""",,,
CG10ST6,American Diabetes Association (1991) Position statement: Foot care guidelines. Alexandria. VA: American Diabetes Association.,,,,,,,
CG10ST7,"Apelqvist, J., Ragnarson, T. G., & Larsson, J. (1995), Topical treatment for diabetic foot ulcers: an economic analysis of treatment alternatives and strategies""", Diabetic Medicine, vol. 12, no. 2," pp. 123-128.""",,,
CG10ST8,"Apelqvist, J., Ragnarson, T. G., Larsson, J., & Persson, U. (1995), Long-term costs for foot ulcers in diabetic patients in a multidisciplinary setting""", Foot & Ankle International, vol. 16, no. 7," pp. 388-394.""",,,
CG10ST9,"Apelqvist, J., Ragnarson, T. G., Persson, U., & Larsson, J. (1994), Diabetic foot ulcers in a multidisciplinary setting. An economic analysis of primary healing and healing with amputation""", Jounral of Internal Medicine, vol. 235, no. 55," pp. 463-471.""",,,
CG10ST10,"Apelqvist J, Agardh C-D (1992) The association between clinical risk factors and outcome of diabetic foot ulcers. Diabetes Research and Clinical Practice 18: 4345.",,,,,,,
CG10ST11,"Apelqvist J, Castenfors J, Larsson J, Stenstrom A, Persson G (1990) Ketanserin in the treatment of diabetic foot ulcers with severe PVD. International Angiology 9: 12024.",,,,,,,
CG10ST12,"Apelqvist J, Tennvall GR (1996) Cavity foot ulcers in diabetic patients: a comparative study of cadexomer iodine ointment and standard treatment. Acta Derm Venereol (Stockh) 76: 23135.",,,,,,,
CG10ST13,"Armstrong D G, Nguyen H C (2000) Improvement in healing with aggressive edema reduction after debridement of foot infection in persons with diabetes. Arch Surg 135: 1405-1409.",,,,,,,
CG10ST14,"Armstrong D G, Nguyen, H C, Lavery L A, van Schie C H M, Boulton A J M, Harkless L B (2001) Off-loading the diabetic foot wound. A randomized clinical trial. Diabetes Care, 24: 1019-1022.",,,,,,,
CG10ST15,Baker N (unpublished). Allevyn vs sorbsan in the treatment of diabetic foot ulcers.,,,,,,,
CG10ST16,"Barth R, Campbell LV, Allen S, Jupp JJ, Chisholm DJ (1991) Intensive education improves knowledge, compliance and foot problems in Type 2 diabetes. Diabetic Medicine 8: 111 17.",,,,,,,
CG10ST17,"Benbow SJ, Walsh A, Gill GV (1997) Diabetes in institutionalised elderly people: a forgotten population? British Medical Journal 314: 186869.",,,,,,,
CG10ST18,"Blackman JD, Senseng D, Quinn L, Mazzone T (1994) Clinical evaluation of a semipermeable polymeric membrane dressing for the treatment of chronic diabetes foot ulcers. Diabetes Care 17: 32225.",,,,,,,
CG10ST19,"Bland JM, Jones DR, Bennett S, Haines AP, MacFarlane AJ (1985) Is the clinical trial evidence about new drugs statistically adequate? British Journal of Clinical Pharmacology 19: 15560.",,,,,,,
CG10ST20,"Bloomgarden ZT, Karmally W, Metzger J, Brothers M, Nechemias C, Bookman J, et al (1987) Randomized control trial of diabetic patient education: improved knowledge without improved metabolic status. Diabetes Care 10: 26372.",,,,,,,
CG10ST21,Booth J Young MJ (2000) Differences in the performance of commercially available 10g monofilaments Diabetes Care 23: 984-988,,,,,,,
CG10ST22,"Boulton AJM, Gries FA, Jervell JA (1998) Guidelines for the diagnosis and outpatient management of diabetic peripheral neuropathy. Diabetic Medicine 15: 50814.",,,,,,,
CG10ST23,"Boyko EJ, Ahroni JH, Stensel V, Forsberg RC, Davignon DR, Smith DG (1999) A prospective study of risk factors for diabetic foot ulcer. The Seattle diabetic foot study. Diabetes Care 22: 1036-1042",,,,,,,
CG10ST24,"Bradsher RW, Snow RM (1984) Ceftriaxone treatment of skin and soft tissue infections in a once daily regimen. American Journal of Medicine October 19: 6367.",,,,,,,
CG10ST25,"British National Formulary Number 35 (March 1998). The British Medical Association and the Royal Pharmaceutical Society of Great Britain, London.",,,,,,,
CG10ST26,Cabezas-Cerrato for the Neuropathy Spanish Study Group of the Spanish Diabetes Society (SDS) (1998) The prevalence of clinical diabetic polyneuropathy in Spain: a study in primary care and hospital clinic groups. Diabetologia 41: 1263-1269,,,,,,,
CG10ST27,"Caddick SL, McKinnon M, Payne N, Ward TJ, Thornton-Jones H, Kells J, Ward JD (1994) Hospital admissions and social deprivation of patients with diabetes mellitus. Diabetic Medicine 11: 98183.",,,,,,,
CG10ST28,"Campbell E M, Redman S, Moffitt P S, Sanson-Fisher R W (1996) The relative effectiveness of educational and behavioural instruction programs for patients with NIDDM: A randomized trial. The Diabetes Educator 22: 379-386.",,,,,,,
CG10ST29,"Caravaggi C, Faglia E, De Giglio R, Mantero M, Quarantiello A, Sommariva E, Gino M, Pritelli C, Morabito A (2000) Effectiveness and safety of a nonremovable fibreglass off- bearing cast versus a therapeutic shoe in the treatment of neuropathic foot ulcers. A randomized study. Diabetes Care 23: 1746-1751.",,,,,,,
CG10ST30,"Cavanagh PR, Vickers KL, Young MJ, Boulton AJM, Adams JE (1994) Radiographic abnormalities in the feet of patients with diabetic neuropathy. Diabetes Care 17: 201209.",,,,,,,
CG10ST31,"Cesarone M R, Incandela L, Belcaro G, Sanctis M T, Ricci A, Griffin M, (2001) Two-week topical treatment with essaven gel in patients with diabetic microangiopathy. A placebo- controlled, randomized study. Angiology 52: S43-S48.",,,,,,,
CG10ST32,"Chantelau E, Tanudjaja T, Altenhfer F, Ersanli Z, Lacigova S, Metzger C (1996) Antibiotic treatment for uncomplicated neuropathic forefoot ulcers in diabetes: a controlled trial.Diabetic Medicine 13: 15659.",,,,,,,
CG10ST33,"Chaturvedi N, Stephenson JM, Fuller JH (1996) The relationship between socioeconomic status and diabetes control and complications in the EURODIAB IDDM complications study. Diabetes Care 19: 42330.",,,,,,,
CG10ST34,"Clever HU, Dreyer M (1996) Comparing two wound dressings for the treatment of neuropathic diabetic foot ulcers. Proceedings of the 5th European Conference on Advances in Wound Management. London: MacMillan: 201203.",,,,,,,
CG10ST35,Cohen S (1983) Potential barriers to diabetes care. Diabetes Care 6: 499500.,,,,,,,
CG10ST36,"Colagiuri S, Marsden LL, Naidu V, Taylor L (1995) The use of orthotic devices to correct plantar callus in people with diabetes. Diabetes Research and Clinical Practice 28: 2934.",,,,,,,
CG10ST37,Collier BN (1971) Comparative study of diabetes knowledge among juvenile diabetics and their parents. Diabetes 20: 5157.,,,,,,,
CG10ST38,"Connor H (1987) The economic impact of diabetic foot disease. In: Connor H, Boulton AJM, Ward JD (eds). The foot in diabetes. Chichester: Wiley: 14549.",,,,,,,
CG10ST39,"Cook TD, Campbell DT (1979) Quasi-experimentation: design and analysis issues for field settings. Chicago: Rand McNally.",,,,,,,
CG10ST40,"Currie, C. J., Morgan, C. L., & Peters, J. R. (1998), The epidemiology and cost of inpatient care for peripheral vascular disease", infection, neuropathy," and ulceration in diabetes""", Diabetes Care, vol. 21, no. 1," pp. 42-48."""
CG10ST41,"Day JL, Humphreys H, Alban-Davies H (1987) Problems of comprehensive shared diabetes care. British Medical Journal 294: 159092.",,,,,,,
CG10ST42,"Deerochanawong C, Home PD, Alberti KGMM (1992) A survey of lower limb amputation in diabetic patients. Diabetic Medicine 9: 94246.",,,,,,,
CG10ST43,"De Lalla F, Pellizzer G, Strazzabosco M, Martini Z, Jardin G D, Lora L, Fabris P, Benedetti P, Erle G, (2001) Randomized prospective controlled trial of recombinant granulocyte colony-stimulating factor as adjunctive therapy for limb-threatening diabetic foot infection. Antimicrobial Agents and Chemotherapy 45: 1094-1098.",,,,,,,
CG10ST44,Department of Health (2002) Current and Future Research on Diabetes: A review for the Department of Health and the Medical Research Council London: Department of Health,,,,,,,
CG10ST45,Department of Health (2001a) National Service Framework for Diabetes: Standards London: Department of Health,,,,,,,
CG10ST46,"Department of Health (2001b) National Service Framework for Diabetes: Supplementary Material, Intervention details and draft service models London: Department of Health",,,,,,,
CG10ST47,"DerSimonian R, Laird N (1986) Meta analysis in clinical trials. Controlled Clinical Trials 7: 17788.",,,,,,,
CG10ST48,"De Sanctis M T, Cesarone M R, Incandela L, Belcaro G, Ricci A, Griffin M, (2001) Four- week treatment with essaven gel in diabetic microangiopathy. A placebo-controlled, randomized study. Angiology 52: S49-S55.",,,,,,,
CG10ST49,"de Sonnaville JJJ, Colly LP, Wijkel D, Heine RJ (1997) The prevalence and determinants of foot ulceration in Type 2 diabetic patients in a primary health care setting. Diabetes Research and Clinical Practice 35: 14956.",,,,,,,
CG10ST50,"Di Mauro C, Ossino AM, Trefiletti M, Polosa P, Beghe F (1991) Lyophilized collagen in the treatment of diabetic ulcers. Drugs and Experimental Clinical Research XVII: 37173.",,,,,,,
CG10ST51,Diabetes Control and Complications Trial Research Group (DCCT) (1993) The effect of intensive treatment of diabetics on the development and progression of long-term complications in insulin-dependent diabetes mellitus. New England Journal of Medicine 329: 97786.,,,,,,,
CG10ST52,"Diabetes Integrated Care Evaluation (DICE) (1994) Diabetes Integrated Care Evaluation Team. Integrated care for diabetes: clinical, psychosocial, and economic evaluation. British Medical Journal 308: 120812.",,,,,,,
CG10ST53,"Donaghue VM, Chrzan JS, Rosenblum BI et al (1996) A clinical evaluation of a collagen- alginate topical wound dressing in the management of diabetic foot ulcers. Diabetes Electronic Highlights Bulletin (A daily summary of selected presentations made at the 56th annual meeting and scientific sessions of the American Diabetes Association, No 2: June 9, 1996).",,,,,,,
CG10ST54," Donaghue V M, Chrzan J S, Rosenblum B I, Giurini J M, Habershaw G M, Veves A, (1998) Evaluation of a collagen-alginate wound dressing in the management of diabetic foot ulcers. Advances in Wound Care 11: 114-119.",,,,,,,
CG10ST55,"Donohoe M E, Fletton J A, Hook A, Powell R, Robinson I, Stead J W, Sweeney K, Taylor R, Tooke J E (2000) Improving foot care for people with diabetes mellitus  a randomized controlled trial of an integrated care approach. Diabetic Medicine 17: 581-587.",,,,,,,
CG10ST56,"Dornan TL, Peck GM, Dow JDC, Tattersall RB (1992) A community survey of diabetes in the elderly. Diabetic Medicine; 9: 86065.",,,,,,,
CG10ST57,"Dunn NR, Bough P (1996) Standards of care of diabetic patients in a typical English community. British Journal of General Practice; 46: 401405.",,,,,,,
CG10ST58,"Eckman, M. H., Greenfield, S., Mackey, W. C., Wong, J. B., Kaplan, S., Sullivan, L., Dukes, K., & Pauker, S. G. (1995), Foot infections in diabetic patients Decision and cost- effectiveness analyses""", JAMA, vol. 273, no. 9," pp. 712-720.""",,,
CG10ST59,"Eckman MH, Greenfield S, Mackey WC, Wong JB, Kaplan S, Sullivan L, Dukes K, Pauker SG (1995) Foot infections in diabetic patients: decision and cost-effectiveness analyses. Journal of the American Medical Association 273: 71220.",,,,,,,
CG10ST61,"Edmonds, M., Gough, A., Solovera, J., & Standaert, B. (1999), Filgrastim in the treatment of infected diabetic foot ulcers - Retrospective cast analysis of a phase II randomised clinical trial""", Clinical Drug Investigation, vol. 17, no. 4," pp. 275-286.""",,,
CG10ST62,"Edmonds ME, Blundell MP, Morris ME, Cotton LT, Watkins PI (1986) Improved survival of the diabetic foot: the role of the specialised foot clinic. Quarterly Journal of Medicine 60: 76371.",,,,,,,
CG10ST63,"Edmonds M, Boulton A, Buckenham T, Every N et al (1996) Report of the diabetic foot and amputation group. Diabetic Medicine 13: S2742.",,,,,,,
CG10ST64,"El-Shazly M, Abdel-Fattah M, Scorpiglione N, Benedetti MM, Capani F, Carinci F, Carta  Q, Cavaliere D, De Feo EM, Taboga C, Tognoni G, Nicolucci A on behalf of the The Italian Study Group for the Implementation of the St Vincent Declaration (1998) Risk factors for lower limb complications in diabetic patients. Journal of Diabetes and Its Complications  12: 10-17",,,,,,,
CG10ST65,"Faglia E, Favales F, Aldeghi A, Patrizia C, Quarantiello A, Oriani G, Michael M, Campiagnoli P, Morabito A (1996) Adjunctive systemic hyperbaric oxygen therapy in the treatment of severe prevalently ischemic diabetic foot ulcers. Diabetes Care; 19: 133843.",,,,,,,
CG10ST66,"File TM, Tan JS (1983) Amdinocillin plus cefoxitin versus cefoxitin alone in therapy of mixed soft tissue infections (including diabetic foot infections). American Journal of Medicine 75: 100105.",,,,,,,
CG10ST67,"Fletcher AK, Dolben J (1996) A hospital survey of the care of elderly patients with diabetes mellitus. Age and ageing: 25: 34952.",,,,,,,
CG10ST68,"Foster AVM, Greenhill MT, Edmonds ME (1994) Comparing two dressings in the treatment of diabetic foot ulcers. Journal of Wound Care 3: 22428.",,,,,,,
CG10ST69,"Frykberg RG, Lavery LA, Pham H, Harvey C, Harkless L, Veves A (1998) Role of neuropathy and high foot pressures in diabetic foot ulceration. Diabetes Care 21: 1714- 1719.",,,,,,,
CG10ST70,"Gaster B, Hirsch IB (1998) The effects of improved glycemic control on complications in Type 2 diabetes. Archives of Internal Medicine 158: 13440.",,,,,,,
CG10ST71,"Gentzkow G, Iawaski S, Hershon K, Mengel M, Prendergast J, Ricotta J, Steed D, Lipkin S (1996) Use of dermagraft, a cultured human dermis, to treat diabetic foot ulcers. Diabetes Care 19: 35054.",,,,,,,
CG10ST72,"Ghatnekar, O., Willis, M., & Persson, U. (2002), Cost-effectiveness of treating deep diabetic foot ulcers with Promogran in four European countries""", Journal of Wound Care, vol. 11, no. 2," pp. 70-74.""",,,
CG10ST73,"Gough A, Clapperton M, Rolando N, Foster AVM, Philpott-Howard J, Edmonds ME (1997) Randomised placebo-controlled trial of granulocyte-colony stimulating factor in diabetic foot infection. Lancet 350: 85559.",,,,,,,
CG10ST74,"Grayson ML, Gibbons GW, Habershaw GM, Freeman DV, Pomposelli FB, Rosenblum BI, Levin C, Karchmer AW (1994) Use of ampicillin/sulbactam versus imipenem/cilastitin in the treatment of limb-threatening foot infections in diabetic patients. Clinical Infectious Diseases 18: 68393.",,,,,,,
CG10ST75,"Greenhalgh T (1994) Shared care for diabetes  a systematic review. Royal College of General Practitioners Occasional Paper 67. London, RCGP.",,,,,,,
CG10ST76,"Griffin S, Kinmonth AL (1998) Diabetes care: the effectiveness of systems for routine surveillance for people with diabetes. In Williams R, Bennett P, Nicolucci A, Krans HMJ, Ramirez G (eds). Diabetes module of the cochrane database of systematic reviews, (updated 01 December 1997). Available in the Cochrane Library, 1998, Issue 1.",,,,,,,
CG10ST77,"Gurlek A, Bayraktar M, Savas C, Gedik O (1998) Amputation rate in 147 Turkish patients with diabetic foot. Experimental and Clinical Endocrinology & Diabetes 106: 404-409.",,,,,,,
CG10ST78,"Hampson JP, Roberts RI, Morgan DA (1996) Shared care: a review of the literature. Family Practice 13: 26479.",,,,,,,
CG10ST79,"Hamalainen H, Ronnemaa T, Toikka T, Liukkonen I (1998) Long-term effects of one year   of intensified podiatric activities on foot-care knowledge and self-care habits in patients with diabetes. The Diabetes Educator 24: 734-740.",,,,,,,
CG10ST80,"Hamalainen H, Ronnemaa T, Halonen J-P & Toikka T (1999) Factors predicting lower extremity amputations in patients with type 1 or type 2 diabetes mellitus: a population-based 7-year follow-up study. Journal of Internal Medicine 246: 97-103.",,,,,,,
CG10ST81,"Hayes TM, Harries JM (1984) Randomised controlled trial of routine hospital clinic care versus routine general practice care for Type II diabetics. British Medical Journal 289: 72830.",,,,,,,
CG10ST82,"Health Survey for England 96; Volume 1: Findings. (ed.) Prescott-Clarke P, Primatesta P (1996) London: The Stationery Office.",,,,,,,
CG10ST83,"Heng M C Y, Harker J, Csathy G, Marshall C, Brazier J, Sumampong S, Gomez E P (2000) Angiogenesis in necrotic ulcers treated with hyperbaric oxygen. Ostomy Wound Management 46: 18-28.",,,,,,,
CG10ST84,"Hickman M, Drummond N and Grimshaw J (1994) A taxonomy of shared care for chronic disease. Journal of Public Health Medicine 16: 44754.",,,,,,,
CG10ST85,"Holloway G, Steed D, DeMarco M, Masmuto T, Moosa H, Webster M, Bunt T, Polansky M (1993) A randomised controlled dose response trial of activated platelet supernatant, topical CT-102 in chronic, non-healing diabetic wounds. Wounds 5: 198206.",,,,,,,
CG10ST86,"Holstein P, Ellitsgaard N, Olsen B B, Ellitsgaard V, (2000) Decreasing incidence of major amputations in people with diabetes. Diabetologia 43: 844-847.",,,,,,,
CG10ST87,"Hoskins PL, Fowler PM, Constantino M, Forrest J, Yue DK, Turtle JR (1993) Sharing the care of diabetic patients between hospital and general practitioners: does it work? Diabetic Medicine 10: 8186.",,,,,,,
