"Evidence statement GUID","Evidence statement","Evidence Category Code","Evidence statement subject","Set GUID"
"CG15AdultES97","The DCCT data has never been satisfactorily analysed with a view to answering this question. A graph in the original main paper 117 suggests a curvilinear relationship between control and complications, giving the conclusion that lower is always better (ignoring the hypoglycaemia issue for this purpose), down at least to the levels measured in the study (5.5%). This conclusion is called into question because:
? it is based on study averages, and even people at lower levels over nine years may have been at high levels at times
? it takes no account of pre-trial levels
? incident retinopathy is counted only in a forward (worsening) direction, which makes no allowance for false negative retinopathy at baseline
? worsening retinopathy is known to occur in the first two years after improvement of blood glucose control, and this is not discounted","IIa","-","CG15AdultS11"
"CG15AdultES98","Fu r ther analysis was published in 1995. 118 Un fortunately, this is mostly in the form of a series of fitted curves without the data on which they are based. Curves of risk vs time suggest that r etinopathy progression in the intensively managed group did not increase with time with a mean HbA 1c of 8.0%, and increased little at this level in the conventionally managed group w ith time","IIa","-","CG15AdultS11"
"CG15AdultES99","R eanalysis of the published DCCT curve 118 suggests no worsening of retinopathy rates from normal levels until HbA 1c >8.0%; the ‘low’ rates (2% per 100 patient years) below that may be artefact for the reasons given above. The UKPDS (epidemiological analysis, Type 2 diabetes, microvascular disease) suffers much the same problems. 119 A similar level is found for r etinopathy of 2% per 100 patient years at an HbA 1c of 7.5% and of 1% per 100 patient years at a level of 6.5% ","III","-","CG15AdultS11"
"CG15AdultES100","One study (1989) 120 studied HbA 1 and retinopathy incidence long term in Belfast. While some clear relationships were established the data showing no proliferative retinopathy below an HbA 1 of 10.0% (HbA 1c 8.5%) are compromised by very small numbers, and only interquartile r anges are given for non-proliferative retinopathy","III","-","CG15AdultS11"
"CG15AdultES101","Ne ither the Oslo nor Stockholm studies of control and complications in Type 1 diabetes 121 give useful data on targets and thresholds, beyond showing that people with lower levels on average do better","III","-","CG15AdultS11"
"CG15AdultES102","A non-randomised controlled study 122 looked prospectively at glycated Hb and micro- albuminuria risk in people with Type 1 diabetes attending their clinic. Their data did suggest a threshold effect (small and unchanging incidence below threshold, sharp rise above), at 7.9–8.5% HbA 1c (the authors chose to centre on 8.1%)","IIa","-","CG15AdultS11"
"CG15AdultES103","A non-randomised controlled study 123 looked at how glycated Hb measurement related to OG TT re sults, performing a meta-analysis on 18 studies. Unfortunately most of these were published before any kind of GHb standardisation, rendering the results uninterpretable","IIa","-","CG15AdultS11"
"CG15AdultES104","A further cohort study 124 looked in more detail at GHb, fasting and 2h glucose as diagnostic methods (and thus mainly Type 2 diabetes), using retinopathy and nephropathy as outcome measures. It may be noted that the Wisconsin data suggested that the microvascular/glucose co ntrol relationships were the same in Type 1 and Type 2 diabetes. The data presentations are strongly reminiscent of previous work, 122 w ith low and unchanging incidence of microvascular disease up to an inflection point, then sharply rising rates. The thresholds for fasting glucose appear to be somewhere above 6.8 mmol/l (consistent with older OGTT data), and HbA 1c somewhere above 7.4% (and below 9.1%)","IIa","-","CG15AdultS11"
"CG15AdultES105","Tw o non-randomised controlled studies 116,125 re port the relationship between HbA 1c and self- monitored pre- and post-prandial glucose levels. The reports are consistent and can be related to D CCT-harmonised assays. It must be noted that these studies used pre-determined, self- monitored profiles taken from memory meters, and cannot easily be translated into patient- selected estimations, or only pre-prandial monitoring. They also omit the effects of night-time gl ucose profiles between bedtime and pre-breakfast readings. These data give the most robust ev idence of the relationship between HbA 1c and the toxic glucose concentrations which actually cause the microvascular damage","IIa","Glucose equivalents","CG15AdultS11"
"CG15AdultES106","In sulin with the molecular structure of human and animal insulins is currently available. Ev idence from the majority of studies 126–8 re ports no significant differences in hypoglycaemic episodes and glycaemic control between the insulin of human and animal chemical structures","Ia","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES107","Co nv entional two-dose insulin regimens may re sult in a high frequency of nocturnal hy poglycaemia. Intensified three-dose insulin regimens improve glycaemic control, but often do not improve morning blood glucose 129","Ia","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES108","Co ntinuous subcutaneous insulin infusion (CSII) improves nocturnal and morning glycaemic co ntrol compared with multiple daily injection (MDI) regimens. With multiple injection re g imens the morning injection must not be delaye d. Total and bolus insulin doses required are lower with CSII compared with MDI 130","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES109","Mo r tality from acute metabolic causes (ketoacidosis) was reported as significantly increased w ith intensified treatment; odds ratio 7.20 (pumps) 1.13 (multiple daily injection). 129 The pump data is however based on early pump technologies","Ia","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES110","S imilar glycaemic control results from either lente or isophane (NPH) insulin when used as basal insulin for multiple injection regimens toge ther with a short-acting insulin preparation before meals 131","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES111","On the balance of effectiveness and cost-effectiveness evidence, insulin glargine, which has a peakless action profile, is also recommended as a long-acting preparation for people with Ty pe 1 diabetes; 132 some studies in this review show significantly lower fasting blood glucose w ith insulin glargine than isophane (NPH) insulin and others suggest that people on insulin g largine may experience fewer hypoglycaemic ev ents than people receiving once-daily isophane (NPH) insulin 132","NICE","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES112","Ev idence from a large multicentred study suggests that people commonl y inject insulin closer to mealtime than the recommended 30 minutes. Due to slow absorption and delayed action, the use of unmodified (‘soluble’) human insulin as pre-meal dose results in high and variable post-breakfast blood glucose concentrations, which together with the incidence of later hy poglycaemia suggests that this regimen does not give satisfactory post-prandial blood glucose contr ol in many patients 133","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES113","Rapid acting insulin analogues allow injection close r to mealtimes due to their pharmacokinetic profile 134–6","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES114","A meta-analysis 137 and several open-label trials 133,138–145 show that insulin lispro is more effective than unmodified (‘soluble’) human insulin in improving post-prandial glucose co ntrol, without an increase in the rate of hypoglycaemic episodes","Ia","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES115","Two studies 146–7 show reduced frequency of nocturnal hypoglycaemia 148 with insulin lispro compared to unmodified (‘soluble’) human insulin ","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES116","Two studies 148–9 show reduced frequency of severe hypoglycaemia with insulin lispro co mpared to unmodified (‘soluble’) human insulin","Ia","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES117","Pa tients perceive an improvement in their well-being and quality of life with rapid-acting insulin analogues due to flexibility of inject ion times and less frequent hypoglycaemic reactions 128,141,146","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES118","The effects of insulin lispro on HbA 1c levels (overall glycaemic control) have not been firmly established. 133,137,149 The long-term safety profile is as yet unknown","Ia","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES119","Two multicentre randomised studies 149–50 and one RCT 135 showed insulin aspart to improve post-prandial glucose control more effectively than unmodified (‘soluble’) human insulin, without an increase in the rate of hypoglycaemic episodes. Fewer major hypoglycaemic episodes were observed","Ia","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES120","A before-and-after study has shown that a lower dose of mealtime insulin can be taken along w ith an increase in basal dose, with no increase in hypoglycaemic episodes when insulin lispro is used as a replacement for human insulin as mealtime injection therapy 142","IIb","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES121","Tw o randomised trials have shown that it is possible to replace mealtime unmodified (‘soluble’) h uman insulin with insulin lispro or insulin aspart without detriment to glycaemic control if care is taken to replace basal insulin delivery more physiologically 151–2","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES122","A multi-arm randomised trial found that a dding a few units of isophane (NPH) insulin to insulin lispro at each meal, in combination with bedtime NPH insulin improves blood glucose co ncentrations compared to an unmodified (‘soluble’) human insulin regimen in a multidose reg imen 136","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES123","Splitting the evening administration of insulin to short-acting insulin at dinner and isophane (NPH) insulin at bedtime has a number of advantages over mixed administration of short- acting insulin and isophane (NPH) at dinner. Compared with the mixed mealtime regimen, the ev ening split regimen reduced by more than 60% the risk of nocturnal hypoglycaemia; 153–4 improved long-term control of blood glucose levels, decreased variability of blood glucose levels in fasting state and led to improvement in preserved hormonal, symptom and cognitive function responses to hypoglycaemia","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES124","Wh en basal insulin replacement is by either continuous subcutaneous insulin infusion (CSII) or multiple daily administrations of isophane (NPH) insulin, the long term administration of lispro at mealtime reduces HbA 1c ; 130 however, compared with multiple daily injections, patients using continuous subcutaneous administration of insulin (mainly those using older systems) have been at a significantly higher risk of ketoacidosis","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES125","Fr equency of hypoglycaemic reactions was found to be similar on patient-mixed and premixed insulins. 143,155 One randomised controlled trial showed premixed preparations of insulin analogues to be well suited for those who wish to limit the number of daily injections; 155 83% of people expressed a preference for premixed insulins throughout the trial","Ib","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES126","Fe w studies have addressed the needs of people with diabetes with suboptimal glucose control, and none of suitable design from the evidence hierarchy were found for review. In a group of people with Type 1 diabetes with poor glucose control, the introduction of more intensive insulin regimens may lead to high loss to follow-up. 156 Po or outcome appears to be due to the people refusing the constraints of multiple daily injections, effective blood glucose self-monitoring and regular clinic visits at short time intervals. It was suggested that people should be given clear and concise information on tr eatment goals and the ways in which these goals are to be attained as well as an explanation of the advantages and disadvantages","IV","Insulin and insulin analogues","CG15AdultS12"
"CG15AdultES127","F our randomised controlled trials, two large parallel groups, 157–8 and two small crossover designs 159–60 we re identified that examined the use of acarbose in conjunction with insulin therapy compared to insulin and placebo in each case, in people with Type 1 diabetes. A m ulticentred study 157 w ith variable doses titrated up to 300 mg three times a day for 24 weeks, found a significant reduction in HbA 1c levels with acarbose compared to placebo, and decreases in fasting and post-prandial glucose levels to two hours. There were no differences between gr oups for daily insulin dose or hypoglycaemic ev ents, although adverse events of abdominal pain, diarrhoea and flatulence were more common with acarbose. This led to more frequent tr eatment discontinuation in the acarbose group than the placebo group. A similar Italian tr ial 158 w ith up to 100 mg acarbose three times daily for 24 weeks found no difference in HbA 1c levels, daily insulin dose, fasting glycaemia and total cholesterol. However, a significant decrease was found in two-hour post-prandial plasma glucose level, and HDL cholesterol levels were lower in people on acarbose than placebo. Again minor adverse events were more common in the acarbose group, but hypoglycaemic episodes were similar in both groups. Although care was taken not to alter baseline insulin doses, this could be adjusted if glucose levels exceeded 11.1 mmol/l or reduced with hypoglycaemic episodes","Ib","Acarbose and insulin combination therapy","CG15AdultS12"
"CG15AdultES128","The two crossover trials with 100 mg acarbose three times a day over relatively short time periods did not assess requirement for wash ou t periods (although analysis in one found no effect of treatment order) and did not account for study withdrawals. One study found a benefit in terms of HbA 1c w ith acarbose, 160 while the other found no significant differences between gr oups. 159 Po te ntial methodological limitations of these trials would not permit them to be used as an evidence base to inform recommendations in this area","Ib","Acarbose and insulin combination therapy","CG15AdultS12"
"CG15AdultES129","Tw o small randomised controlled trials investigat ed the use of glibenclamide (called ‘glyburide’ as the trials were conducted in the USA) in the therapy for Type 1 diabetics. A study using 5 mg gl yburide (orally) for 12 weeks compared to placebo after a 12-week open-label insulin stabilisation run-in period 161 found fasting blood glucose declined significantly at 12 weeks from baseline, although no comparison was made between groups. No differences were found in daily insulin dose or glycated haemoglobin le ve ls at any stage of the study. A randomised study without comparison between groups at baseline with 5 mg glyburide daily for 24 weeks co mpared to placebo 162 found no differences in plasma C-peptide levels between groups, nor difference in plasma glucose concentrations at any time point. Although HbA 1c levels were re ported to have changed more from baseline in the glyburide treated group at six weeks, potential methodological limitations of these trials would not permit them to be used as an ev idence base to inform recommendations in this area","Ib","Sulfonylurea and insulin combination therapy","CG15AdultS12"
"CG15AdultES130","Co mparison of 15 mg of glibenclamide daily with placebo in addition to insulin therapy in a small sample of people with Type 1 diabetes in a randomised double-blind crossover study 163 found mean blood glucose level, HbA 1c and blood glucose variability to be significantly lower w ith the intervention among people who retained endogenous insulin production. No such differences were found in a subgroup who were C-peptide negative. Although the study had a medium-term intervention period of three months, it did not provide analysis of the cohort as a whole for glibenclamide vs placebo and thus cannot be used for recommendations given the small sample sizes of the subgroups, and the inherent difficulties of extrapolating such findings to a wider population","Ib","Sulfonylurea and insulin combination therapy","CG15AdultS12"
"CG15AdultES131","A reduced insulin requirement at 18 months was found in patients given 80 mg gliclazide twice a day compared to placebo in a small sample in a long-term study. 164 Although glycated haemoglobin both fasting and one hour post-breakfast were found to be very similar in both gr oups, the gliclazide group had C-peptide levels significantly higher than people on placebo for the same test times of the day, at six-monthly assessment points to 18 months. This study only applies to people with retained endogenous insulin secretion, and thus not the ov erwhelming majority of people with Type 1 diabetes","Ib","Sulfonylurea and insulin combination therapy","CG15AdultS12"
"CG15AdultES132","A medium-sized randomised controlled study found that the addition of metformin to an insulin regimen provided by CSII was able to reduce the total IR required by the person with Ty pe 1 diabetes (including reduced basal therapy) as compared to placebo over a period of six months. This was achieved without significant change to HbA 1c or increased incidence of hy poglycaemia","Ib","Metformin","CG15AdultS12"
"CG15AdultES133","The health economic searches produced no studies giving guidance on appropriate insulin re g imens for those newly-diagnosed with Type 1 diabetes or for the management and prevention of hypoglycaemia, with the exception of the NICE appraisal of insulin glargine. The health economic searches found no published papers dealing with insulin glargine or NPH insulin. A recent NICE technology appraisal 132 re co mmended insulin glargine as a long-acting preparation for people with Type 1 diabet es alongside insulin NPH. The crucial issue for the c ost-effectiveness of insulin glargine is the amount of utility associated with reducing the fear of hypoglycaemia. Tw o cost-benefit studies were identified that considered the role of insulin lispro. 342,380 Ne ither paper was based in the UK (Canada, Australia), and both suggest that the willingness to pay for insulin lispro will outweigh its additional cost. The cost-effectiveness of lispro is unclear and is likely to be most favourable amongst those who require increased flexibility in setting mealtimes, or those for whom mealtimes are often unpredictable. The issue of the cost-effectiveness of intensive insulin therapy is complicated by a shortage of unconfounded data. The DCCT showed that a series of interventions including intensive insulin therapy reduces the rate of diabetic complications and increases life expectancy amongst an unrepresentative sample of adults and adolescents with Type 1 diabetes. Because of the co mplexity of this intervention, health economic analysis of the DCCT data has typically assumed that these reductions are primarily due to intensive insulin regimens. The health economic searches found three models designed to find the cost-effectiveness of intensive treatment, 343–4,381 of which two attempted to form QALYs. The health utility values in each of the studies are poor: in one study 343 non-preference-based values are used; in another 381 only a very small sample was used to find health utilities. Both studies considered only a small number of health states and both suggest that intensive therapy is cost-effective.  Tw o models analysed intensive treatment in cost-per-life-year terms, and differed in their re sults. One study 343 produced a cost-per-life-year figure of US$28,661 at 1994 prices, whilst another 344 found a figure several times larger. Neither study used UK costs. Note that as several diabetic complications will affect quality of life but will not significantly shorten life expectancy, the cost-per-QALY figure may be lower than the corresponding cost-per-life-year figure. Two c ost analyses also suggest that the DCCT cost estimates may be overestimates. 345–6 Few inferences can be drawn because these studies are limited but it appears likely that intensive tr eatment, including intensive insulin regimens, will be cost-effective.","-","Health economic evidence","CG15AdultS12"
"CG15AdultES134","NICE guidance 165 co ncluded that, compared to optimised MDI therapy, CSII results in a modest but worthwhile improvement in GHb and quality of life (by allowing greater flexibility of lifestyle), and reduction of other problems such as hypoglycaemia and rising blood glucose levels at the end of the night. In routine practi c e, patients who go on to pumps are carefully selected, and to a large degree self-select ed. Overall, insulin pumps appear to be a useful advance for patients having particular problems, rather than a dramatic breakthrough in therapy, and would probably be used only in a small percentage of patients","NICE","-","CG15AdultS13"
"CG15AdultES135","One randomised trial 166 of medium sample size compared a multiple injection regimen from a pen injector with conventional treatment with twice-daily syringe injection. No significant differ- ences were seen in GHb values, blood glucose values or hypoglycaemic episodes. Patient satisfac- tion with pen injectors was high and most patients opted to continue on this delivery system following termination of the trial. However, this study has some methodological limitations","Ib","-","CG15AdultS13"
"CG15AdultES136","One randomised crossover trial 167 co mpared two types of insulin regimen injected in the abdomen with the same regimen injected in the thigh. Regular insulin injections in the abdomen resulted in significantly lower post-prandial plasma glucose values, peak plasma gl ucose and increment in plasma glucose compared to time periods following injection in the thigh. Significantly higher serum free insulin values were also seen following abdominal injection of regular insulin, compared with injections administered at the thigh. No differences we re re co rd ed between injections at either site following injections containing both isophane (NPH) and unmodified (‘soluble’) insulin","Ib","-","CG15AdultS13"
"CG15AdultES137","One prospective study 168 co mparing the absorption of insulin injected superficially and deep subcutaneously at the fat-muscle boundary showed no significant difference between the two te c hniques. A sub-group of 10 participants showed no difference in overall serum free insulin or plasma glucose values following superficial and deep subcutaneous injection","IIa","-","CG15AdultS13"
"CG15AdultES138","One study 169 re ported benefits associated with injection through clothing, compared with co nv entional injection practice with skin preparat ion over a 20-week trial period. This study had some methodological limitations","Ib","-","CG15AdultS13"
"CG15AdultES139","The health economic searches produced three published papers 347–9 co nsidering the use of insulin pens. None of the three papers compare their benefits (patient satisfaction, or improved HbA 1c ) against their costs.","-","Health economic evidence","CG15AdultS13"
"CG15AdultES140","Canadian clinical practice guidelines 98 re ported four studies supporting the use of 15 g glucose (monosaccharide) (orally) for the treatment of moderate hypoglycaemia. Two studies within the guidelines explored a 20 g oral glucose dose for recovery of blood glucose levels. Recovery was slower following treatment with milk and orange juice. The use of glucose gel also delivered slower recovery in the latter study and required swallowing to have a significant effect. A further study showed no support for buccal administration of glucose","Ia","Management of hypoglycaemia","CG15AdultS14"
"CG15AdultES141","One study within the Canadian guidelines 98 re ported on the special needs of people taking alpha-glycosidase inhibitors when treating hypoglycaemia, recommending the use of glucose (dextrose) tablets, or milk or honey if these are unavailable","IV","Management of hypoglycaemia","CG15AdultS14"
"CG15AdultES142","A bedtime snack may be needed to avoid nocturnal hypoglycaemia. Two studies from a systematic review 98 showed prepared cornstarch snack bars have some benefit in overnight re duction of hypoglycaemia, but the number of events were not significantly reduced","Ia","Nocturnal hypoglycaemia","CG15AdultS14"
"CG15AdultES143","Canadian clinical practice guidelines 98 re port one paper on the link between incidence of prior hy poglycaemic episodes and worsening in the defect of the hormonal responses to hy poglycaemia, leading to a reduction in the self-detection of hypoglycaemia. Eight papers re port the benefits of strict avoidance of hypoglycaemia in improving recognition of severe hy poglycaemia or the responses of counter-regulatory hormones","Ia","Hypoglycaemia unawareness","CG15AdultS14"
"CG15AdultES144","A randomised controlled study 170 co mpared blood glucose awareness training (BGAT) with no tr aining on the increased hypoglycaemia after initiation of more intensive diabetes management. The counter-regulatory hormone epinephrine (adrenaline) response was not impaired following BGAT despite an increase in frequency of hypoglycaemia induced by intensive diabetes management. No difference was seen in awareness of the symptoms of hy poglycaemia following BGAT, compared with controls, although BGAT does lead to a better detection of low blood glucose levels in people starting intensive diabetes management","Ib","Blood glucose awareness training","CG15AdultS14"
"CG15AdultES145","An observational study 171 co mpared blood glucose sensitivity and prediction accuracy in inpatients before and after blood glucose awareness training, showed no additional effect on the improvement of HbA 1c . The decrease in HbA 1c was not however accompanied by a change in the accuracy of blood glucose estimation or sensitivit y of recognition of low blood glucose levels","IIa","Blood glucose awareness training","CG15AdultS14"
"CG15AdultES146","Canadian clinical practice guidelines 98 cite five studies demonstrating a positive effect of BGAT on accurate detection and treatment of hypoglycaemia, and allowing reduced-awareness subjects to detect a greater percentage of low blood glucose levels. These BGAT programmes involve instruction in interpretation of physical symptoms and instruction on food, exercise, insulin dosage and action, and the impact of time of day and last blood glucose measurements on estimations of blood glucose","Ia","Blood glucose awareness training","CG15AdultS14"
"CG15AdultES147","Evidence on the impact of hypoglycaemia on cognitive function is not clear. Two prospective studies reported within the Canadian guidelines 98 did not find association between intensive diabetes management and cognitive function. However, six retrospective studies found subjects w ith recurrent hypoglycaemia performed more poorly in a range of intellectual tests","IIa","Long-term complications of hypoglycaemia","CG15AdultS14"
"CG15AdultES148","Tw o randomised studies compared the use of glucagon and dextrose in the treatment of severe hy poglycaemia. One study 172 co mpared intramuscular administration of 1 mg glucagon with 50 ml 50% IV dextrose in people with hypoglycaemic coma. A second study 173 co mpared intravenous administration of 1 mg glucagon vs 50 ml 50% dextrose in people with hypo- gl yc aemic coma. Both studies showed a significantly slower recovery to a normal level of co nsciousness in the glucagon treated group","Ib","Medical intervention of hypoglycaemia","CG15AdultS14"
"CG15AdultES149","Two glucagon-treated patients in each study (7% and 4% respectively) and two dextrose-treated patients in the second study (4%) required additional administration of 12.5 g IV dextrose following failing to recover consciousness after 15 minutes. In the first study average duration of hypoglycaemic coma was not different between the two treatment groups","Ib","Medical intervention of hypoglycaemia","CG15AdultS14"
"CG15AdultES150","No co rr elation was seen between time taken to recovery of consciousness and initial plasma gl ucose concentration or duration of hypoglycaemia in either of the studies. Side effects were similar among the treatment groups","Ib","Medical intervention of hypoglycaemia","CG15AdultS14"
"CG15AdultES151","These two small studies suggest that intravenous glucose gives a clinically non-significant advantage over intramuscular glucagon in time to recovery of consciousness in people with Type 1 diabetes in hypoglycaemic coma","Ib","Medical intervention of hypoglycaemia","CG15AdultS14"
"CG15AdultES152","No health economic evidence on the prevention or management of hypoglycaemia was identified in the literature review.","-","Health economic evidence","CG15AdultS14"
"CG15AdultES153","The Scottish intercollegiate guidelines 174 identify specific risk factors for arterial disease as cigarette smoking, dyslipidaemia, hypertension, hyperglycaemia, obesity and micro- albuminuria","IV","Arterial risk factors","CG15AdultS15"
"CG15AdultES154","The guideline 174 re ports on non-randomised studies showing that smoking is an independent arterial risk factor in people with diabetes. Additional observational studies reported dyslip- idaemia. An increased concentration of LDL cholesterol or total cholesterol has also been identified as an independent risk factor for arterial morbidity and mortality and each 1.0 mmol/l re duction of LDL cholesterol represents a 36% reduction in risk of arterial disease","IIa","Arterial risk factors","CG15AdultS15"
"CG15AdultES155","Two controlled but not randomised studies reported within the guideline 174 demonstrated the positive relationship between hypertension and risk of arterial death, with a progressive increase in risk with rising systolic pressure. Each 10 mmHg reduction in systolic pressure is associated with a 15% (95% CI: 12–18) reduction in risk of arterial death over 10 years","IIa","Arterial risk factors","CG15AdultS15"
"CG15AdultES156","The link between glycaemia and arterial morbidity and mortality was also reported in two studies reviewed in the SIGN guidelines. 174 In o ne study each 1% reduction in HbA 1c was associated with a 21% (95% CI: 15–27) reduction in the risk of diabetes-related death and a 14% reduction for myocardial infarction over 10 years","IIa","Arterial risk factors","CG15AdultS15"
"CG15AdultES157","Ev idence for the other risk factors is sparse. In the SIGN guidelines, 174 no studies were identified for linking obesity as an indepen dent risk factor in established diabetes. One observational study reported microalbuminuria as an independent marker associated with doubling in arterial risk, however, there is ins ufficient evidence to determine whether reducing albumin excretion rate specifically reduces arterial morbidity or mortality","IIa","Arterial risk factors","CG15AdultS15"
"CG15AdultES158","A meta-analysis 175 aimed at defining risk factors for arterial disease from studies in people with diabetes, showed that, adjusted for age, both total mortality and death from all vascular causes increased significantly with total cholesterol level and systolic blood pressure, and decreased w ith percentage of women. Duration of diabetes and mean HbA 1c we re not considered to be associated with mortality. However, this meta-analysis did not contain a critical appraisal of included studies or details of approaches used to ensure study quality before inclusions and should therefore not be used as the basis for clinical recommendations","IIa","Arterial risk factors","CG15AdultS15"
"CG15AdultES159","One systematic review 176 e xamined 67 studies, addressing both screening for primary detection of arterial risk factors and treatment of lipid abnormalities in asymptomatic people both with and without diabetes. Reliability and effectiveness of each screening strategy for identifying lipid disorders was investigated, and showed that total cholesterol measurements generally have good reliability, with an analytic variability of less than or equal to 3% and a mean total biologic variability of the order of 6%. A total cholesterol level within 10% of the true value can be determined with two separate measurements, which do not differ significantly between fasting or non-fasting venous blood ","III","Screening tests","CG15AdultS15"
"CG15AdultES160","Ev idence within this systematic review 176 for HDL cholesterol showed a higher analytical (6%) and biological (7.5%) variation than total cholesterol, however, two or three values were re quired to estimate true HDL cholesterol levels to within 10 to 15%. Variations were also found between non-fasting and fasting blood samples as HDL cholesterol is 5%–10% lower in the non-fasting state, suggesting that non-fasting measurement may slightly overestimate coronary heart disease risk, but not enough to make accuracy of screening unacceptable","III","Screening tests","CG15AdultS15"
"CG15AdultES161","A dditional studies within this systematic review 176 co nsidered triglyceride screening. Values measured varied by 20%–30% between fasting and non-fasting states. LDL cholesterol is calculated from total and HDL cholesterol and triglycerides measurements and application of the Friedewald equation. However, this equation has been found to be inaccurate at triglyceride levels greater than or equal to 4.5 mmol/l when special techniques must be employed (eg ultracentrifugation)","III","Screening tests","CG15AdultS15"
"CG15AdultES162","Also considered in this systematic review 176 was the comparable accuracy of total and HDL c holesterol from capillary blood samples. These were found to be less reliable without proper attention to calibration and proper testing techniques. One study found that a Framingham- based coronary risk model was the best predictor of IHD mortality. Guidelines reported in the re vi ew concluded that the LDL:HDL cholesterol and the total:HDL cholesterol ratios performed equally well in determining arterial outcomes, and the least accurate screening test was that of measuring total cholesterol alone","III","Screening tests","CG15AdultS15"
"CG15AdultES163","Other studies included in this review 176 assessing characteristics of the screening tests showed that non-fasting total cholesterol alone is the easiest to perform for the patient and provider. T otal:HDL cholesterol ratio is easy for patients to obtain and for providers to interpret and performs equally accurately as the LDL:HDL cholesterol ratio strategy. However, one study in the review demonstrated that risk-based algorithms which directly incorporate age, other risk factors and measures of total and HDL cholesterol are the most accurate approach to screening. These processes are difficult to access and so supplemental tables, such as the Sheffield table, can improve the feasibility of a risk-based strategy","III","Screening tests","CG15AdultS15"
"CG15AdultES164","There was no evidence from this systematic review 176 to inform the question of appropriate frequency of screening. National guidelines reco mmend a five-year interval for people with previous normal results and more freque nt screening in those with borderline values","IV","Screening tests","CG15AdultS15"
"CG15AdultES165","One study 177 co mparing the Sheffield tables to the computer-calculated Framingham equation re v ealed a low sensitivity and specificity for the Sheffield tables (35% (95% CI 28 to 42) and 98% (95% CI 97 to 99) respectively). The old tab les only included patients with systolic blood pressure <160 mmHg, and cholesterol greater than 5.5 mmol/l. Adopting these exclusion criteria led to a substantial reduction in the number of patients eligible for screening without improving detection of risk assessment","DS","Prediction of arterial risk","CG15AdultS15"
"CG15AdultES166","A nother evaluation 178 studied all seven guidelines against the calculated Framingham equation in 906 people with diabetes, showing Modified Sheffield tables have higher sensitivity (95% vs 37%) with a slight reduction in specificity (90% vs 97%) compared with the original tables, w ith a slightly better positive predictive value than the original version (80% vs 71%). The Joint Br itish tables have good specificity (99%), but lo w sensitivity (77%) but the tables perform well at the lower CHD risk of greater than or equal to 15% over 10 years (specificity 92%, sensitivity 96%). Canadian tables perform poorly at the = 30% risk, and only slightly better at the greater than or equal to 15% level of risk (specificity 100%, sensitivity 5%, and 85% and 98%, r espectively). The Framingham categorical tables have a lower specificity (83%) for the identification of high-risk individuals (although risk is greater than or equal to 27% not greater than or equal to 30%) and this deteriorates for identification of those at = 15% risk (specificity 77%). New Zealand tables had a sensitivity of 69% and specificity of 88% at a greater than or equal to 20% level of risk, at the = 10% level of risk, specificity deteriorates to 58%. The Joint Eu ro pean tables have a sensitivity of 89% for risk levels greater than or equal to 20% but specificity of only 71%. This means that one in four patients would be incorrectly identified as having a risk above the 20% threshold","DS","Prediction of arterial risk","CG15AdultS15"
"CG15AdultES167","A further study from the same investigators 179 assessed the PROCAM program against that of the Framingham equation. Only 56% of the study populat ion were eligible for evaluation with PROCAM. This evaluation also systematically underestimates risk in comparison with the Fr amingham equation at low levels of absolute risk but overestimates at higher risk levels","DS","Prediction of arterial risk","CG15AdultS15"
