"Set GUID","Topic","Sub Topic","Set rationale","Set discussion"
"PH38S3","Risk Identification","Risk identification (stage 1)","Identifying and assessing people at risk of, or with existing (but undiagnosed), diabetes is part of
an integrated approach to preventing vascular diseases through the NHS Health Check
programme.","Risk-assessment tools, based on the presence or absence of various risk factors, are used to identify people at high risk of type 2 diabetes among European populations. There are two broad approaches. Either they use the data routinely available in UK general practice computer databases (such as age, gender, body mass index [BMI] and family history of diabetes). Or they comprise self-assessment questionnaires which are completed manually or online. Examples of the former are the Cambridge diabetes risk score, the QDiabetes risk calculator and the Leicester practice score. Examples of the latter are the Diabetes Risk Score assessment tool (available to health professionals on the Diabetes UK website), the online Diabetes Risk Score and FINDRISC. The Diabetes Risk Score was developed and validated in Leicester for identifying those at high risk of impaired glucose regulation and type 2 diabetes in multi-ethnic populations in the UK. It is, in turn, based on FINDRISC, a Finnish self-assessment questionnaire. FINDRISC is based on robust data and has been validated as a risk-assessment tool in cross-sectional studies and, prospectively, in other European populations. The PDG focused on risk-assessment tools validated for use in the UK and which help identify people from different ethnic groups who are at high risk of diabetes. It debated the difference between tools measuring current risk (for example, FINDRISC and scores based on it) and prospective risk (for example, QDiabetes risk calculator). This included their use of cross-sectional or prospective cohort data. Both approaches were acknowledged to have limitations. The PDG felt it was important that the tools were validated against blood glucose measures. Equally important was the need to have a range of tools available that are suitable for use in any environment where risk assessment could take place. The PDG concurred that the choice of tool is likely to depend on the population being assessed, whether it has been validated for use with that population, the risk-assessment setting and supporting infrastructure (such as compatibility with IT systems). As part of the two-stage approach for identifying people at risk of type 2 diabetes, the PDG has advocated the use of a risk-assessment tool (either self-assessment or practice-based) as a first step. Self-administered questionnaires have the advantage that they can be given out in a range of different places (including shopping centres), or downloaded from the Internet. People identified as being at increased risk can then be offered a blood test or lifestyle advice and support. Practice-based risk-assessment tools, based on routine health service data, have the advantage that all necessary information should already have been collected. The PDG acknowledged that the records would need to be up-to-date and complete to ensure the tools are accurate. The tools allow staff to estimate the percentage of the practice population that is likely to fall into each risk category, and to systematically invite those with a high risk score for further investigation. For example, the top 50% of patients might be designated as high risk and then be invited for a blood test. The remainder can then be divided up accordingly into groups with a low risk score (for example, the lowest quartile who will receive brief advice) and those with an intermediate risk score (who may need more advice about managing their risk). Practice-based risk-assessment tools, based on routine health service data, have the advantage that all necessary information should already have been collected. The PDG acknowledged that the records would need to be up-to-date and complete to ensure the tools are accurate. The tools allow staff to estimate the percentage of the practice population that is likely to fall into each risk category, and to systematically invite those with a high risk score for further investigation. For example, the top 50% of patients might be designated as high risk and then be invited for a blood test. The remainder can then be divided up accordingly into groups with a low risk score (for example, the lowest quartile who will receive brief advice) and those with an intermediate risk score (who may need more advice about managing their risk). The NHS Health Check programme uses BMI (adjusted for ethnic groups at higher risk) and an initially raised blood pressure to identify people at higher risk of having, or developing, type 2 diabetes. This approach was developed with in-depth input from a range of experts. Knowledge in this area is constantly changing and developing and the PDG aimed to further improve the way type 2 diabetes is identified. Waist measurement is not routinely recorded by risk-assessment tools and it is not taken into account by the NHS Health Check programme. However, it is a good predictor of type 2 diabetes risk and could be used to help monitor people after their risk assessment. It would involve providing simple instructions on how to measure someone's waist correctly. The PDG considered that people over age 74 from all ethnic groups might benefit from type 2 diabetes risk assessment and prevention, as the risk increases with age. However, it recognised that many of the risk-assessment tools are not validated for this age group and that comorbidities may make participation in lifestyle programmes more difficult for some. Nevertheless, there is evidence that older people can benefit from being more physically active and improving their diet. here was little evidence about type 2 diabetes risk assessment for adults aged 18–24 years in any population subgroup. The same was true for people of all ages with severe mental illness or learning disabilities and for those from lower socioeconomic groups. Expert testimony and data suggest that people from lower socioeconomic groups are less likely to attend for a risk assessment or a blood test for type 2 diabetes. The PDG believed this situation could be improved if assessments – and any subsequent prevention programmes – were provided in places they visit regularly. It noted that risk assessment does not need to be carried out by GPs (or in GP surgeries), but can be offered in a range of other settings. This includes: community pharmacies, occupational health departments, community centres and faith-based centres such as mosques, temples and church halls. However, the PDG noted the importance of ensuring information is passed securely to the person's GP – and that quality assurance and data transfer may be a challenge. In addition, it noted the need for planning to ensure once high-risk people are identified they are monitored and followed up. Evidence shows that informing someone that they are at risk of type 2 diabetes does not harm them – and may have a beneficial effect on their lifestyle. The PDG acknowledged that not everyone identified with impaired glucose regulation will progress to type 2 diabetes. However, it deemed it better if the majority of people at high risk are identified so they can be offered a prevention programme. It also recommended opportunities to be reassessed at least every 5 years, irrespective of someone's level of risk. This means that surveillance is an ongoing process. It also noted that many people with impaired glucose regulation will have modifiable cardiovascular disease risk factors that would also benefit from a lifestyle intervention. Several scenarios involving people aged 40 to 74 years were examined. The NHS Health Check programme was used as a comparator. For people of South Asian descent aged 25–34, usual practice was the comparator. A two-stage risk-assessment process was carried out. People with a high risk score for diabetes, determined by weight-for-height (measured by BMI), anti-hypertensive use, age, sex, family history of diabetes and ethnicity, were given a blood test (either a fasting plasma glucose or an HbA1c test). As a result of the test they were divided into three groups: those diagnosed with diabetes, those at high risk, and those at low or intermediate risk of progressing to type 2 diabetes. The high-risk group was offered an intensive lifestyle-change programme. W"
"PH38S4","Risk Identification","Risk identification (stage 2)","Identifying and assessing people at risk of, or with existing (but undiagnosed), diabetes is part of
an integrated approach to preventing vascular diseases through the NHS Health Check
programme.","Impaired glucose regulation (IGR) refers to blood glucose levels that are above normal, but not high enough for a diagnosis of type 2 diabetes. (This condition is also known as non-diabetic hyperglycaemia or pre-diabetes.) Impaired glucose regulation is used to describe the presence of impaired fasting glucose (IFG) or impaired glucose tolerance (IGT), or both. These are states of abnormal glucose regulation that exist between normal blood glucose levels and type 2 diabetes. Impaired glucose regulation is characterised by insulin resistance and impaired insulin secretion which precede the development of type 2 diabetes. However, it has no symptoms and can remain undiagnosed for many years (Diabetes UK 2011). Some prefer the term 'pre-diabetes' because it is a clear way of communicating the presence of impaired fasting glucose, impaired glucose tolerance and impaired glucose regulation – and the associated risks of developing type 2 diabetes. However, some health professionals view the term pre-diabetes as potentially misleading, as progression to diabetes is not inevitable. In the absence of any intervention, some people may remain with impaired glucose regulation and some return to normal glucose tolerance (The American College of Endocrinology and the American Association of Clinical Endocrinologists 2008). Pre-diabetes may also be perceived as implying a disease status, without acknowledging the variation in progression rates. In general, the PDG preferred phrases that reflect the spectrum of risk, such as 'lower' or 'increased risk' which convey the idea that everyone could be at risk at some point in their lives. This guidance refers to people at high risk, in keeping with UK and international professional practice and usage. The PDG debated at length whether the glycated haemoglobin (HbA1c) test could be used as an alternative to standard glucose tests to define when someone has impaired glucose regulation. It decided to include people identified by HbA1c, if a venous blood sample was tested in laboratories that meet national quality specifications. The UK expert group on the use of HbA1c testing suggested that a blood glucose measure of 42–47 mmol/mol (6.0–6.4%) could be used to indicate someone is at high risk of type 2 diabetes (John et al. 2011). Using HbA1c to test for type 2 diabetes has advantages (see Blood tests in the 'Public health need and practice' section). The PDG took into account that the natural progression from impaired glucose tolerance to type 2 diabetes (and the risk of cardiovascular disease) is well known and well-reported. Much less is known about the natural progression using HbA1c as the marker. HbA1c is less sensitive to weight change than an oral glucose tolerance test. In addition, it does not adequately reflect glycaemic control over the past 2–3 months for people with certain medical conditions. (This includes haematological disorders, renal failure and long-term excessive alcohol consumption.) Finally, certain drugs (for example, steroids or antipsychotics) may cause rapid rises in blood glucose that is not reflected in HbA1c. A blood glucose test is recommended for people who have recently started steroid or antipsychotic treatment, or have symptoms of diabetes (John et al. 2012). As part of the two-stage approach for identifying people at risk of type 2 diabetes, the PDG has advocated the use of a risk-assessment tool (either self-assessment or practice-based) as a first step. Self-administered questionnaires have the advantage that they can be given out in a range of different places (including shopping centres), or downloaded from the Internet. People identified as being at increased risk can then be offered a blood test or lifestyle advice and support. Practice-based risk-assessment tools, based on routine health service data, have the advantage that all necessary information should already have been collected. The PDG acknowledged that the records would need to be up-to-date and complete to ensure the tools are accurate. The tools allow staff to estimate the percentage of the practice population that is likely to fall into each risk category, and to systematically invite those with a high risk score for further investigation. For example, the top 50% of patients might be designated as high risk and then be invited for a blood test. The remainder can then be divided up accordingly into groups with a low risk score (for example, the lowest quartile who will receive brief advice) and those with an intermediate risk score (who may need more advice about managing their risk). The PDG debated whether certain at-risk groups should be given a blood test without having a risk-assessment score. It thought this approach might be appropriate for young people from high-risk black and minority ethnic groups for whom risk-assessment tools have limited validation. However, it conceded that risk-assessment tools could provide false reassurance to younger age groups. Type 2 diabetes affects people of South Asian, African-Caribbean, Chinese or black African descent up to a decade or more earlier than white Europeans. Bearing this in mind, the PDG considered that there is a case for local areas to consider providing risk assessment and intensive lifestyle-change programmes for people from these groups from the age of 25 onwards. The prevalence of impaired glucose regulation and undiagnosed type 2 diabetes among people aged 25–39 years of black African or African-Caribbean descent in the UK was unclear. So the PDG was unable to estimate cost-effectiveness and make specific recommendations for this population subgroup. However, risk assessments are encouraged and health professionals are advised to provide advice and monitoring according to each person's particular risk profile. There are no 'Read codes' in healthcare computer systems for recording that someone has had a risk assessment, what their level of risk is, and whether or not they have been referred to an intensive lifestyle-change programme. In addition, although there are Read codes for impaired fasting glucose and impaired glucose tolerance testing, there is not one for an HbA1c test. This may make it difficult for practitioners to communicate with each other about a particular individual's level of risk. The type 2 diabetes prevention trials that provided evidence for this guidance were conducted among adults with impaired glucose tolerance. Measurement of impaired glucose tolerance requires people to fast and to attend 2 hours of tests. Fasting is inconvenient for many people and may not be complied with. Consequently, oral glucose tolerance test results might not always be reliable and the PDG did not consider this test suitable (or practical) for routine clinical practice. Rather, it recommended a two-stage strategy to identify adults at high risk: a risk assessment followed by a blood test (either HbA1c or fasting plasma glucose). The PDG is aware that HbA1c testing does not identify the same at-risk population as that identified by the oral glucose tolerance test. There may be regional variations in the populations identified as high risk using HbA1c, compared to those identified at high risk using the glucose tolerance test. The PDG has made research recommendations accordingly. The mean age of participants in evaluated prevention programmes is between 35 and 55 years. However, evidence from the diabetes prevention study in Finland showed that lifestyle interventions were more effective for older participants. Several scenarios involving people aged 40 to 74 years were examined. The NHS Health Check programme was used as a comparator. For people of South Asian descent aged 25–34, usual practice was the comparator. A two-stage risk-assessment process was carried out. People with a high risk score for diabetes, determined by weight-for-height (measured by BMI), anti-hypertensive use, age, sex, family history of diabetes and ethnicity, were given a blood test (either a fasting plasma glucose or an HbA1c test). As a result of the test they were divided into three groups: those diagnosed with diabetes, those at high risk, and those at low or intermediate risk of progressing to t"
"PH38S5","Matching interventions to risk","Matching interventions to risk","Large-scale trials in Europe, the US and many other countries have consistently shown that the
onset of type 2 diabetes can be prevented or delayed among adults at high risk. A reduction of
over 50% in the risk among this group was demonstrated, following structured lifestyle
interventions during these trials. The lifestyle programmes used behaviour-change strategies to
help people increase their physical activity, eat more healthily and maintain a healthy body
weight. The impact was similar, regardless of ethnicity, or gender.
","The PDG discussed whether it would be effective to intervene with people identified as being at high risk, if they have only been assessed using a risk-assessment tool. Only a small proportion of people identified in this way may have impaired glucose regulation. People at high risk in the prevention programme trials were identified by blood glucose tests not by risk score. More important, while risk scores can identify those at high risk – and those who may have undiagnosed type 2 diabetes – they cannot be used to give a diagnosis of type 2 diabetes. However, the PDG recognised that a small proportion of people will refuse a blood test and made a recommendation for them accordingly. The PDG was aware of the importance of ensuring an intensive lifestyle-change programme is available when conveying someone's risk of progression to type 2 diabetes and their potential to modify that risk. As everyone's level of risk differs (and will be a combination of modifiable and non-modifiable factors) the PDG also noted the importance of tailoring prevention activities to meet individual needs. The US Diabetes Prevention Program (DPP) has been adapted for use in community settings and includes a different range of people from the original trials. For example, women who have had type 2 diabetes during pregnancy and adults with an HbA1c level between 39 and 47 mmol/mol (5.7–6.4%). (This is the range recommended by the American Diabetic Association to indicate an increased risk of diabetes.) The UK expert group on HbA1c testing suggested using 42–47 mmol/mol (6.0–6.4%) to indicate a high risk, despite the fact that someone with lower HbA1c values might also be at risk. The PDG noted that if the HbA1c 39–47 mmol/mol (5.7–6.4%) range were used as an indicator of high risk in the UK, in some parts of the country 50% of adults aged 40–74 years might qualify (Mostafa et al. 2010).
"
"PH38S6","Reassessing risk","Reassessing risk","","Evidence shows that informing someone that they are at risk of type 2 diabetes does not harm them – and may have a beneficial effect on their lifestyle. The PDG acknowledged that not everyone identified with impaired glucose regulation will progress to type 2 diabetes. However, it deemed it better if the majority of people at high risk are identified so they can be offered a prevention programme. It also recommended opportunities to be reassessed at least every 5 years, irrespective of someone's level of risk. This means that surveillance is an ongoing process. It also noted that many people with impaired glucose regulation will have modifiable cardiovascular disease risk factors that would also benefit from a lifestyle intervention. Frequent monitoring, as carried out in some of the major type 2 diabetes prevention trials, identifies more people as being at high risk of progression to type 2 diabetes. It can also help motivate people to change their lifestyle."
"PH38S7","Commissioning risk identification and intensive lifestyle-change programmes","Commissioning risk identification and intensive lifestyle-change programmes","Intensive lifestyle change programmes, adapted from the Diabetes Prevention Program, in
diverse settings and with different populations, have shown that significant results can be
achieved by trained community practitioners, and by encouraging attendance at group sessions
(Ali et al. 2012). Similar adaptations are being rolled out nationally in countries such as Finland,
Australia and the US","Several scenarios involving people aged 40 to 74 years were examined. The NHS Health Check programme was used as a comparator. For people of South Asian descent aged 25–34, usual practice was the comparator. A two-stage risk-assessment process was carried out. People with a high risk score for diabetes, determined by weight-for-height (measured by BMI), anti-hypertensive use, age, sex, family history of diabetes and ethnicity, were given a blood test (either a fasting plasma glucose or an HbA1c test). As a result of the test they were divided into three groups: those diagnosed with diabetes, those at high risk, and those at low or intermediate risk of progressing to type 2 diabetes. The high-risk group was offered an intensive lifestyle-change programme. When the risk assessment was followed by an intensive lifestyle-change intervention, this was estimated to be cost effective. The PDG debated whether the cost effectiveness of an intensive lifestyle-change programme might vary between groups with the same risk score but a different HbA1c (specifically an HbA1c of 39 mmol/mol [5.7%] and 42 mmol/mol [6.0%]). It concluded that it was pragmatic to offer programmes to people with an HbA1c of 42–47 mmol/mol (6.0–6.4%). Recent modelling from the US supports this conclusion (Zhuo et al. 2012b). The PDG recommended an intensive lifestyle-change programme for people with a fasting plasma glucose of 5.5–6.9 mmol/l, after a consideration of the economic modelling. The modelling also showed that more intensive lifestyle-change programmes were estimated to be more cost effective than less intensive programmes. The economic modelling included an analysis of the effect of extending testing to people aged 25–39 years of South Asian descent who were deemed at high risk of diabetes. Provision of risk identification and intensive lifestyle-change programmes was estimated to be cost effective after 20 years and cost saving after 25 years. If a BMI equal to or greater than 23 kg/m2 was used to indicate risk at the first stage of risk assessment (rather than the scoring system used for those aged 40–74), a similar number would identified to be at high risk. For pragmatic reasons, therefore, a BMI greater than or equal to 23 kg/m2 was recommended as the indicator of high risk at the first stage of risk assessment for this group. Lack of data meant the analysis could not include people from other ethnic groups aged 25–39 years. However, the findings are likely to apply to other groups where a high proportion of people have a high risk of progression to type 2 diabetes."
"PH38S8","Quality-assured, intensive lifestyle-change programmes: design and delivery","Quality-assured, intensive lifestyle-change programmes: design and delivery","Intensive lifestyle change programmes, adapted from the Diabetes Prevention Program, in
diverse settings and with different populations, have shown that significant results can be
achieved by trained community practitioners, and by encouraging attendance at group sessions
(Ali et al. 2012). Similar adaptations are being rolled out nationally in countries such as Finland,
Australia and the US","The PDG was aware of the importance of ensuring an intensive lifestyle-change programme is available when conveying someone's risk of progression to type 2 diabetes and their potential to modify that risk. As everyone's level of risk differs (and will be a combination of modifiable and non-modifiable factors) the PDG also noted the importance of tailoring prevention activities to meet individual needs."
"PH38S9","Quality-assured, intensive lifestyle-change programmes: content","Quality-assured, intensive lifestyle-change programmes: content","","Although weight loss was one of the five goals of the major diabetes prevention trials, it may not be appropriate for everyone at high risk of diabetes. While most people can make changes to their diet and become more physically active, others might find this difficult or even impossible. For example, people whose mobility is severely impaired due to disability, or restricted due to their place of residence, may find it difficult to become more physically active. People who rely on others for their meals might find it difficult to change their diet, for example people living in residential homes. Even if these groups do make lifestyle changes, this might not be enough to reduce their risk. The PDG made recommendations about supporting lifestyle change with medication such as metformin to address this problem. Metformin has been used safely over many years by overweight or obese people with elevated blood glucose levels who took part in the Diabetes Prevention Program Outcomes Study. It is associated with modest and durable weight loss (DPP Research Group 2012). The PDG also took note of NICE's guidance on obesity (2006). This includes recommendations about the use of orlistat and bariatric surgery for people who need further help to lose weight."
"PH38S10","Quality-assured, intensive lifestyle-change programmes: evaluation","Quality-assured, intensive lifestyle-change programmes: evaluation","","The PDG did not recommend risk-assessment tools for monitoring prevention programme outcomes, as some of the risk factors they cover cannot be modified. Only changes to factors such as weight, diet and physical activity are recommended as outcomes."
"PH38S11","Raising awareness of the importance of physical activity","Raising awareness of the importance of physical activity","","While most people can make changes to their diet and become more physically active, others might find this difficult or even impossible. For example, people whose mobility is severely impaired due to disability, or restricted due to their place of residence, may find it difficult to become more physically active. People who rely on others for their meals might find it difficult to change their diet, for example people living in residential homes. Even if these groups do make lifestyle changes, this might not be enough to reduce their risk. The PDG made recommendations about supporting lifestyle change with medication such as metformin to address this problem. Metformin has been used safely over many years by overweight or obese people with elevated blood glucose levels who took part in the Diabetes Prevention Program Outcomes Study. It is associated with modest and durable weight loss (DPP Research Group 2012). The PDG also took note of NICE's guidance on obesity (2006). This includes recommendations about the use of orlistat and bariatric surgery for people who need further help to lose weight. Depression may be a barrier to participation in an intensive lifestyle-change programme. However, physical activity (a major component of lifestyle interventions to prevent type 2 diabetes) can help manage mild to moderate depression (see NICE guidance on depression in adults [2009])."
"PH38S12","Providing tailored advice on physical activity","Providing tailored advice on physical activity","","While most people can make changes to their diet and become more physically active, others might find this difficult or even impossible. For example, people whose mobility is severely impaired due to disability, or restricted due to their place of residence, may find it difficult to become more physically active. People who rely on others for their meals might find it difficult to change their diet, for example people living in residential homes. Even if these groups do make lifestyle changes, this might not be enough to reduce their risk. The PDG made recommendations about supporting lifestyle change with medication such as metformin to address this problem. Metformin has been used safely over many years by overweight or obese people with elevated blood glucose levels who took part in the Diabetes Prevention Program Outcomes Study. It is associated with modest and durable weight loss (DPP Research Group 2012). The PDG also took note of NICE's guidance on obesity (2006). This includes recommendations about the use of orlistat and bariatric surgery for people who need further help to lose weight.Depression may be a barrier to participation in an intensive lifestyle-change programme. However, physical activity (a major component of lifestyle interventions to prevent type 2 diabetes) can help manage mild to moderate depression (see NICE guidance on depression in adults [2009])."
"PH38S13","Weight management advice","Weight management advice","","Although weight loss was one of the five goals of the major diabetes prevention trials, it may not be appropriate for everyone at high risk of diabetes. While most people can make changes to their diet and become more physically active, others might find this difficult or even impossible. For example, people whose mobility is severely impaired due to disability, or restricted due to their place of residence, may find it difficult to become more physically active. People who rely on others for their meals might find it difficult to change their diet, for example people living in residential homes. Even if these groups do make lifestyle changes, this might not be enough to reduce their risk. The PDG made recommendations about supporting lifestyle change with medication such as metformin to address this problem. Metformin has been used safely over many years by overweight or obese people with elevated blood glucose levels who took part in the Diabetes Prevention Program Outcomes Study. It is associated with modest and durable weight loss (DPP Research Group 2012). The PDG also took note of NICE's guidance on obesity (2006). This includes recommendations about the use of orlistat and bariatric surgery for people who need further help to lose weight."
"PH38S14","Dietary advice","Dietary advice","","While most people can make changes to their diet and become more physically active, others might find this difficult or even impossible. For example, people whose mobility is severely impaired due to disability, or restricted due to their place of residence, may find it difficult to become more physically active. People who rely on others for their meals might find it difficult to change their diet, for example people living in residential homes. Even if these groups do make lifestyle changes, this might not be enough to reduce their risk. The PDG made recommendations about supporting lifestyle change with medication such as metformin to address this problem. Metformin has been used safely over many years by overweight or obese people with elevated blood glucose levels who took part in the Diabetes Prevention Program Outcomes Study. It is associated with modest and durable weight loss (DPP Research Group 2012). The PDG also took note of NICE's guidance on obesity (2006). This includes recommendations about the use of orlistat and bariatric surgery for people who need further help to lose weight. Evaluations of diabetes prevention trials found no evidence about the value of excluding (or including) alcohol as part of a dietary intervention. Hence no recommendations were made on this. However, the PDG acknowledged that alcohol contributes to calorie intake."
"PH38S15","Vulnerable groups: information and services","Vulnerable groups: information and services","","There was little evidence about type 2 diabetes risk assessment for adults aged 18–24 years in any population subgroup. The same was true for people of all ages with severe mental illness or learning disabilities and for those from lower socioeconomic groups."
"PH38S16","Vulnerable groups: supporting lifestyle change","Vulnerable groups: supporting lifestyle change","","While most people can make changes to their diet and become more physically active, others might find this difficult or even impossible. For example, people whose mobility is severely impaired due to disability, or restricted due to their place of residence, may find it difficult to become more physically active. People who rely on others for their meals might find it difficult to change their diet, for example people living in residential homes. Even if these groups do make lifestyle changes, this might not be enough to reduce their risk. The PDG made recommendations about supporting lifestyle change with medication such as metformin to address this problem. Metformin has been used safely over many years by overweight or obese people with elevated blood glucose levels who took part in the Diabetes Prevention Program Outcomes Study. It is associated with modest and durable weight loss (DPP Research Group 2012). The PDG also took note of NICE's guidance on obesity (2006). This includes recommendations about the use of orlistat and bariatric surgery for people who need further help to lose weight."
"PH38S17","Intensive lifestyle-change programmes: quality assurance","Intensive lifestyle-change programmes: quality assurance","",""
"PH38S18","Training and professional development","Training and professional development","",""
"PH38S19","Metformin","Metformin","","While most people can make changes to their diet and become more physically active, others might find this difficult or even impossible. For example, people whose mobility is severely impaired due to disability, or restricted due to their place of residence, may find it difficult to become more physically active. People who rely on others for their meals might find it difficult to change their diet, for example people living in residential homes. Even if these groups do make lifestyle changes, this might not be enough to reduce their risk. The PDG made recommendations about supporting lifestyle change with medication such as metformin to address this problem. Metformin has been used safely over many years by overweight or obese people with elevated blood glucose levels who took part in the Diabetes Prevention Program Outcomes Study. It is associated with modest and durable weight loss (DPP Research Group 2012). The PDG also took note of NICE's guidance on obesity (2006). This includes recommendations about the use of orlistat and bariatric surgery for people who need further help to lose weight."
"PH38S20","Orlistat","Orlistat","","While most people can make changes to their diet and become more physically active, others might find this difficult or even impossible. For example, people whose mobility is severely impaired due to disability, or restricted due to their place of residence, may find it difficult to become more physically active. People who rely on others for their meals might find it difficult to change their diet, for example people living in residential homes. Even if these groups do make lifestyle changes, this might not be enough to reduce their risk. The PDG made recommendations about supporting lifestyle change with medication such as metformin to address this problem. Metformin has been used safely over many years by overweight or obese people with elevated blood glucose levels who took part in the Diabetes Prevention Program Outcomes Study. It is associated with modest and durable weight loss (DPP Research Group 2012). The PDG also took note of NICE's guidance on obesity (2006). This includes recommendations about the use of orlistat and bariatric surgery for people who need further help to lose weight."
"CG66S1","Education","Structured Education","Type 2 diabetes mellitus is a progressive long-term medical condition that is predominantly
managed by the person with the diabetes and/or their carer as part of their daily life. Accordingly,
understanding of diabetes, informed choice of management opportunities, and the acquisition of
relevant skills for successful self-management play an important role in achieving optimal
outcomes. Delivery of these needs is not always assured by conventional clinical consultations.
Structured programmes have been designed not only to improve people’s knowledge and skills,
but also to help motivate and sustain people with diabetes in taking control of their condition and
in delivering effective self-management.","The GDG noted that the last review of this area by a HTA on behalf of NICE in 2003 looked at the evidence for structured education. Little robust evidence of the effectiveness of any particular educational approach for people with Type 2 diabetes was found. One conclusion was that further research was required, but meanwhile that educational programmes with a theoretical basis demonstrated improved outcomes, and that group education was a more effective use of resources and may have additional benefits.
"
"CG66S2","Lifestyle management/
non-pharmacological management","Dietary advice","All people with Type 2 diabetes should be supported to:try to achieve and maintain blood glucose levels and blood pressure in the normal rangeor as close to normal as is safely possible, maintain a lipid and lipoprotein profile that reduces the risk of vascular disease. Optimal dietary behaviours can contribute to all of these.
Dietary intervention should address the individual’s nutritional needs, taking into account personal choices, cultural preferences and willingness to change, and to ensure that quality of life is optimised. It is usual that a registered dietician plays a key role in providing nutritional care advice within the multidisciplinary diabetes team. It is also recognised that all team members need to be knowledgeable about nutritional therapy, and give emphasis to consistent dietary and lifestyle advice.11","The GDG noted that there was little new evidence to warrant any change to previous views in this field. The major consensus-based recommendations from the UK and USA emphasise sensible practical implementation of nutritional advice for people with Type 2 diabetes. Other relevant NICE guidance should be considered where relevant, including clinical guideline no. 43 on the assessment and management of overweight and obesity in adults and children and clinical guideline no. 48 which gives dietary and lifestyle advice post-MI. Overlap with the NICE/RCP Type 1 diabetes guideline was noted. Management otherwise will concentrate on principles of healthy eating (essentially those for optimal cardiovascular risk protection), and reduction of high levels of free carbohydrate in food that are hyperglycaemic in the presence of defective insulin secretory reserve."
"CG66S3","Lifestyle management/
non-pharmacological management","Management of depression","Psychological well-being is clearly part of being healthy. It is an important part of healthcare
management of any condition where psychological health is impaired or where it has particular
impact on clinical management.
There is evidence of a high prevalence of psychological ill-health in people with diabetes,
notably for depression,21 which is often under-recognised.22 Additionally because of the
importance of self-care to the management of the condition, there is evidence that
psychological ill-health is associated with adverse effects on other aspects of the long-term
health of people with Type 2 diabetes.23–25
Formal assessment of psychological well-being is not a standard part of practice in diabetes care
in the UK. Other guidelines, including the NICE guideline for people with Type 1 diabetes, have
emphasised the importance of recognising and managing depression. Only general
recommendations have been made regarding being alert to problems, availability of skills to
manage routine psychological disorders, and of appropriate referral to those with special
expertise where the condition.","No evidence search has been performed for the purpose of the current guideline due to the availability of the NICE depression guideline. People with Type 2 diabetes with psychological and/or depressive disorders should be identified by continuing professional awareness, and managed in accordance with current national guidelines."
"CG66S4","Glucose Control Levels","Clinical monitoring of blood glucose control","The risk of arterial disease and microvascular complications in people with diabetes are known
to be related to the extent of hyperglycaemia with time. While the lifestyle, oral agent, and
injectable therapies discussed in this guideline can improve blood glucose control, their efficacy
is limited, as the underlying pathogenesis of diabetes worsens with time. As symptoms are not
a reliable guide to blood glucose control in people on therapy, it is important to have an
accurate means of measuring blood glucose control over time, to enable decision-making.
This section addresses the clinical questions as to the tests of blood glucose control best
predictive of future vascular damage from diabetes, the nature of the relationship between test
results and such vascular risk, how tests should be deployed in clinical practice, and how they
might be interpreted.","There were a number of difficulties agreeing the level at which therapeutic interventions should begin or be enhanced. It was agreed that people with diabetes and the professionals advising
"
"CG66S5","Self-monitoring of plasma glucose","Self-monitoring of plasma glucose","Self-monitoring is the only direct method by which a person with diabetes can be aware of their
level of control of blood glucose. It has utility when used with therapies of erratic effect, those
requiring considerable dose adjustment (notably insulin), and in those whose therapies put
them at risk of hypoglycaemia. More controversial, except for people using insulin, is the use of
self-monitoring to provide feedback on the impact of lifestyle measures on blood glucose
control, and as part of the overall educational package designed to enhance self-care. Indirect
monitoring using urine glucose tests is cheaper, but also delivers less information than plasma
glucose monitoring.
This section addresses the clinical question of the role of self-monitoring of plasma glucose in
people at different stages of the condition and on different therapies, and its integration with
other key processes of care such as patient education.","The newer meta-analyses did not add significantly to the views expressed in the previous Type 2 diabetes guideline. The findings of the ROSSO study44 and the data from the large Kaiser Permanente cohorts 43 added considerable confidence to the view that SMBG was an integral part of effective patient education packages and enabled the effective use of many other therapies and lifestyle interventions. The view in the previous guideline that self-monitoring of plasma glucose is not a stand-alone intervention was endorsed. Concern was expressed over a number of issues surrounding the successful use of selfmonitoring, and recognised that its cost meant that it had to be effectively deployed. It should only be supported in the context of a provision of a package of care, including structured education, from a primary or secondary diabetes care team. The initial education should be provided by a properly trained and skilled professional with understanding of the problems of the technology. Also, the skills of people with diabetes in using the technology should be the subject of regular quality assurance (together with the devices) perhaps as part of the regular annual review process. Devices should be calibrated to plasma glucose levels in line with 2006 WHO recommendations."
