"Recommendation GUID","Recommendation body","Recommendation title","Recommendation Grade Code","Set GUID"
"CG101.1.4.1","Patients with risk factors for ulceration should be referred to a foot protection team. (D) 
","Care of people at increased risk of foot ulcers","","CG10S5"
"CG101.1.4.2","Patients with risk factors for ulceration should be referred to a foot protection team. (D) 
","Care of people at increased risk of foot ulcers","","CG10S5"
"CG101.1.4.3","Arrange regular review, 3-6 monthly, by a foot protection team. (D) 
","Care of people at increased risk of foot ulcers","","CG10S5"
"CG101.1.4.4","At each review: 
• inspect patient’s feet (D) 
• review need for vascular assessment (D) 
• evaluate footwear (D) 
• enhance foot care education.* (D)","Care of people at increased risk of foot ulcers","","CG10S5"
"CG101.1.5.1","Patients at high risk for ulceration should be referred to a foot protection team. (A) 
","Care of people at high risk of foot ulcers","","CG10S5"
"CG101.1.5.2","Arrange frequent review, 1-3 monthly by foot protection team. (D) 
","Care of people at high risk of foot ulcers","","CG10S5"
"CG101.1.5.3","At each review 
inspect patient’s feet (A) 
review need for vascular assessment (D) 

","Care of people at high risk of foot ulcers","","CG10S5"
"CG101.1.5.4","At each review evaluate provision of and provide appropriate intensified foot care education (D) , specialist footwear and insoles (D), skin and nail care (D) ","Care of people at high risk of foot ulcers","","CG10S5"
"CG101.1.5.5","Ensure special arrangements for access to the foot protection team for those people with disabilities or immobility. (D)","Care of people at high risk of foot ulcers","","CG10S5"
"CG101.1.6.1","For a new foot ulcer, urgent (within 24 hours) assessment by an appropriately trained health professional should be arranged. (D) 
","Assessment of new foot ulcers","","CG10S8"
"CG101.1.6.2","Ongoing care of an individual with an ulcerated foot should be undertaken without delay by a multidisciplinary foot care team. (D)","Ongoing care by multidisciplinary foot care team","","CG10S8"
"CG101.1.6.3","The multidisciplinary foot care team should comprise highly trained specialist podiatrists and orthotists, nurses with training in dressing of diabetic foot wounds and diabetologists with expertise in lower limb complications. They should have unhindered access to suites for managing major wounds, urgent inpatient facilities, antibiotic administration, community nursing, microbiology diagnostic and advisory services, orthopaedic/podiatric surgery, vascular surgery, radiology and orthotics. (D) 
","Training and facilities for multidisciplinary footcare team","","CG10S8"
"CG101.1.6.4","Patients who may benefit from re-vascularisation should be referred promptly. (D)","Re-vascularisation","","CG10S8"
"CG101.1.6.5","Patients with non-healing or progressive ulcers with clinical signs of active infection (redness, pain, swelling or discharge) should receive intensive, systemic antibiotic therapy. (C) 
","When to start Intensive antibiotic therapy","","CG10S9"
"CG101.1.6.6","In the absence of strong evidence of clinical or cost effectiveness, health care professionals should use wound dressings that best match clinical experience, patient preference, and the site of the wound and consider the cost of dressings. (D) 
","Use of wound dressings","","CG10S10"
"CG101.1.6.7","Wounds should be closely monitored and dressings changed regularly.","Monitoring of wounds","","CG10S10"
"CG101.1.6.8","Dead tissue should be carefully removed from foot ulcers to facilitate healing, unless revascularisation is required. (B) 
","Remove dead tissue","","CG10S11"
"CG101.1.6.9","Total contact casting may be considered for people with foot ulcers unless there is severe ischaemia. (B) 
","When to consider total contact casting","","CG10S12"
"CG101.1.6.10","Currently, there is a lack of trial evidence on the use of the following interventions in the treatment of foot ulcers and they are not recommended: cultured human dermis (or equivalent), hyperbaric oxygen therapy, topical ketanserin, or growth factors. (D) 
","Treatments not recommended for foot ulcers","","CG10S13"
"CG101.1.6.11","For patients with foot ulcers or previous amputation, health care professionals could consider offering graphic visualisations of the sequelae of disease and providing clear, repeated reminders about foot care. (B)","Graphic visualisations for patients","","CG10S14"
"CG101.1.7.1","People with suspected or diagnosed Charcot osteoarthropathy should be referred immediately to a multidisciplinary foot care team for immobilisation of the affected joint(s) and for long term management of off-loading to prevent ulceration. (D) 
","Referral for patient suspected Charcot osteoarthropathy","","CG10S15"
"PH38R1.1","GPs and other health professionals and community practitioners in health and community venues should implement a two-stage strategy to identify people at high risk of type 2 diabetes (and those with undiagnosed type 2 diabetes). First, a risk assessment should be offered (see recommendation 3). Second, where necessary, a blood test should be offered to confirm whether people have type 2 diabetes or are at high risk (see recommendation 4).","Two-stage strategy for identification of those at high risk of type 2 diabetes","","PH38S1"
"PH38R1.2","Service providers including pharmacists, managers of local health and community services and voluntary organisations, employers and leaders of faith groups should offer validated self-assessment questionnaires or validated web-based tools (for examples, see the Diabetes UK website). They should also provide the information needed to complete and interpret them. The tools should be available in local health, community and social care venues. Examples of possible health venues include: community pharmacies, dental surgeries, NHS walk-in centres and opticians. Examples of community and social care venues include: workplaces, job centres, local authority leisure services, shops, libraries,faith centres, residential and respite care homes and day centres (for older adults and for adults with learning disabilities).","Offer validated self-assessment questionnaires","","PH38S1"
"PH38R1.3","Public health, primary care and community services should publicise local opportunities for risk assessment and the benefits of preventing (or delaying the onset of) type 2 diabetes. The information should be up-to-date and provided in a variety of formats. It should also be tailored for different groups and communities. For example, by offering translation servicesand information in languages used locally.","Publicise local risk assessment opportunities","","PH38S1"
"PH38R1.4","Where risk assessment is conducted by health professionals in NHS venues outside generalpractice (for example, in community pharmacies) the professionals involved should ensure the results are passed on to the person's GP.","Pass on results to GP","","PH38S1"
"PH38R1.5","GPs should keep records of all risk assessment results to ensure appropriate follow-up andcontinuity of care.","GPs to keep records of risk assessment results","","PH38S1"
"PH38R1.6","Where self-assessment is offered in community venues, health professionals and
community practitioners in those venues should encourage people with an intermediate or high risk score to visit their GP to discuss how to manage their risk. Those at high risks hould be offered a blood test by their GP.","Encourage those with high irsk score to visit GP","","PH38S1"
"PH38R1.7","Ensure health professionals and community practitioners involved with risk assessments in community venues communicate closely with, and receive support from, NHS diabetes risk assessment and prevention services. They should aim to ensure continuity of care and avoid unnecessary duplication of risk assessments.","Communicate with NHS diabetes risk assessment services","","PH38S1"
"PH38R1.8","Managers in primary and secondary healthcare should ensure staff actively seek out and offer risk assessments to people who might not realise they could be at high risk. This includes people with particular conditions that can increase the risk such as: cardiovascular disease, hypertension, obesity, stroke, polycystic ovary syndrome, a history of gestational diabetes and mental health problems. In addition, people with learning disabilities and those attending accident and emergency, emergency medical admissions units, vascular and renal surgery units and ophthalmology departments may be at high risk.","Encourage proactive offer of risk assessments to high risk population","","PH38S1"
"PH38R2.1","Encourage the following to have a risk assessment: all eligible adults aged 40 and above, except pregnant women people aged 25–39 of South Asian, Chinese, African-Caribbean, black African and other high-risk black and minority ethnic groups, except pregnant women adults with conditions that increase the risk of type 2 diabetes","Who should have risk assessment","","PH38S2"
"PH38R2.2","Explain to people why, even though they feel healthy, they can still be at risk of developing type 2 diabetes. Explain the implications of being at risk and that this can be reduced by making lifestyle changes.","Explain implications of being at risk","","PH38S2"
"PH38R2.3","Tell people how and where they can be assessed, including at their GP surgery or community pharmacy. Make people aware that they can use a validated self-assessment questionnaire or validated web-based tools (for examples, see the Diabetes UK website). Explain that those who are eligible can be assessed by the NHS Health Check programme. (This programme is for people aged 40–74 who are not on a disease register and have not been diagnosed with coronary heart disease, hypertension, atrial fibrillation, stroke, transient ischaemic attack, type 2 diabetes or kidney disease","Publicise local risk assessment opportunities","","PH38S2"
"PH38R2.4","Encourage people who are less likely to attend a GP surgery to go elsewhere for a risk assessment. Possibilities include community pharmacies, dental surgeries, NHS walk-in centres and opticians. Assessments may also be offered in community venues. Examples include: workplaces, job centres, local authority leisure facilities, shops, libraries, faith centres, residential and respite care homes and day centres (for older adults and for adults with learning disabilities).","Highlight risk assessment opportunities other than  GP surgery","","PH38S2"
"PH38R2.5","Advise people with type 2 diabetes to encourage family members to have their risk assessed.","Family member risk assessment for those with type 2 diabetes","","PH38S2"
"PH38R3.1","GPs and other primary healthcare professionals should use a validated computer-based risk-assessment tool to identify people on their practice register who may be at high risk of type 2 diabetes. The tool should use routinely available data from patients' electronic health records. If a computer-based risk-assessment tool is not available, they should provide a validated self-assessment questionnaire, for example, the Diabetes Risk Score assessment tool. This is available to health professionals on request from Diabetes UK.","Use validated risk assessment tool","","PH38S3"
"PH38R3.2","GPs and other primary healthcare professionals should not exclude people from
assessment, investigation or intervention on the basis of age, as everyone can reduce theirrisk, including people aged 75 years and over.","Do not exclude assessment on age grounds","","PH38S3"
"PH38R3.3","Pharmacists, opticians, occupational health nurses and community leaders should offer avalidated self-assessment questionnaire to adults aged 40 and over, people of South Asian and Chinese descent aged 25–39, and adults with conditions that increase the risk of type 2 diabetes[1], other than pregnant women. Or they should tell people how to access specific, validated online self-assessment tools, such as the Diabetes Risk Score featured on the Diabetes UK website.","Offer validated self-assessment questionnaires","","PH38S3"
"PH38R3.4","Pharmacists, opticians, occupational health nurses and community leaders involved in risk assessments should advise people with a high risk score to contact their GP or practice nurse for a blood test. The aim is to check if they have type 2 diabetes or to confirm their level of risk and discuss how to reduce it.","Encourage  those with high risk score to contact GP","","PH38S3"
"PH38R3.5","All providers of risk assessments should explain to those attending for a type 2 diabetes risk assessment the implications of being at high risk and the consequences of developing the condition.","Explain implications of being at risk","","PH38S3"
"PH38R3.6","All providers of risk assessments should discuss with those attending for a type 2 diabetes risk assessment how to prevent or delay the onset of the condition. This includes being more physically active, achieving and maintaining a healthy weight, eating less fat and eating more dietary fibre. They should also tell people where to get advice and support to maintain these lifestyle changes in the long term.","Discuss lifestyle changes as prevention measures","","PH38S3"
"PH38R4.1","Trained healthcare professionals should offer venous blood tests (fasting plasma glucose [FPG] or HbA1c) to adults with high risk scores (stage 2 of the identification process). They should also consider a blood test for those aged 25 and over of South Asian or Chinese descent whose body mass index (BMI) is greater than 23 kg/m2. The aim is to: determine the risk of progression to type 2 diabetes (a fasting plasma glucose of 5.5–6.9 mmol/l or an HbA1c level of 42–47 mmol/mol
[6.0–6.4%] indicates high risk) or identify possible type 2 diabetes by using fasting plasma glucose, HbA1c or an oral glucose tolerance test (OGTT), according to World Health Organization (WHO) criteria.","Offer venous blood tests to adults with high risk scores","","PH38S4"
"PH38R4.2","Ensure HbA1c tests, including point-of-care tests, conform to expert consensus reports on appropriate use and national quality specifications (see NHS Diabetes website and WHO guidance). The tests should only be carried out by trained staff.","Ensure tests conform to appropriate use and quality specifications","","PH38S4"
"PH38R5.1","For people at low risk (that is, those who have a low or intermediate risk score), tell the person that they are currently at low risk, which does not mean they are not at risk – or that
their risk will not increase in the future.Offer them brief advice.
As part of brief advice:
Discuss their risk factors and how they could improve their lifestyle to reduce overall risk.
Offer encouragement and reassurance. Offer verbal and written information about culturally appropriate local services andfacilities that could help them change their lifestyle. Examples could include
information or support to: improve their diet (including details of any local marketsoffering cheap fruit and vegetables); increase their physical activity and reduce the
amount of time spent being sedentary (including details about walking or other localphysical activity groups and low-cost recreation facilities). The information should be provided in a range of formats and languages.
","Matching interventions to risk","","PH38S5"
"PH38R5.2","For people with a moderate risk (a high risk score, but with a fasting plasma glucose less than 5.5 mmol/l or HbA1c of less than 42 mmol/mol [6.0%]):
Tell the person that they are currently at moderate risk, and their risks could increase in the future. Explain that it is possible to reduce the risk. Briefly discuss their particular risk factors, identify which ones can be modified and discuss how they can achieve this by changing their lifestyle.
Offer them a brief intervention to help them change their lifestyle: give information about services that use evidence-based behaviour-change techniques that could help them change, bearing in mind their risk profile. Services cited could include walking programmes, slimming clubs or structured weight-loss programmes.
Discuss whether they would like to join a structured weight-loss programme. Explain that this would involve an individual assessment and tailored advice about diet, physical activity and behaviour change. Let them know which local programmes offer this support – and where to find them.","Moderate risk patients","","PH38S5"
"PH38R5.3","For people confirmed as being at high risk (a high risk score and fasting plasma glucose of 5.5–6.9 mmol/l or HbA1c of 42–47 mmol/mol [6.0–6.4%]):
Tell the person they are currently at high risk but that this does not necessarily mean they will progress to type 2 diabetes. Explain that the risk can be reduced. Briefly discuss their particular risk factors, identify which ones can be modified and discuss how they can achieve this by changing their lifestyle.
Offer them a referral to a local, evidence-based, quality-assured intensive lifestyle change programme(see recommendations 8, 9 and 10). In addition, give them details
of where to obtain independent advice from health professionals. 
","High risk patients","","PH38S5"
"PH38R5.4","For people with possible type 2 diabetes(fasting plasma glucose of, 7.0 mmol/l or above, or HbA1c of 48 mmol/mol [6.5%] or above, but no symptoms of type 2 diabetes):
Carry out a second blood test. If type 2 diabetes is confirmed, treat this in accordance with NICE guidance on type 2 diabetes. Ensure blood testing conforms to national quality specifications.
If type 2 diabetes is not confirmed, offer them a referral to a local, quality-assured, intensive lifestyle-change programme (see recommendations 8, 9 and 10).","Those with possible type 2 diabetes ","","PH38S5"
"PH38R5.5","For people with a high risk score who prefer not to have a blood test, or who do not use primary healthcare services, discuss the importance of early diagnosis to help reduce the risk of long-term complications. Use clinical judgement, based on the person's risk score, to decide whether to offer them a brief intervention or a referral to an intensive lifestyle-change programme (see recommendations 8, 9 and 10)","High risk score patients","","PH38S5"
"PH386.1","Keep an up-to-date register of people's level of risk. Introduce a recall system to contact and invite people for regular review, using the two-stage strategy","Up to date register of level of risk","","PH38S6"
"PH386.2","Offer a reassessment based on the level of risk. Use clinical judgement to determine when someone might need to be reassessed more frequently, based on their combination of risk factors (such as their body mass index [BMI], relevant illnesses or conditions, ethnicity and age)","Offer of reassessment","","PH38S6"
"PH386.3","For people at low risk (with a low or intermediate risk score) offer to reassess them at least every 5 years to match the timescales used by the NHS Health Check programme. Use a validated risk-assessment tool.","When to reassess those at low risk","","PH38S6"
"PH386.4","For people at moderate risk (a high risk score, but with a fasting plasma glucose less than 5.5 mmol/l, or HbA1c less than 42 mmol/mol [6.0%]), offer to reassess them at least every 3 years.","When to reassess those at moderate risk","","PH38S6"
"PH386.5","For people at high risk(a high risk score and fasting plasma glucose of 5.5–6.9 mmol/l, or HbA1c of 42–47 mmol/mol [6.0–6.4%]), offer a blood test at least once a year (preferably using the same type of test). Also offer to assess their weight or BMI. This includes people without symptoms of type 2 diabetes whose:
first blood test measured fasting plasma glucose at 7.0 mmol/l or above, or an HbA1c of 48 mmol/mol (6.5%) or greater, but whose second blood test did not confirm a diagnosis of type 2 diabetes.
","When to reassess those at high risk","","PH38S6"
"PH386.6","At least once a year, review the lifestyle changes people at high risk have made. Use the review to help reinforce their dietary and physical activity goals, as well as checking their risk factors. The review could also provide an opportunity to help people 'restart', if lifestyle changes have not been maintained.","Reviewing lifestyle changes","","PH38S6"
"PH387.1","Health and wellbeing boards and public health commissioners should make type 2 diabetes prevention a priority in the joint health and wellbeing strategy. They should identify local needs by:
Using anonymised, regional and local health data and routinely collected surveillance data on specific population groups or geographical areas to inform the joint strategic needs assessment. Mapping local diet, weight management and physical activity services and interventions (for example, slimming clubs). This should include details about locations, opening times and accessibility, staffing levels and the range of professional skills available. It should also include details of any tailored support provided by trained personnel.","Identifying local needs","","PH38S7"
"PH387.2","Health and wellbeing boards and public health commissioners, working with clinical commissioning groups, should develop a comprehensive and coordinated type 2 diabetes prevention commissioning plan, based on the data collated. This should include:
Action to raise awareness of the risks of type 2 diabetes.
A proactive, two-stage approach to identifying people at high risk (and those with undiagnosed type 2 diabetes).
Evidence-based, quality-assured intensive lifestyle-change programmes.","Diabetes prevention commissioning plan","","PH38S7"
"PH387.3","Health and wellbeing boards and public health commissioners, working with clinicalcommissioning groups, should ensure the commissioning plan:
Sets out organisational responsibilities for local type 2 diabetes risk assessments. These could take place in primary care or community pharmacies as part of, or as a local addition to, the NHS Health Check programme, or as a self-assessment in community venues and workplaces.
Establishes arrangements to invite people of South Asian and Chinese descent aged 25 and over for a risk assessment at least once every 5 years. (Invitations and follow-up could be integrated within the NHS Health Check programme.)
Encourages employers in public and private sector organisations to include risk assessments in their occupational health service contracts. Supports the development of coordinated referral pathways for evidence-based and quality-assured intensive lifestyle-change programmes that cover physical activity, weight management and diet, and which teach behaviour-change techniques.
Makes it clear that everyone (including older people, those from minority ethnic groups and vulnerable or socially disadvantaged people) should be offered risk assessments and intensive lifestyle-change programmes at times, and in locations, that meet their needs. Makes provision for people who may have difficulty accessing, or are unlikely to
access, services in conventional healthcare venues.
Makes it clear that risk-assessment services and intensive lifestyle-change programmes should be delivered by trained practitioners (see recommendation 18).
","Requirements for commissioning plan","","PH38S7"
"PH387.4","Health and wellbeing boards and public health commissioners, working with clinical commissioning groups, should integrate the commissioning plan with the joint health and wellbeing strategy. They should ensure it is delivered through services operating across the NHS, local authorities and other organisations in the private, community and voluntary
sectors","Integration of commissioning plan","","PH38S7"
"PH387.5","Health and wellbeing boards and public health commissioners should regularly evaluate services in the context of these recommendations and changing local needs. They should se local accountability mechanisms (for example, health scrutiny reports) to examine specific issues.","Evaluation of services","","PH38S7"
"PH387.6","Health and wellbeing boards and public health commissioners should evaluate or compare the different service options and make the findings publicly available. Assessments should focus on changes in participants' physical activity levels, weight and dietary intake (of fat, saturated fat and fibre) over 12–24 months.","Compare different service options","","PH38S7"
"PH388.1","Provide specially designed and quality-assured intensive lifestyle-change programmes forgroups of 10–15 people at high risk of developing type 2 diabetes","Intensive lifestyle change programme","","PH38S8"
"PH388.2","Involve the target community (including community leaders) in planning the design and delivery of the programme to ensure it is sensitive and flexible to the needs, abilities and cultural or religious norms of local people. For example, the programme should offerpractical learning opportunities, particularly for those who have difficulties withcommunication or literacy or whose first language is not English.","Community involvement in planning of programme","","PH38S8"
"PH388.3","Ensure programmes are delivered by practitioners with relevant knowledge and skills who have received externally accredited training (see recommendation 18). Where relevant expertise is lacking, involve health professionals and specialists (such as dietitians and health psychologists) in the design and delivery of services","Trained practitioners","","PH38S8"
"PH388.4","Ensure programmes adopt a person-centred, empathy-building approach. This includes finding ways to help participants make gradual changes by understanding their beliefs, needs and preferences. It also involves building their confidence and self-efficacy over time.","Person-centric approach","","PH38S8"
"PH388.5","Ensure programme components are delivered in a logical progression. For example: discussion of the risks and potential benefits of lifestyle change; exploration of someone's motivation to change; action planning; self-monitoring and self-regulation.","Logical progression of programme components","","PH38S8"
"PH388.6","Ensure groups meet at least eight times over a period of 9–18 months. Participants should have at least 16 hours of contact time either within a group, on a one-to-one basis or using a mixture of both approaches.","How many times should groups meet","","PH38S8"
"PH388.7","Offer more intensive support at the start of the programme by delivering core sessions frequently (for example, weekly or fortnightly). Reduce the frequency of sessions over time to encourage more independent lifestyle management.
","More intensive support  at start of programme","","PH38S8"
"PH388.8","Allow time between sessions for participants to make gradual changes to their lifestyle – and to reflect on and learn from their experiences. Also allow time during sessions for them to share this learning with the group","Time for participants to make changes","","PH38S8"
"PH388.9","Deliver programmes in a range of venues such as workplaces, leisure, community and faith centres, and outpatient departments and clinics. Run them at different times, including during evenings and at weekends, to ensure they are as accessible as possible.
","Venues for programme delivery","","PH38S8"
"PH388.10","Offer referral to, or seek advice from, people with specialist training where necessary. For example, refer someone to a dietitian for assessment and specialist dietary advice if required.","Seeking further advice","","PH38S8"
"PH388.11","Offer follow-up sessions at regular intervals (for example, every 3 months) for at least 2 years following the initial intervention period. The aim is to reinforce the positive behaviour change and to provide support, in case of relapse. Larger group sizes may be feasible for these maintenance sessions.
","Follow up sessions","","PH38S8"
"PH388.12","Link the programmes with weight management and other prevention initiatives that help people to change their diet or become more physically active.","Link to other prevention initiatives","","PH38S8"
"CG87R1.1.1","Offer structured education to every person and/or their carer at and around the time of diagnosis, with annual reinforcement and review. Inform people and their carers that structured education is an integral part of diabetes care."," Offer structured education","","CG66S1"
"CG87R1.1.2","Select a patient-education programme that meets the criteria laid down by the Department of Health and Diabetes UK Patient Education Working Group.
 Any programme should be evidence-based, and suit the needs of the individual. The
programme should have specific aims and learning objectives, and should support
development of self-management attitudes, beliefs, knowledge and skills for the learner,their family and carers.The programme should have a structured curriculum that is theory-driven and evidencebased,
resource-effective, has supporting materials, and is written down.
 The programme should be delivered by trained educators who have an understanding of education theory appropriate to the age and needs of the programme learners, and are trained and competent in delivery of the principles and content of the programme they areoffering.
 The programme itself should be quality assured, and be reviewed by trained, competent,independent assessors who assess it against key criteria to ensure sustained consistency.
 The outcomes from the programme should be regularly audited.","Patient-education programme","","CG66S1"
"CG87R1.1.3","Ensure the patient education programme provides the necessary resources to support the educators, and that educators are properly trained and given time to develop and maintain their skills.","Resources & Training","","CG66S1"
"CG87R1.1.4","Offer group education programmes as the preferred option. Provide an alternative of equal standard for a person unable or unwilling to participate in group education.","Group education is preferred option","","CG66S1"
"CG87R1.1.5","Ensure the patient-education programmes available meet the cultural, linguistic, cognitive, and literacy needs within the locality.","Meeting needs of locality","","CG66S1"
"CG87R1.1.6","Ensure all members of the diabetes healthcare team are familiar with the programmes of patient education available locally, that these programmes are integrated with the rest of the care pathway, and that people with diabetes and their carers have the opportunity to contribute to the design and provision of local programmes.","Integration with rest of care pathway","","CG66S1"
"CG87R1.2.1.1","Provide individualised and ongoing nutritional advice from a healthcare professional with specific expertise and competencies in nutrition.","Provide nutritional advice","","CG66S2"
"CG87R1.2.1.2","Provide dietary advice in a form sensitive to the individual’s needs, culture and beliefs being sensitive to their willingness to change, and the effects on their quality of life","Be sensitive to individual's needs culture and beliefs","","CG66S2"
"CG87R1.2.1.3","Emphasise advice on healthy balanced eating that is applicable to the general population when providing advice to people with Type 2 diabetes. Encourage high-fibre, low glycaemic index sources of carbohydrate in the diet, such as fruit, vegetables, wholegrains and pulses; include low-fat dairy products and oily fish; and control the intake of foods containing saturated and trans fatty acids.","Nutritional advice applicable to general population","","CG66S2"
"CG87R1.2.1.4","Integrate dietary advice with a personalised diabetes management plan, including other aspects of lifestyle modification, such as increasing physical activity and losing weight.","Use technology for better image sharing","","CG66S2"
"CG87R1.2.1.5","Target, for people who are overweight, an initial body weight loss of 5–10%, while remembering that lesser degrees of weight loss may still be of benefit and that larger degrees of weight loss in the longer term will have advantageous metabolic impact.","Target initial body weight loss","","CG66S2"
"CG87R1.2.1.6","Individualise recommendations for carbohydrate and alcohol intake, and meal patterns.Reducing the risk of hypoglycaemia should be a particular aim for a person using insulin or an insulin secretagogue.","Individualise recommendations","","CG66S2"
"CG87R1.2.1.7","Advise individuals that limited substitution of sucrose-containing foods for other carbohydrate in the meal plan is allowable, but that care should be taken to avoid excess energy intake.","Advise avoidance of excess energy intake","","CG66S2"
"CG87R1.2.1.8","Discourage the use of foods marketed specifically for people with diabetes","Discourage foods marketed to diabetics","","CG66S2"
"CG87R1.2.1.9","When patients are admitted to hospital as inpatients or to any other institutions, implement a meal planning system that provides consistency in the carbohydrate content of meals and snacks.","Implement meal planning system for inpatients","","CG66S2"
"CG87R1.3.1","When setting a target glycated haemoglobin HbA1c:  involve the person in decisions about their individual HbA1c target level, which may be above that of 6.5 % set for people with Type 2 diabetes in general encourage the person to maintain their individual target unless the resulting side effects (including hypoglycaemia) or their efforts to achieve this impair their quality of life offer therapy (lifestyle and medication) to help achieve and maintain the HbA1c target level
 inform a person with a higher HbA1c that any reduction in HbA1c towards the agreed target is advantageous to future health avoid pursuing highly intensive management to levels of less than 6.5 %.","Involve patient in decsions on HbA1c target","","CG66S4"
"CG87R1.3.2","Measure the individual’s HbA1c levels at:
  2–6-monthly intervals (tailored to individual needs), until the blood glucose level is stable on unchanging therapy; use a measurement made at an interval of less than 3 months as an indicator of direction of change, rather than as a new steady state  6-monthly intervals once the blood glucose level and blood glucose lowering therapy are stable.","Measure HbA1c levels at 2-6 month intervals","","CG66S4"
"CG87R1.3.3","If HbA1c levels remain above target levels, but pre-meal self-monitoring levels remain well controlled (<7.0 mmol/l), consider self-monitoring to detect postprandial hyperglycaemia(>8.5 mmol/l), and manage to below this level if detected (see chapters 9–11).","When to consider self-monitoring","","CG66S4"
"CG87R1.3.4","Measure HbA1c using high-precision methods and report results in units aligned with those used in DCCT Trial (or as recommended by national agreement after publication of this guideline)","Measure HbA1c using high precision methods","","CG66S4"
"CG87R1.3.5","When HbA1c monitoring is invalid (because of disturbed erythrocyte turnover or abnormal haemoglobin type), estimate trends in blood glucose control using fructosamine estimation
 quality-controlled plasma glucose profiles
  total glycated haemoglobin estimation (if abnormal haemoglobins).","Alternative blood glucose estimation methods","","CG66S4"
"CG87R1.3.6","Investigate unexplained discrepancies between HbA1c and other glucose measurements. Seek advice from a team with specialist expertise in diabetes or clinical biochemistry.","Investigate unexplained discrepancies","","CG66S4"
"CG87R1.4.1","Offer self-monitoring of plasma glucose to a person newly diagnosed with Type 2 diabetes only as an integral part of his or her self-management education. Discuss its purpose and agree how it should be interpreted and acted upon.","Self monitoring of plasma glucose as part of self-management education","","CG66S5"
"CG87R1.4.2","Self-monitoring of plasma glucose should be available:to those on insulin treatment
 ,to those on oral glucose lowering medications to provide information on hypoglycaemia, to assess changes in glucose control resulting from medications and lifestyle changes, to monitor changes during intercurrent illness, to ensure safety during activities, including driving","Self-monitoring of plasma glucose","","CG66S5"
"CG87R1.4.3","Assess at least annually and in a structured way:
  self-monitoring skills
  the quality and appropriate frequency of testing
  the use made of the results obtained
  the impact on quality of life
  the continued benefit
  the equipment used.","Regular assessment of self-monitoring","","CG66S5"
"CG87R1.4.4","If self-monitoring is appropriate but blood glucose monitoring is unacceptable to the individual, discuss the use of urine glucose monitoring.","Discussion of  urine glucose monitoring","","CG66S5"
"CG87R1.5.1.1","Start metformin treatment in a person who is overweight or obese (tailoring the assessment of body weight associated risk according to ethnic group*) and whose blood glucose is inadequately controlled (see recommendation 16) by lifestyle interventions (nutrition and exercise) alone.","Metformin treatment for overweight people","","CG66S7"
"CG87R1.5.1.2","Consider metformin as an option for first-line glucose-lowering therapy for a person who is not overweight.","Metaformin for non-overweight people","","CG66S7"
"CG87R1.5.1.3","Continue with metformin if blood glucose control remains or becomes inadequate (see recommendation 16) and another oral glucose-lowering medication (usually a sulfonylurea) is added.","Continue with metaformin","","CG66S7"
"CG87R1.5.1.4","Step up metformin therapy gradually over weeks to minimise risk of gastrointestinal side effects. Consider a trial of extended absorption metformin tablets where gastrointestinaltolerability prevents continuation of metformin therapy.","Gradual step up of metaformin therapy to minimise side effects","","CG66S7"
"CG87R1.5.1.5","Review the dose of metformin if the serum creatinine exceeds 130 micromol/l or the eGFR is below 45 ml/minute/1.73 m2. Stop the metformin if the serum creatinine exceeds 150 micromol/l or the eGFR is below
30 ml/minute/1.73 m2.
 Prescribe metformin with caution for those at risk of a sudden deterioration in kidney
function and those at risk of eGFR falling below 45 ml/minute/1.73 m2.","When to review metaformin dose","","CG66S7"
"CG87R1.5.1.6","The benefits of metformin therapy should be discussed with a person with mild to moderate liver dysfunction or cardiac impairment so that:
 due consideration can be given to the cardiovascular-protective effects of the drug
 an informed decision can be made on whether to continue or stop the metformin.","Metformin discussion with those with liver dysfunction or cardiac impairment ","","CG66S7"
"CG87R1.5.2.1","Consider a sulfonylurea as an option for first-line glucose lowering-therapy if:
  the person is not overweight,  the person does not tolerate or is contraindicated
, a rapid response to therapy is required because of hyperglycaemic symptoms.","When to consider sulfonylurea as first line therapy","","CG66S8"
"CG87R1.5.2.2","Add a sulfonylurea as second-line therapy when blood glucose control remains, or becomes,
inadequate (see recommendation 16) with metformin.","When to consider sulfonylurea as second line therapy","","CG66S8"
"CG87R1.5.2.3","Continue with a sulfonylurea if blood glucose control remains, or becomes, inadequate (see recommendation 16) and another oral glucose-lowering medication is added.","Continuing with a sulfonylurea","","CG66S8"
"CG87R1.5.2.4","Prescribe a sulfonylurea with a low acquisition cost (but not glibenclamide) when an insulin secretagogue is indicated (see recommendation 32 and 33).","Prescribe a sulfonylurea with low acquisition cost","","CG66S8"
"CG87R1.5.2.5","When drug concordance is a problem, offer a once daily, long-acting sulfonylurea.","Sulfonylurea and drug concordance","","CG66S8"
"CG87R1.5.2.6","Educate a person being treated with an insulin secretagogue, particularly if renally impaired, about the risk of hypoglycaemia.","Educate about hypoglycaemia","","CG66S8"
"CG87R1.5.3.1","Consider offering a rapid-acting insulin secretagogue to a person with an erratic lifestyle.","Insulin secretagogue for those with erratic lifestyle","","CG66S8"
"CG87R1.5.4.1","Consider acarbose for a person unable to use other oral glucose-lowering medications.","When to consider acarbose","","CG66S9"
