"Audit ID","Recommendation GUID","AuditCriteria","NumberFulfill","TotalNumber","PercentAchiev","Notes","AuditInfoSourceID","AuditDate"
"172","CG62R1.3.2.4","Women with BMI > 30 kg/m2 who were taking vitamin D supplements","","","37.00","Although data for different ethnicities is presented it is difficult to analyse due to the way it is presented in the text","37","05-Apr-11"
"173","CG56R1.4.3.10","Number of intubated, traumatic brain injury patients who had a CT as per NICE guidelin","108","108","100.00","","38","31-Mar-11"
"174","CG66R1.3.2","Overall HbA1c tests that were ordered appropriately","26632","54537","48.83","For patients with HbA1c >= 7.0%, appropriate interval was set at 2-6 months, for patients with HbA1c < 7.0%, appropriate interval was set to 6-12 months. Overall 16291/54537 (29.9%) were ordered too early, 11614/54537 (21.3%) were ordered too late","39","31-Mar-11"
"175","CG66R1.3.2","Primary care HbA1c tests that were ordered appropriately","23935","47698","50.18","For patients with HbA1c >= 7.0%, appropriate interval was set at 2-6 months, for patients with HbA1c < 7.0%, appropriate interval was set to 6-12 months. 14489/47698 (30.4%) were ordered too early, 9274/54537 (19.4%) were ordered too late","39","31-Mar-11"
"176","CG66R1.3.2","Secondary care HBA1c tests that were ordered at the correct interval","2670","6783","39.36","For patients with HbA1c >= 7.0%, appropriate interval was set at 2-6 months, for patients with HbA1c < 7.0%, appropriate interval was set to 6-12 months. Overall 1783/6783 (26.3%) were ordered too early, 2330/6783(34.4%) were ordered too late.

ADDITIONAL","39","31-Mar-11"
"177","CG124R1.3.1","Pain assessed immediately upon presentation at hospital","41","50","82.00","","40",""
"178","CG124R1.3.1","Pain assessed within 30 minutes of administering initial analgesia","24","50","48.00","","40",""
"179","CG124R1.3.1","Pain assessed hourly until settled on the ward","24","50","48.00","","40",""
"180","CG124R1.3.2","Patients who were offered immediate analgesia","2","50","4.00","Good clinical reason documented for lack of analgesia in 46% of cases. No discernable reason for lack of analgesia in the remaining 50% and the average wait to get analgesia was 89.33 minutes","40",""
"181","CG124R1.3.4","Patients who received paracetamol","8","50","16.00","76% of patients received opiods sugegsting that opiods are first line therapy and paracetamol is not being given routinely","40",""
"182","CG124R1.3.5","Patients who received opioids","38","50","76.00","this must be seen in the context of only 16% of patients getting paracetemol. This is suggesting that opioids are first line therapy.","40",""
"183","CG124R1.3.6","Patients who received a nerve block","","","0.00","No patients received a nerve block","40",""
"184","CG124R1.3.9","Patients who did not receive an NSAID","49","50","98.00","","40",""
"185","CG75R1.4.3.3","Patients referrde for MRI because of suspected spinal cord metastases who had an MRI within TWO weeks","4","48","8.33","Note the 2 week timescale  is different to the 1 week in the CG75 recommendation

Average wait for MRI was 22.5 days (range 7-42). All patients in the study were found to have spinal cord metastases from established or newly diagnosed cancers.","41","30-Apr-11"
"186","CG56R1.4.2.11","CT scans performed within 1 hour","75","75","100.00","First cycle","42","30-Apr-10"
"187","CG56R1.4.2.11","CT scans performed within 1 hour","","80","96.00","Second cycle","42","30-Apr-11"
"188","CG56R1.4.2.11","Provisional CT report within 1 hour","","75","57.00","First Cycle","42","30-Apr-10"
"189","CG56R1.4.2.11","Provisional CT report within 1 hour","","80","58.00","Second cycle","42","30-Apr-11"
"190","CG68R1.2.4.1","Patients, across the whole study period, who waited more than 2 weeks from symptom onset to surgery","652","2174","29.99","Publication of NICE guidance was associated with reduction in number of patients waiting more than 2 weeks (OR 0.77, 95%CI 0.64-0.93, p=0.007). Factors associated with less of a delay: presented with a stroke, referral by hospital physician, or treated at","44","30-Sep-10"
"191","CG78R1.3.5.1","Patients who were prescribed drug treatment specifically for the treatment of BPD","","47","78.00","Exact date unknown but it is after introduction of the guidance","45",""
"192","CG78R1.3.5.1","Patients who were prescribed drug treatment without documented evidence of co-morbidity","","47","45.00","Exact date unknown but it is after introduction of the guidance","45",""
"193","CG64R1.1.3","Patients who did not receive antibiotic prophylaxis for the purposes of their congenital heart disease","51","51","100.00","Unknown date, but it is after guidance publication.

15/51 patients received surgically indicated antibiotic prophylaxis","46",""
"194","CG108R1.1.1.7","Patients who had an echocardiogram","","50","90.00","Paragraph numbers relate to CG108, wording is unchaged from CG5  although paragraph number has changed from 1.1.1.5 to 1.1.1.7","47","28-Feb-10"
"195","CG108R1.2.2.17","Patients who required diuretics who were prescribed them","","","100.00","Denominator unknown but not likely to be >50.

It is not explained how many needed them, simply that all who did, got them","47","28-Feb-10"
"196","CG108R1.3.1.1","Patients who were offered cardiac rehabilitation","0","50","0.00","","47","28-Feb-10"
"197","CG108R1.3.1.1","Patients who had their mental state and mood checked","1","50","2.00","","47","28-Feb-10"
"198","CG112R1.1.2","Centres surveyed that included psychological and developmental assessment on their sedation checklist","6","19","31.58","Unknown date of study","48",""
"199","CG112R1.1.3","Centres that sought anaesthetic advice for sedation of neonates","2","19","10.53","Unknown date of study","48",""
"200","CG112R1.1.4","Centres that ensure that sedation is overseen by 2 people","8","19","42.11","date of study is unknown

5/19 centres reported at least one cardiorespiratory event during sedation. An ‘event’ is not defined.","48",""
"201","CG98R1.2.1","Babies who had the risk factor of a sibling identified","","48","15.00","","49","31-Aug-11"
"202","CG98R1.2.15","Babies who had transcutaneous biblrubinometry used","29","35","82.86","","49","31-Aug-11"
"203","CG98R1.1.1","Patients/carers who received written information about the condition","","","75.00","","49","31-Aug-11"
"204","CG65R1.1.1","Elective patients who received information about the importance of temperature regulation","","","100.00","142 cases in total but emergency / elective are not broken down into numbers, simply reported that all elective cases got appropriate information","50","11-Feb-11"
"205","CG65R1.4.1","Patient’s temperature measured and documented on  admission to the recovery room","","","97.00","","50","11-Feb-11"
"206","CG65R1.3.7","Patients who were identified as high risk who recived forced air warming","","","58.00","","50","11-Feb-11"
"207","IPG2R1.2","Patients who were selected by an MDT","26","26","100.00","","51",""
"208","IPG2R1.2","Patients who had appropriate image guidance","26","26","100.00","This is a reaudit of a previous study","51",""
"209","CG121R1.4.27","Centres that offer CHART","14","50","28.00","","52","31-Dec-10"
"210","CG121R1.4.30","Centres that offered radiotherapy in line with the recommendation","","","98.00","","52","31-Dec-10"
"211","CG121R1.4.46","Centres that offer concomitant chemotherapy with limited stage disease","42","50","84.00","","52","31-Dec-10"
"212","CG121R1.4.53","Centres that offer prophylactic cranial irradiation in limited stage disease","50","50","100.00","35/50 (70%) centres offer PCI as 10 fractions of 25 Gy","52","31-Dec-10"
"213","CG121R1.4.54","Centres that offer prophylactic cranial irradiation in extensive disease","47","50","94.00","The most common regimen was 5 fractions of 20 Gy (54% of centres)","52","31-Dec-10"
"214","CG121R1.3.4","Centres that always used PET for patients being considered for radical therapy","45","50","90.00","5 of these centres incorporate PET into their planning, 40 have a separate scan","52","31-Dec-10"
"215","MTG3R1.2","Consultants who had access to ODM","","163","87.00","The paper talks about the access consultants have to other forms of CO monitoring, and specific protocols in place. These are not relevant to the NICE recommendations and have therefore not been included. Of note is the fact that the paper says that ‘NICE","53",""
"216","CG108R1.2.2.2","Patients that were prescribed a beta blocker","","282","89.00","Audit was post 2010 (CG108) guidelines","54",""
"217","CG108R1.2.2.2","Patients that were prescribed ane ACEi or ARB","","282","91.00","Audit was post 2010 (CG108) guidelines","54",""
"218","CG108R1.2.2.4","Patients correctly prescribed an aldosterone antagonist","","","64.00","Denominator unknown","54",""
"219","CG108R1.3.1.1","Patients who were offered cardiac rehabilitation in first three months of study","","155","15.00","Study questions relating to rehab changed3 months into the study","54",""
"220","CG108R1.3.1.1","Patients who were offered cardiac rehabilitation in second three months of study","","127","6.00","Study questions relating to rehab changed3 months into the study","54",""
"221","CG79R1.2.1.2","Patients who received written information about their condition","","","60.00","","55","31-Dec-10"
"222","CG79R1.2.1.2","Patients who received written information about their treatment","","","66.00","","55","31-Dec-10"
"223","CG79R1.4.1.1","Patients started on combination DMARD within 3 months of symptoms","1","121","0.83","Median delay from onset of symptoms to starting DMARD was 8 months. Median delay in referral 4 months. Referral to 1st appointment, 4.8 weeks, 1st appointment to initiation, of DMARD 55 days

10% of those started on monotherapy were started within 3 month","55","31-Dec-10"
"224","CG79R1.5.1.2","Patients who had monthly CRP checks","","","2.00","There is a typo on the abstract so it is difficult to know how many had DAS28 checks.","55","31-Dec-10"
"225","CG92R1.1.1","Patients assessed on admission for VTE risk","9","56","16.07","","56","02-Jun-10"
"226","CG92R1.1.1","Patients assessed on admission for VTE risk","39","56","69.64","","56","25-Jun-10"
"227","CG92R1.1.5","Patients reassessed at 24 hours for VTE risk","0","56","0.00","The authors argue that in certain patient populations (e.g. orthopaedics) reassessment will not change the original decision which is highly likely to be in favour of anti-coagulation and therefore represents wasted effort.","56","02-Jun-10"
"228","CG92R1.1.5","Patients reassessed at 24 hours for VTE risk","2","56","3.57","The authors argue that in certain patient populations (e.g. orthopaedics) reassessment will not change the original decision which is highly likely to be in favour of anti-coagulation and therefore represents wasted effort.","56","25-Jun-10"
"229","CG90R1.4.2.3","Trusts that provide routine access to PCs for patients","5","14","35.71","Use of the computer may be monitored by staff which may be off-putting for the patient","57","31-Mar-11"
"230","CG90R1.4.2.3","Trusts that have computers that meet the specifications for CCBT","14","14","100.00","","57","31-Mar-11"
"231","CG90R1.4.2.3","Trusts that allowed patients to have an NHS approved email account","1","14","7.14","","57","31-Mar-11"
"232","CG90R1.4.2.3","Trusts that allowed practitioners to send email to personal email accounts of patients","9","14","64.29","13/14 Trusts did not allow contact with Skype / MSN messenger","57","31-Mar-11"
"234","CG47R1.2.1.6","Children <5 years who had temperature recorded","","505","45.10","Significantly more children <5 years old had temp measured","58","31-Jul-09"
"235","CG47R1.2.1.6","Children >5 years who had temperature recorded","","345","35.10","Significantly more children <5 years old had temp measured","58","31-Jul-09"
"236","CG47R1.2.1.6","Children <1 year who had respiratory rate recorded","","122","36.90","Significantly more children <1 year old had resp rate measured","58","31-Jul-09"
"237","CG47R1.2.1.6","Children <1 year who had respiratory rate recorded","","728","15.50","Significantly more children <1 year old had resp rate measured","58","31-Jul-09"
"238","CG47R1.2.1.6","Children <1 year who had cap refill time recorded","","122","32.80","Significantly more children <1 year old had cap refill time measured","58","31-Jul-09"
"239","CG47R1.2.1.6","Children >1 year who had cap refill time recorded","","728","13.00","Significantly more children <1 year old had cap refill time measured","58","31-Jul-09"
"240","CG47R1.2.1.2","Infants (<1yr) who had golbal assessment documented","","122","60.70","","58","31-Jul-09"
"241","CG47R1.2.1.2","Children 1-4 years old who had golbal assessment documented","","383","43.60","","58","31-Jul-09"
"242","CG47R1.2.1.2","Children 5-16 years old who had global assessment documented","","345","20.90","","58","31-Jul-09"
"243","CG47R1.2.1.2","Children with a subsequent serious infection that had a global assessment documented","7","23","30.43","Of those that did not have a subsequent serious infection, 306/827 (37%) had a global assessment documented. Well children were significantly more likely to have at least one vital sign documented","58","31-Jul-09"
"244","TA143R1.1","Patients who met the modified New York criteria for AS","416","416","100.00","1/58 Patients who fulfil the recommendations for treatment but were not on it due to funding issues","59","31-Jul-10"
"245","TA143R1.1","Patients on anti-TNF treatment who had pretreatment assessments completed at least 12 weeks apart","154","275","56.00","","59","31-Jul-10"
"246","TA143R1.1","Patients who had treatment with 2 or more NSAIDs documented prior to starting anti-TNF","249","275","90.55","","59","31-Jul-10"
"247","TA143R1.3","Patients on anti-TNF who had appropriate assessment at 12 weeks","162","275","58.91","Large variation between centres (ranging from 9-100%). 11% had their first assessment after 6 months. 8% had no follow up assessment recorded","59","31-Jul-10"
"248","TA143R1.3","Patients who did not show improvement who subsequently had teratment stopped","9","48","18.75","","59","31-Jul-10"
"249","TA143R1.5","Patients on anti TNF who had regular 12-weekly assessments","128","275","46.55","","59","31-Jul-10"
"250","CG92R1.1.1","Patients assessed on admission for VTE risk","16","232","6.90","","60","30-Nov-09"
"251","CG92R1.1.1","Patients assessed on admission for VTE risk","40","216","18.52","","60","31-Jan-10"
"252","CG92R1.1.1","Patients assessed on admission for VTE risk","40","204","19.61","","60","30-Apr-10"
"253","CG92R1.1.1","Patients assessed on admission for VTE risk","221","224","98.66","Financial targets for VTE assessment were introduced in 2011","60","30-Apr-11"
"254","CG92R1.4.1","Patients who required LMWH who had LMWH prescribed appropriately","73","147","49.66","1/32 had LMWH inappropriately prescribed","60","30-Nov-09"
"255","CG92R1.4.1","Patients who required LMWH who had LMWH prescribed appropriately","71","115","61.74","9/49 had LMWH inappropriately prescribed","60","31-Jan-10"
"256","CG92R1.4.1","Patients who required LMWH who had LMWH prescribed appropriately","78","115","67.83","3/39 had LMWH inappropriately prescribed","60","30-Apr-10"
"257","CG92R1.4.1","Patients who required LMWH who had LMWH prescribed appropriately","126","136","92.65","14/43 had LMWH inappropriately prescribed","60","30-Apr-11"
"258","CG85R1.1.1","Goldmann tonometry assessment assessed at diagnosis in shared care model","50","50","100.00","","61","30-Jun-11"
"259","CG85R1.1.1","Goldmann tonometry assessment assessed at diagnosis in traditional DGH model","50","50","100.00","","61","30-Jun-11"
"260","CG85R1.1.1","Central corneal thickness assessment assessed at diagnosis in shared care model","48","50","96.00","","61","30-Jun-11"
"261","CG85R1.1.1","Central corneal thickness assessment assessed at diagnosis in trditional DGH model","29","50","58.00","","61","30-Jun-11"
"262","CG85R1.1.1","Gonioscopy assessment assessed at diagnosis in shared care model","48","50","96.00","","61","30-Jun-11"
"263","CG85R1.1.1","Gonioscopy assessment assessed at diagnosis in traiditonal DGH model","37","50","74.00","","61","30-Jun-11"
"264","CG85R1.1.1","Optic disc assessment assessed at diagnosis in shared care model","50","50","100.00","","61","30-Jun-11"
"265","CG85R1.1.1","Optic disc assessment assessed at diagnosis in traditional DGH model","50","50","100.00","","61","30-Jun-11"
"266","CG85R1.1.1","Visual field  assessment at diagnosis in shared care model","50","50","100.00","","61","30-Jun-11"
"267","CG85R1.1.1","Visual field  assessment at diagnosis in traditional DGH  model","50","50","100.00","","61","30-Jun-11"
"268","CG85R1.3.1","Patients treated according to NICE recommendations in shared care model","48","50","96.00","","61","30-Jun-11"
"269","CG85R1.3.1","50/50 Patients treated according to NICE recommendations in traditional DGH model","50","50","100.00","","61","30-Jun-11"
"270","CG85R1.1.4","Baseline optic nerve image in shared care model","37","50","74.00","","61","30-Jun-11"
"271","CG85R1.1.4","Baseline optic nerve image in traditional DGH  model","5","50","10.00","","61","30-Jun-11"
"272","CG85R1.2.1","Patients treated according to NICE recommendations in shared care model","50","50","100.00","","61","30-Jun-11"
"273","CG85R1.2.1","Patients treated according to NICE recommendations in traditional DGH model","50","50","100.00","","61","30-Jun-11"
"274","CG85R1.2.3","Patients treated according to NICE recommendations in shared care model","47","50","94.00","","61","30-Jun-11"
"275","CG85R1.2.3","Patients treated according to NICE recommendations in traditional DGH model","4","50","8.00","","61","30-Jun-11"
"276","CG85R1.2.7","Patients treated according to NICE recommendations in shared care model","50","50","100.00","","61","30-Jun-11"
"277","CG85R1.2.7","Patients treated according to NICE recommendations in traditional DGH model","45","50","90.00","","61","30-Jun-11"
"278","CG85R1.2.10","Patients whose planned review was in accordance with NICE recommendations in shared care model","46","50","92.00","","61","30-Jun-11"
"279","CG85R1.2.10","Patients whose planned review was in accordance with NICE recommendations in traditional DGH model","43","50","86.00","","61","30-Jun-11"
"280","CG85R1.2.10","Patients whose actual review was in accordance with NICE recommendations in traditional DGH model","33","50","66.00","","61","30-Jun-11"
"281","CG85R1.2.10","Patients whose actual review was in accordance with NICE recommendations in shared care model","46","50","92.00","","61","30-Jun-11"
"282","CG43R1.1.6.1","Trusts that had healthy food promoted in the staff restaurant","173","282","61.35","","62","30-Sep-10"
"283","CG43R1.1.6.1","Trusts that had healthy food promoted for hospitality events","142","282","50.35","","62","30-Sep-10"
"284","CG43R1.1.6.1","Trusts that had healthy food promoted in vending machines","90","282","31.91","","62","30-Sep-10"
"285","CG43R1.1.6.1","Trusts that had healthy food promoted in shops for staff and clients","86","282","30.50","","62","30-Sep-10"
"286","CG43R1.1.6.1","Trusts provide overweight and obese staff multi-component interventions that address physical activity, eating behaviour and weight reduction together","86","282","30.50","of those that do provide a multi-component approach, 64/86 (74%) are led by somebody trained in obesity management","62","30-Sep-10"
"287","CG43R1.1.6.1","Trusts that encourage staff to walk or cycle to external meetings","149","282","52.84","","62","30-Sep-10"
"288","CG43R1.1.6.1","Trusts that encourage staff to take the stairs through signage at strategic points and written information","134","282","47.52","","62","30-Sep-10"
"289","CG43R1.1.6.1","Trusts that provide information about walking and cycling routes to and from work","147","282","52.13","","62","30-Sep-10"
"290","CG43R1.1.6.1","Trusts that provide information about walking and cycling routes around the worksite","142","282","50.35","","62","30-Sep-10"
"291","CG43R1.1.6.1","Trusts that encourage staff to take short walks during work breaks","173","282","61.35","","62","30-Sep-10"
"292","CG43R1.1.6.1","Trusts that encourage staff to use local leisure facilities","231","282","81.91","","62","30-Sep-10"
"293","PH5R1","Trusts that provide access to stop smoking support","268","282","95.04","","62","30-Sep-10"
"294","PH5R1","Trusts that allow staff to attend smoking cessation services during working hours without loss of pay","179","282","63.48","","62","30-Sep-10"
"295","PH22R2","Trusts that had systems in place to monitor the mental well being of emplyees","203","282","71.99","","62","30-Sep-10"
"296","PH22R4","Trusts that provide training to ensure line managers are able to identify and respond with sensitivity to employees emotional concerns and symptoms of mental health problems","178","282","63.12","","62","30-Sep-10"
"297","PH22R4","Trusts that provide training to ensure that line managers understand when it is necessary to refer an employee to occupational health services or other sources of help and support","253","282","89.72","","62","30-Sep-10"
"298","CG3RGeneral","FBC requested in accordance with NICE recommendations","81","92","88.04","14/81 were abnormal. 0/11 of the inappropriately requested tests were abnormal","63","31-Oct-10"
"299","CG3RGeneral","U+E requested in accordance with NICE recommendations","77","92","83.70","7/77 were abnormal. 0/15 of the inappropriately requested tests were abnormal","63","31-Oct-10"
"300","CG3RGeneral","Coagulation Screens were requested in accordance with NICE recommendations","30","88","34.09","1/29 were abnormal. 0/58 of the inappropriately requested tests were abnormal","63","31-Oct-10"
"301","CG3RGeneral","Random glucose test appropriate requested","0","1","0.00","The test was normal","63","31-Oct-10"
"302","CG64R1.1.3","dental trainers would prescribe antibiotics for patients with valvular heart disease","","70","18.30","","65",""
"303","CG64R1.1.3","dental trainers who would prescribe antibiotics for patients with cardiac valve replacement","","70","23.90","","65",""
"304","CG64R1.1.3","dental trainers who would prescribe antibiotics for patients with structural congenital heart disease","","70","16.90","","65",""
"305","CG64R1.1.3","dental trainers who would prescribe antibiotics for patients with hypertrophic cardiomyopathy","","70","4.30","","65",""
"306","CG64R1.1.3","dental trainers who would prescribe antibiotics for patients with a history of infective endocarditis","","70","32.40","","65",""
"307","CG64R1.1.3","dental trainers who would prescribe antibiotics for patients who request it","","70","26.80","","65",""
"308","CG64R1.1.3","dental trainers who would prescribe antibiotics for patients for whom the cardiologist/surgeon requests it","","70","76.10","","65",""
"309","CG64R1.1.3","dental trainees would prescribe antibiotics for patients with valvular heart disease","","85","10.60","","65",""
"310","CG64R1.1.3","dental trainees who would prescribe antibiotics for patients with cardiac valve replacement","","85","11.80","","65",""
"311","CG64R1.1.3","dental trainees who would prescribe antibiotics for patients with structural congenital heart disease","","85","11.80","","65",""
"312","CG64R1.1.3","dental trainees who would prescribe antibiotics for patients with hypertrophic cardiomyopathy","","85","4.70","","65",""
"313","CG92R1.1.1","Patients assessed on admission for VTE risk","210","408","51.47","of those not risk assessed 142/198 (71.7%) received VTE prophylaxis","66","31-Dec-09"
"314","CG92R1.1.1","Patients assessed on admission for VTE risk","323","408","79.17","of those not risk assessed 58/85(68.2%) received VTE prophylaxis","66","31-Dec-10"
"315","CG92R1.1.4","Patients with a contraindication to VTE prophylaxis who were not given it","24","28","85.71","these are the inverse of the numbers presented in the audit – audit numbers are presented as 4/28 patients who had VTE prophylaxis inappropriately administered to them","66","31-Dec-09"
"316","CG92R1.1.4","Patients with a contraindication to VTE prophylaxis who were not given it","35","41","85.37","these are the inverse of the numbers presented in the audit – audit numbers are presented as 6/41 patients who had VTE prophylaxis inappropriately administered to them","66","31-Dec-10"
"317","CG132RGeneral","Obstetric Anaesthetic Consultants who were aware of the guideline","20","21","95.24","","67",""
"318","CG132RGeneral","Anaesthetic consultants without special obstetric interest who were aware of the guideline","17","24","70.83","","67",""
"319","CG132RGeneral","Obstetric consultants who were aware of the guideline","4","4","100.00","","67",""
"320","CG132RGeneral","Non-consultant career grade anaesthetists who were aware of the guideline","5","5","100.00","","67",""
"321","CG132RGeneral","Trainee Anaesthetists (all grades) who were aware of the guideline","14","19","73.68","","67",""
"322","CG132R1.4.6.19","Obstetric Anaesthetic Consultants who administer antibiotics before knife to skin (KTS)","17","21","80.95","","67",""
"323","CG132R1.4.6.19","Anaesthetic consultants without special obstetric interest who administer antibiotics before knife to skin (KTS)","18","24","75.00","","67",""
"324","CG132R1.4.6.19","Obstetric Consultants who administer antibiotics before knife to skin (KTS)","3","4","75.00","","67",""
"325","CG132R1.4.6.19","Non-consultant career grade anaesthetists who administer antibiotics before knife to skin (KTS)","5","5","100.00","","67",""
"326","CG132R1.4.6.19","Trainee anaesthetists (all grades) who administer antibiotics before knife to skin (KTS)","18","19","94.74","","67",""
"327","CG132R1.4.6.21","Obstetric Anaesthetic Consultants who avoid co-amoxyclav","4","21","19.05","","67",""
"328","CG132R1.4.6.21","Anaesthetic consultants without special obstetric interest who avoid co-amoxyclav","3","24","12.50","","67",""
"329","CG132R1.4.6.21","Obstetric consultants who avoid co-amoxyclav","0","4","0.00","","67",""
"330","CG132R1.4.6.21","Non-consultant career grade anaesthetists who avoid co-amoxyclav","2","5","40.00","","67",""
"331","CG132R1.4.6.21","Trainee anaesthetists (all grades) who avoid co-amoxyclav","6","19","31.58","","67",""
"332","CG67R1.4.3","Eligible patients who were prescribed statins","21101","74137","28.46","","14","01-May-10"
"333","CG87R1.3.2","patients with type 2 diabetes who had 6 monthly HBA1c measurement","","194","79.40","","71",""
"334","CG87R1.9.2","Patients with type 2 diabetes who had their cardiovascular risk assessed annually","","194","31.40","","71",""
"335","CG87R1.9.4","Patients with type 2 diabetes who had their lipid profile checked annually","","194","95.40","","71",""
"336","CG87R1.12.3","Patients with type 2 diabetes who had their renal function checked annually","","194","93.30","","71",""
"337","CG87R1.8.7","Patients who were prescribed at least one drug for hypertension who were on either an ACEi or angiotension 2 receptor antagonist","118","135","87.41","","71",""
"338","CG36R1.8.6.1","CHADS 2 low risk patients who were prescribed warfarin","4573","12351","37.03","","127","01-May-10"
"339","CG36R1.8.6.1","CHADS 2 medium risk patients who were prescribed warfarin","9360","17709","52.85","","138","01-May-10"
"340","CG36R1.8.6.1","CHADS 2 high risk patients who were prescribed warfarin","9159","20301","45.12","","72","01-May-10"
"341","CG36R1.8.6.1","CHA2DS2-VASc low risk patients who were prescribed warfarin","4126","5168","79.84","","72","01-May-10"
"342","CG36R1.8.6.1","CHA2DS2-VASc medium risk patients who were prescribed warfarin","2787","5282","52.76","","72","01-May-10"
"343","CG36R1.8.6.1","CHA2DS2-VASc high risk patients who were prescribed warfarin","19384","39491","49.08","","72","01-May-10"
"344","CG121R1.4.2","Current smokers who were given advice about smoking cessation","12","22","54.55","","73",""
"345","CG121R1.4.3","Current smokers who were offered help to stop smoking","8","22","36.36","","73",""
"346","Invalid","Head and neck units that had a dentist available to them as part of the MDT","37","56","66.07","","74","30-Nov-11"
"347","Invalid","Head and neck units that had a dental hygienist available to them as part of the MDT","33","56","58.93","","74","30-Nov-11"
"348","CG79R1.1.2.1","Patients who had RF measured","","311","95.70","","75","31-May-11"
"350","CG79R1.1.2.3","Patients overall who had radiographs of their hands and/or feet","","311","72.90","87.9% of 136 EIAC patients had X-Rays taken of hands and/or feet
61.0% of 175 non EIAC patients had X-Rays taken of hands and/or feet","75","31-May-11"
"351","CG79R1.5.1.2","Patients overall who had baseline CRP documented","","311","98.70","98.5% of 136 EIAC patients had baseline CRP
98.8% of 175 non-EIAC patients had baseline CR","75","31-May-11"
"352","CG79R1.5.1.2","Patients who had monthly CRP checks","","311","61.30","50.0% of 136 EIAC patients had monthly CRP
69.9% of 175 non-EIAC patients had monthly CR","75","31-May-11"
"353","CG79R1.5.1.2","Patients overall who had baseline DAS 28 documented","","311","60.50","77.7% of 136 EIAC patients had baseline DAS-28
46.7% of 175 non-EIAC patients had baseline DAS-28","75","31-May-11"
"354","CG79R1.5.1.2","Patients overall who had monthly DAS 28 documented","","311","24.80","40.0% of 136 EIAC patients had monthly DAS-28
12.7% of 175 non-EIAC patients had monthly DAS-28","75","31-May-11"
"355","CG79R1.2.1.2","Patients who received written information about their condition","","311","75.90","80.5% of 136 EIAC patients had written information on RA
72.2% of 175 non-EIAC patients had written information on R","75","31-May-11"
"356","CG79R1.2.1.2","Patients who received written information about DMARDs","","311","93.20","91.5% of 136 EIAC patients had written information on DMARDs
94.6% of 175 non-EIAC patients had written information on DMARD","75","31-May-11"
"358","TA155R1.1","Patients that had visual acuity is between 6/12 and 6/96","","30","76.70","","76","30-Apr-11"
"359","TA155R1.1","Patients who had no permanent structural damage to the central fovea","","30","60.00","","76","30-Apr-11"
"360","TA155R1.1","Patients who had lesion size less than or equal to 12 disc areas in greatest linear dimension","","30","0.00","Although not explcitily stated I wonder whether this relates to documention relating to lesion size rather than actual lesion size as the improvement in the number of patients from 0-75% in the paper is quite a large improvement. TD 15/1/14","76","30-Apr-11"
"361","TA155R1.1","Patients who had evidence of recent presumed disease progression","","30","70.00","","76","30-Apr-11"
"362","TA155R1.1","Patients that had visual acuity is between 6/12 and 6/96","","24","87.50","","76","31-Oct-11"
"363","TA155R1.1","Patients who had no permanent structural damage to the central fovea","","24","75.00","","76","31-Oct-11"
"364","TA155R1.1","Patients who had lesion size less than or equal to 12 disc areas in greatest linear dimension","","24","75.00","Although not explcitily stated I wonder whether this relates to documention relating to lesion size rather than actual lesion size as the improvement in the number of patients from 0-75% in the paper is quite a large improvement. TD 15/1/14","76","31-Oct-11"
"365","TA155R1.1","Patients who had evidence of recent presumed disease progression","","24","100.00","","76","31-Oct-11"
"366","TA155R1.2","Patients who had an adequate, maintained response","","30","100.00","","76","30-Apr-11"
"367","TA155R1.2","Patients who had an adequate, maintained response","","24","100.00","","76","31-Oct-11"
"368","CG137R1.3.13","Male patients who had a documented discussion about the risk of SUDEP","7","175","4.00","","77","30-Jun-09"
"369","CG137R1.3.13","Patients with age of epilepsy onset <16 years had a documented discussion about the risk of SUDEP","4","135","2.96","","77","30-Jun-09"
"370","CG137R1.3.13","Patients with epilepsy for >15 years had a documented discussion about the risk of SUDEP","4","163","2.45","","77","30-Jun-09"
"371","CG137R1.3.13","Patients with at least one tonic-clonic seizure per year had a documented discussion about the risk of SUDEP","11","128","8.59","","77","30-Jun-09"
"372","CG137R1.3.13","Patients overall had a documented discussion about the risk of SUDEP","14","345","4.06","","77","30-Jun-09"
"373","CG137R1.3.13","Patients with drug resistant epilepsy had a documented discussion about the risk of SUDEP","2","136","1.47","","77","30-Jun-09"
"374","CG137R1.3.13","Patients with learning difficulty as well as epilepsy had a documented discussion about the risk of SUDEP","1","60","1.67","","77","30-Jun-09"
"375","CG137R1.3.13","Patients who were non-compliant with medication had a documented discussion about the risk of SUDEP","3","29","0.10","","77","30-Jun-09"
"376","CG60R1.4","Patients operated on who  fulfilled the core criteria for Ventilation Tube insertion OR the exceptional cases criteria","148","173","85.55","","78","31-Dec-06"
"377","CG60R1.4","Patients operated on who  fulfilled the core criteria for Ventilation Tube insertion OR the exceptional cases criteria","127","146","86.99","","78","31-Dec-08"
"378","CG60R1.4.1","Patients who had VT insertion who had 2 audiograms > 3 months apart","100","173","57.80","","78","31-Dec-06"
"379","CG60R1.4.1","Patients who had VT insertion who had hearing 25 NHL or worse in better ear","118","173","68.21","","78","31-Dec-06"
"380","CG60R1.4.1","Patients who had VT insertion and fulfilled the ‘core’ criteria of 2 audiograms > 3 months apart AND hearing level in better ear of 25-30 NHL or worse","76","173","43.93","","78","31-Dec-06"
