"AuditInfoSourceID","SourceName","SourcePublishDate","InformationType","LclOrNtl","PeerReview","IncludeInUptakeDatabase","Notes"
"111","Kanaan MZ, Bashforth J & Al-Mohammed A (2013) Audit of communication with GPs regarding renal monitoring in CHF patients: are we doing well? British Journal of Cardiology, Vol 20, pp 113-116","01/07/2013","Journal Article","Local","Yes","FALSE","This audit looks at whether the requirement to check U+E at specified intervals is communicated to the GP. The specified intervals of 1,4,8,12 weeks and every 3 months thereafter are not set out in the NICE recommendations. The recommendations say that th"
"112","National Lung Cancer Audit 2011 Cohort","05/12/2012","National Audit","National","Not Applicable","TRUE","38528 patient records analysed from patients first seen in 2011"
"113","National Lung Cancer Audit 2010 Cohort","01/12/2010","National Audit","National","Not Applicable","TRUE","36774 patient records analysed from patients first seen in 2010"
"114","National Lung Cancer Audit 2009 Cohort","01/12/2009","National Audit","National","Not Applicable","TRUE","36302 patient records analysed from patients seen in 2009"
"115","National Parksons Audit 2011","01/05/2012","National Audit","National","Not Applicable","TRUE","Data collection was over a 5 month period from 1st July 2011 to 30th November 2011. The standards for the audit are derived mainly from the recommendations in the NICE guidance. Some clarification about guidance is taken from notes in the full guideline. "
"120","Carotid Interventions Audit Round 5","23/10/2013","National Audit","National","Not Applicable","TRUE","•Round 5 has aligned the audit standards with those found in the NICE guidance (CG68 Rec  1.2.4.1) with regard to 7 days for referral and 14 days for treatment, both timed from onset of symptoms. Previously the audit had reported different timescales (ind"
"121","National Lung Cancer Audit 2012 Cohort","01/12/2013","National Audit","National","Not Applicable","TRUE","	35366 patient records analysed from patients first seen in 2011"
"122","National Head and Neck Cancer Audit 2012","26/07/2013","National Audit","National","Not Applicable","TRUE","All patients diagnosed between 1/11/2011 and 31/10/2012. 8272 cases (England and Wales)."
"123","National Head and Neck Cancer Audit 2011","01/06/2012","National Audit","National","Not Applicable","TRUE","All patients diagnosed between 1/11/2010 and 31/10/2011. 6879 Cases (England and Wales)."
"124","National Head and Neck Cancer Audit 2010","01/05/2011","National Audit","National","Not Applicable","TRUE","6458 Cases (England and Wales)."
"125","National Oesophago-Gastric cancer Audit Report","26/06/2013","National Audit","National","Not Applicable","TRUE","This is the 2013 report of the second national oesophagogastric cancer audit (there is also  2012 report on the same patients). It includes 11516 cases from 1/5/2011-31/3/2012"
"126","Outcomes after elective repair of infra-renal abdominal aortic aneurysms","01/11/2013","National Audit","National","Not Applicable","TRUE","This report contains data from 2010-2012, split by year (presumable calender year)"
"127","Adult Cardiac Surgery 2010/2011","01/06/2012","National Audit","National","Not Applicable","TRUE","16408 isolated first time LIMA grafts perfomed in 2010/2011 This audit aslo contains data from previous audits going abck to 2007 so they have been included under this audit"
"128","NHS Blood and Transplant Activity report 2012-2013","","National Audit","National","Not Applicable","TRUE","Unsure of the date of publication for this report"
"129","NHS Blood and Transplant Potential Donor Audit","","National Audit","National","Not Applicable","TRUE","Unsire of the date of publication of the audit Details activity 1/4/2012-31/3/2013"
"130","Cardiac Rhythm Management Audit 2010","01/09/2011","National Audit","National","Not Applicable","TRUE","Data from 1/1/2010-31/12/2010"
"131","Cardiac Rhythm Management Audit 2011","14/12/2012","National Audit","National","Not Applicable","TRUE","Data from 1/1/2011-31/12/2011"
"132","Cardiac Rhythm Management Audit 2012","31/01/2014","National Audit","National","Not Applicable","TRUE","Data from 1/1/2012-31/12/2012"
"133","Epilepsy 12 Audit - National Report","01/09/2012","National Audit","National","Not Applicable","TRUE","Census date: 1/5/2011 Epilepsy is a common disease with an incidence in children and adolescents of 1/1000. ‘Epilepsy 12’ audit is the ?rst ever UK wide national audit of epilepsy care for children and young people that has been commissioned by the Royal"
"134","National Clinical Audit of Biological therapies: UK Inflammatory Bowel Disease Audit","29/08/2013","National Audit","National","Not Applicable","TRUE","The data presented in this report suggest that the biological therapies are safe and effective treatments for IBD that are used to good effect throughout the participating adult sites in the UK. We have identified a number of issues, that when addressed w"
"135","National Hip Fracture Database 2013 Report","01/09/2013","National Audit","National","Not Applicable","TRUE","61508 Cases admitted between 1/4/2012-31/3/2013"
"136","National Hip Fracture Database 2012 Report","01/09/2012","National Audit","National","Not Applicable","TRUE","•59365 Cases admitted between  1/4/2011-31/3/2012"
"137","National Hip Fracture Database 2011 Report","01/09/2011","National Audit","National","Not Applicable","TRUE","	53443 Cases admitted between  1/4/2010-31/3/2011"
"138","National Diabetes Audit 2009/2010","01/06/2011","National Audit","National","Not Applicable","TRUE","1,929,985 patients registered in the audit, a participation rate of 81.1% Study dates presumed to be 1/4/2009-31/3/2010 The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary"
"139","National Diabetes Audit 2010/2011","01/12/2012","National Audit","National","Not Applicable","TRUE","2,150,634 patients were registered in the audit, a participation rate of 87.6% Study dates presumed to be 1/4/2010-31/3/2011 The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and se"
"140","National Diabetes Audit 2011/2012","01/10/2013","National Audit","National","Not Applicable","TRUE","2,473,239 patients were registered in the Audit, Study Date presumed to be 1/4/2011 - 31/3/2012.  The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making"
"141","National Diabetes Inpatient Audit 2012","27/06/2013","National Audit","National","Not Applicable","TRUE","NaDIA 2012 was carried out by diabetes teams in acute hospitals in England on a nominated day between the 17 and 21 September 2012; 199 sites (representing 136 Trusts) took part. This resulted in bedside data from 12,464 inpatients with diabetes and feedb"
"142","National Diabetes Inpatient Audit 2011","01/05/2012","National Audit","National","Not Applicable","TRUE",""
"143","National Diabetes Inpatient Audit 2010","15/03/2011","National Audit","National","Not Applicable","TRUE",""
"144","National Paediatric Diabetes Audit 2009/2010","01/07/2011","National Audit","National","Not Applicable","TRUE","•	Dates of audit are presumably 1/4/2009-31/3/2010 •	19558 children and young people with diabetes in England and Wales •	Approximately 93%  have type 1 diabetes. For the purposes of guidance mapping it is assumed that all results map to guidance for type"
"145","National Paediatric Diabetes Audit 2010/2011","01/09/2012","National Audit","National","Not Applicable","TRUE","•	Dates of audit are presumably 1/4/2010-31/3/2011 •	23676 children and young people with diabetes in England and Wales•	Approximately 93%  have type 1 diabetes. For the purposes of guidance mapping it is assumed that all results map to guidance for type"
"146","National Paediatric Diabetes Audit 2011/2012","01/12/2013","National Audit","National","Not Applicable","TRUE","•	Dates of audit are presumably 1/4/2011-31/3/2012 •	25199 children and young people with diabetes in England and Wales •	97.4% have type 1 diabetes. For the purposes of guidance mapping it is assumed that all results map to guidance for type 1 diabetes"
"147","Sentinel Stroke National Audit Project: Jul-Sep 2013 Public Report","01/02/2014","National Audit","National","Not Applicable","TRUE","17451 cases (83% of expected) admitted July-Sep 2013"
"148","Sentinel Stroke National Audit Project: Apr-June 2013 Public Report","01/12/2013","National Audit","National","Not Applicable","TRUE","	15252 cases (72% of expected) admitted Apr-June 2013"
"149","Sentinel Stroke National Audit Project: Jan-March 2013 Public Report","01/08/2013","National Audit","National","Not Applicable","TRUE","•11939 cases (55% of expected) admitted Jan-Mar 2013"
